Gene Onthology Code	Gene Onthology Name	P-Value
GO:0032502	developmental process;	1.15E-40
GO:0032501	multicellular organismal process;	4.73E-37
GO:0007275	multicellular organismal development;	5.63E-36
GO:0048856	anatomical structure development;	1.37E-32
GO:0048731	system development;	3.35E-29
GO:0048869	cellular developmental process;	6.62E-25
GO:0030154	cell differentiation;	6.62E-25
GO:0048513	organ development;	2.73E-22
GO:0009653	anatomical structure morphogenesis;	3.26E-15
GO:0007399	nervous system development;	1.09E-13
GO:0048519	negative regulation of biological process;	7.59E-13
GO:0065007	biological regulation;	5.74E-12
GO:0048523	negative regulation of cellular process;	3.39E-11
GO:0048468	cell development;	1.11E-10
GO:0016043	cellular component organization and biogenesis;	1.95E-10
GO:0050789	regulation of biological process;	1.02E-09
GO:0050794	regulation of cellular process;	1.13E-09
GO:0008283	cell proliferation;	1.43E-09
GO:0009887	organ morphogenesis;	3.25E-09
GO:0006357	regulation of transcription from RNA polymerase II promoter;	5.43E-09
GO:0009790	embryonic development;	6.49E-09
GO:0009888	tissue development;	1.36E-08
GO:0007420	brain development;	6.04E-08
GO:0006366	transcription from RNA polymerase II promoter;	1.03E-07
GO:0048646	anatomical structure formation;	1.03E-07
GO:0048518	positive regulation of biological process;	1.97E-07
GO:0007154	cell communication;	2.07E-07
GO:0007417	central nervous system development;	3.57E-07
GO:0048522	positive regulation of cellular process;	1.22E-06
GO:0001944	vasculature development;	1.26E-06
GO:0008219	cell death;	1.68E-06
GO:0016265	death;	1.68E-06
GO:0045934	negative regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;	2.02E-06
GO:0030182	neuron differentiation;	2.82E-06
GO:0016070	RNA metabolic process;	3.57E-06
GO:0048699	generation of neurons;	5.25E-06
GO:0001568	blood vessel development;	6.88E-06
GO:0006396	RNA processing;	9.21E-06
GO:0006139	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;	9.21E-06
GO:0031324	negative regulation of cellular metabolic process;	9.21E-06
GO:0001525	angiogenesis;	9.21E-06
GO:0050793	regulation of developmental process;	1.27E-05
GO:0001501	skeletal development;	1.37E-05
GO:0009892	negative regulation of metabolic process;	1.66E-05
GO:0048514	blood vessel morphogenesis;	2.45E-05
GO:0031323	regulation of cellular metabolic process;	4.19E-05
GO:0016481	negative regulation of transcription;	4.19E-05
GO:0022008	neurogenesis;	4.45E-05
GO:0043170	macromolecule metabolic process;	4.57E-05
GO:0009628	response to abiotic stimulus;	5.03E-05
GO:0007267	cell-cell signaling;	5.22E-05
GO:0007389	pattern specification process;	6.66E-05
GO:0048666	neuron development;	6.68E-05
GO:0012501	programmed cell death;	6.71E-05
GO:0044237	cellular metabolic process;	7.07E-05
GO:0043283	biopolymer metabolic process;	7.68E-05
GO:0006996	organelle organization and biogenesis;	8.22E-05
GO:0019219	regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;	8.22E-05
GO:0009605	response to external stimulus;	8.22E-05
GO:0000902	cell morphogenesis;	8.22E-05
GO:0032989	cellular structure morphogenesis;	8.22E-05
GO:0010467	gene expression;	8.44E-05
GO:0045595	regulation of cell differentiation;	9.22E-05
GO:0007165	signal transduction;	9.40E-05
GO:0006915	apoptosis;	9.64E-05
GO:0006355	regulation of transcription, DNA-dependent;	0.000109
GO:0003008	system process;	0.00011
GO:0042127	regulation of cell proliferation;	0.000127
GO:0010468	regulation of gene expression;	0.000129
GO:0019222	regulation of metabolic process;	0.000138
GO:0006351	transcription, DNA-dependent;	0.000138
GO:0050877	neurological system process;	0.000139
GO:0032774	RNA biosynthetic process;	0.000148
GO:0007276	gamete generation;	0.000171
GO:0044238	primary metabolic process;	0.000202
GO:0045449	regulation of transcription;	0.000269
GO:0006350	transcription;	0.00035
GO:0009416	response to light stimulus;	0.000405
GO:0009581	detection of external stimulus;	0.000536
GO:0019953	sexual reproduction;	0.00088
GO:0009582	detection of abiotic stimulus;	0.00136
GO:0006397	mRNA processing;	0.00145
GO:0051606	detection of stimulus;	0.0016
GO:0002520	immune system development;	0.00169
GO:0007600	sensory perception;	0.00172
GO:0016071	mRNA metabolic process;	0.00178
GO:0065008	regulation of biological quality;	0.00188
GO:0009792	embryonic development ending in birth or egg hatching;	0.00199
GO:0043009	chordate embryonic development;	0.00199
GO:0046649	lymphocyte activation;	0.00204
GO:0045941	positive regulation of transcription;	0.00213
GO:0006968	cellular defense response;	0.00245
GO:0042110	T cell activation;	0.00264
GO:0048534	hemopoietic or lymphoid organ development;	0.0028
GO:0050671	positive regulation of lymphocyte proliferation;	0.0028
GO:0007602	phototransduction;	0.0028
GO:0032946	positive regulation of mononuclear cell proliferation;	0.0028
GO:0007167	enzyme linked receptor protein signaling pathway;	0.0028
GO:0016044	membrane organization and biogenesis;	0.00289
GO:0007224	smoothened signaling pathway;	0.0029
GO:0000074	regulation of progression through cell cycle;	0.00318
GO:0051179	localization;	0.00325
GO:0009314	response to radiation;	0.00325
GO:0022402	cell cycle process;	0.00329
GO:0030097	hemopoiesis;	0.00349
GO:0045935	positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;	0.00382
GO:0046651	lymphocyte proliferation;	0.00382
GO:0032943	mononuclear cell proliferation;	0.00382
GO:0050908	detection of light stimulus during visual perception;	0.00382
GO:0050962	detection of light stimulus during sensory perception;	0.00382
GO:0008285	negative regulation of cell proliferation;	0.0041
GO:0008380	RNA splicing;	0.0041
GO:0051726	regulation of cell cycle;	0.00415
GO:0043067	regulation of programmed cell death;	0.00415
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway;	0.00431
GO:0009584	detection of visible light;	0.00444
GO:0031175	neurite development;	0.00454
GO:0048598	embryonic morphogenesis;	0.00491
GO:0048232	male gamete generation;	0.00492
GO:0007283	spermatogenesis;	0.00492
GO:0009583	detection of light stimulus;	0.00518
GO:0007411	axon guidance;	0.00526
GO:0031325	positive regulation of cellular metabolic process;	0.00551
GO:0006928	cell motility;	0.00554
GO:0051674	localization of cell;	0.00554
GO:0042102	positive regulation of T cell proliferation;	0.00562
GO:0048583	regulation of response to stimulus;	0.00596
GO:0046849	bone remodeling;	0.0061
GO:0050906	detection of stimulus during sensory perception;	0.00616
GO:0042981	regulation of apoptosis;	0.00646
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	0.00648
GO:0007166	cell surface receptor linked signal transduction;	0.0065
GO:0008284	positive regulation of cell proliferation;	0.00665
GO:0035239	tube morphogenesis;	0.00673
GO:0051216	cartilage development;	0.00673
GO:0006605	protein targeting;	0.0072
GO:0001816	cytokine production;	0.00747
GO:0019882	antigen processing and presentation;	0.00757
GO:0045892	negative regulation of transcription, DNA-dependent;	0.00772
GO:0009893	positive regulation of metabolic process;	0.00775
GO:0007409	axonogenesis	0.00791
GO:0003006	reproductive developmental process;	0.00865
GO:0001569	patterning of blood vessels;	0.00921
GO:0048010	vascular endothelial growth factor receptor signaling pathway;	0.00921
GO:0001503	ossification;	0.00927
GO:0031214	biomineral formation;	0.00927
GO:0009880	embryonic pattern specification;	0.00927
GO:0050953	sensory perception of light stimulus;	0.00971
GO:0007601	visual perception;	0.00971
GO:0045893	positive regulation of transcription, DNA-dependent;	0.00971
GO:0042098	T cell proliferation;	0.01
GO:0051251	positive regulation of lymphocyte activation;	0.0107
GO:0030099	myeloid cell differentiation;	0.0114
GO:0048771	tissue remodeling;	0.0115
GO:0048667	neuron morphogenesis during differentiation;	0.0117
GO:0048812	neurite morphogenesis;	0.0117
GO:0050870	positive regulation of T cell activation;	0.0132
GO:0045321	leukocyte activation;	0.0146
GO:0007530	sex determination;	0.0146
GO:0010224	response to UV-B;	0.0146
GO:0015844	monoamine transport;	0.0146
GO:0050670	regulation of lymphocyte proliferation;	0.0147
GO:0032944	regulation of mononuclear cell proliferation;	0.0147
GO:0007548	sex differentiation;	0.0159
GO:0043681	protein import into mitochondrion;	0.0164
GO:0000904	cellular morphogenesis during differentiation;	0.0171
GO:0001763	morphogenesis of a branching structure;	0.0171
GO:0046661	male sex differentiation;	0.0171
GO:0007049	cell cycle;	0.0171
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	0.0181
GO:0050776	regulation of immune response;	0.0195
GO:0000375	RNA splicing, via transesterification reactions;	0.0195
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile;	0.0195
GO:0000398	nuclear mRNA splicing, via spliceosome;	0.0195
GO:0030902	hindbrain development;	0.0207
GO:0014033	neural crest cell differentiation;	0.0207
GO:0014032	neural crest cell development;	0.0207
GO:0002682	regulation of immune system process;	0.022
GO:0044255	cellular lipid metabolic process;	0.022
GO:0042129	regulation of T cell proliferation;	0.0221
GO:0008589	regulation of smoothened signaling pathway;	0.0221
GO:0007423	sensory organ development;	0.0226
GO:0032990	cell part morphogenesis;	0.0228
GO:0030030	cell projection organization and biogenesis;	0.0228
GO:0048858	cell projection morphogenesis;	0.0228
GO:0050863	regulation of T cell activation;	0.0232
GO:0043065	positive regulation of apoptosis;	0.0238
GO:0007067	mitosis;	0.024
GO:0035295	tube development;	0.024
GO:0045137	development of primary sexual characteristics;	0.0254
GO:0002697	regulation of immune effector process;	0.0254
GO:0008202	steroid metabolic process;	0.0255
GO:0016072	rRNA metabolic process;	0.026
GO:0043068	positive regulation of programmed cell death;	0.026
GO:0048609	reproductive process in a multicellular organism;	0.0273
GO:0032504	multicellular organism reproduction;	0.0273
GO:0051239	regulation of multicellular organismal process;	0.0278
GO:0002521	leukocyte differentiation;	0.0293
GO:0051249	regulation of lymphocyte activation;	0.0303
GO:0031532	actin cytoskeleton reorganization;	0.0307
GO:0021549	cerebellum development;	0.0307
GO:0022037	metencephalon development;	0.0307
GO:0006944	membrane fusion;	0.0307
GO:0007172	signal complex assembly;	0.0307
GO:0051093	negative regulation of developmental process;	0.0322
GO:0000087	M phase of mitotic cell cycle;	0.0322
GO:0022613	ribonucleoprotein complex biogenesis and assembly;	0.0341
GO:0048839	inner ear development;	0.0345
GO:0008203	cholesterol metabolic process;	0.0345
GO:0042472	inner ear morphogenesis;	0.0365
GO:0007398	ectoderm development;	0.0365
GO:0043069	negative regulation of programmed cell death;	0.0365
GO:0001840	neural plate development;	0.0371
GO:0008207	C21-steroid hormone metabolic process;	0.0371
GO:0045596	negative regulation of cell differentiation;	0.0373
GO:0048608	reproductive structure development;	0.0387
GO:0008406	gonad development;	0.0387
GO:0050865	regulation of cell activation;	0.0387
GO:0048754	branching morphogenesis of a tube;	0.0387
GO:0006275	regulation of DNA replication;	0.0387
GO:0006383	transcription from RNA polymerase III promoter;	0.0387
GO:0015012	heparan sulfate proteoglycan biosynthetic process;	0.0387
GO:0000387	spliceosomal snRNP biogenesis;	0.0387
GO:0045191	regulation of isotype switching;	0.0387
GO:0050954	sensory perception of mechanical stimulus;	0.0387
GO:0007605	sensory perception of sound;	0.0387
GO:0016477	cell migration;	0.0387
GO:0022414	reproductive process;	0.0387
GO:0021700	developmental maturation;	0.0387
GO:0051234	establishment of localization;	0.0387
GO:0002831	regulation of response to biotic stimulus;	0.0387
GO:0002833	positive regulation of response to biotic stimulus;	0.0387
GO:0002860	positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target	0.0387
GO:0002717	positive regulation of natural killer cell mediated immunity;	0.0387
GO:0002420	natural killer cell mediated cytotoxicity directed against tumor cell target;	0.0387
GO:0002836	positive regulation of response to tumor cell;	0.0387
GO:0002855	regulation of natural killer cell mediated immune response to tumor cell;	0.0387
GO:0002839	positive regulation of immune response to tumor cell;	0.0387
GO:0002858	regulation of natural killer cell medi	0.0387
GO:0002715	regulation of natural killer cell mediated cytotoxicity directed against tumor cell target;	0.0387
GO:0048289	regulation of natural killer cell mediated immunity;	0.0387
GO:0002423	isotype switching to IgE isotypes;	0.0387
GO:0048293	natural killer cell mediated immune response to tumor cell;	0.0387
GO:0002829	regulation of isotype switching to IgE isotypes;	0.0387
GO:0002834	negative regulation of T-helper 2 type immune response;	0.0387
GO:0002828	regulation of response to tumor cell;	0.0387
GO:0002418	regulation of T-helper 2 type immune response;	0.0387
GO:0002837	immune response to tumor cell;	0.0387
GO:0002857	positive regulation of natural killer cell mediated immune response to tumor cell	0.0387
GO:0007088	regulation of mitosis;	0.0387
GO:0001756	somitogenesis;	0.0391
GO:0045638	negative regulation of myeloid cell differentiation;	0.0391
GO:0000279	M phase;	0.0391
GO:0006629	lipid metabolic process;	0.0401
GO:0009266	response to temperature stimulus;	0.0416
GO:0040008	regulation of growth;	0.0435
GO:0043623	cellular protein complex assembly;	0.0451
GO:0009611	response to wounding;	0.0458
GO:0008544	epidermis development;	0.0459
GO:0043583	ear development;	0.0459
GO:0042475	odontogenesis of dentine-containing teeth;	0.0464
GO:0002573	myeloid leukocyte differentiation;	0.0464
GO:0000245	spliceosome assembly;	0.0464
GO:0030216	keratinocyte differentiation;	0.0464
GO:0002705	positive regulation of leukocyte mediated immunity;	0.0464
GO:0019218	regulation of steroid metabolic process;	0.0464
GO:0001755	neural crest cell migration;	0.0464
GO:0042092	T-helper 2 type immune response;	0.0464
GO:0042551	neuron maturation;	0.0464
GO:0006903	vesicle targeting;	0.0464
GO:0002708	positive regulation of lymphocyte mediated immunity;	0.0464
