Fold change with D1 siRNA	Gene Symbol	UniGene
0.1626	USP24	Hs.477009
0.2594	UHMK1	Hs.127310
0.2817	PDZD8	Hs.501149
0.3076	HIPK3	Hs.201918
0.336	MALAT1	Hs.642877
0.3422	GPR137B	Hs.498160
0.3425	SIKE	Hs.632428
0.3558	LIN28B	Hs.23616
0.3661	MLLT11	Hs.75823
0.3673	GALNT7	Hs.127407
0.3739	PRMT2	Hs.154163
0.3742	ARL6IP6	Hs.516468
0.3933	CNOT6	Hs.157606
0.3959	ATG12	Hs.264482
0.4142	WDR17	Hs.532056
0.4191	PAQR3	Hs.632591
0.4208	PDGFA	Hs.645488
0.4296	LRRC58	Hs.518084
0.4305	SCML1	Hs.109655
0.4315	RBM6	Hs.596224
0.4405	FAM55C	Hs.130195
0.4416	CPOX	Hs.476982
0.4431	PGM2	Hs.23363
0.446	PRPF40A	Hs.591637
0.4463	CMTM4	Hs.643961
0.4467	FBXO27	Hs.187461
0.4484	HOXB8	Hs.514292
0.4548	DLD	Hs.131711
0.4554	LOC205251	Hs.128499
0.4578	LGALS8	Hs.4082
0.4622	E2F7	Hs.416375
0.4644	FAM116A	Hs.91085
0.4668	HRB	Hs.591619
0.468	PXK	Hs.190544
0.4686	CHPT1	Hs.293077
0.4712	USP45	Hs.143410
0.4718	EIF1AX	Hs.522590
0.4746	FDFT1	Hs.593928
0.4762	C10orf32	Hs.34492
0.478	ETNK1	Hs.29464
0.4823	UBE2Q1	Hs.607928
0.4898	FRAT2	Hs.140720
0.4918	TMEM97	Hs.199695
0.4926	EML4	Hs.593614
0.4938	ATP11C	Hs.88252
0.4979	TMSL8	Hs.56145
0.4992	PAK3	Hs.390616
