Symbol	Ensembl Number and Description	GO Biological Process	Fold Change (at T0)
ALDH1A3	ENSG00000184254:ALDEHYDE DEHYDROGENASE 6	GO:0006629:lipid metabolism	5.45
KRT15	ENSG00000171346:KERATIN, TYPE I CYTOSKELETAL 15	GO:0008544:epidermal differentiation	4.66
AGR2	ENSG00000106541:ANTERIOR GRADIENT 2	Unknown	4
NCKAP1	ENSG00000061676:NCK-ASSOCIATED PROTEIN 1 (NAP 1)	GO:0006915:apoptosis	3.87
COX6C	ENSG00000164919:CYTOCHROME C OXIDASE POLYPEPTIDE VIC	GO:0006091:energy pathways	3.37
PSCA	ENSG00000167653:PROSTATE STEM CELL ANTIGEN PRECURSOR	Unknown	2.94
KRT13	ENSG00000171401:KERATIN, TYPE I CYTOSKELETAL 13	GO:0008544:epidermal differentiation	2.69
YWHAZ	ENSG00000164924:14-3-3 PROTEIN ZETA/DELTA	GO:0007165:signal transduction	2.47
S100P	ENSG00000163993:S-100P PROTEIN	Unknown	2.45
PKM2	ENSG00000067225:PYRUVATE KINASE, MUSCLE	GO:0006096:glycolysis	2.41
TRAM1	ENSG00000067167:TRAM PROTEIN	GO:0006605:protein targeting	2.38
ATP5L	ENSG00000167283:ATP SYNTHASE G CHAIN, MITOCHONDRIAL	GO:0015992:proton transport; GO:0006754:ATP biosynthesis	2.26
SLC7A7	ENSG00000155465:Y+L AMINO ACID TRANSPORTER 1	GO:0006832:small molecule transport	2.25
SSBP1	ENSG00000106028:SINGLE-STRANDED DNA-BINDING PROTEIN	GO:0006260:DNA replication	2.25
SERF2	ENSG00000140264:SMALL EDRK-RICH FACTOR 2	Unknown	2.21
NEDD9	ENSG00000111859:ENHANCER OF FILAMENTATION 1 (HEF1)	GO:0007155:cell adhesion; GO:0000074:regulation of cell cycle	2.18
SCAMP2	ENSG00000140497:SECRETORY CARRIER-ASSOCIATED MEMBRANE PROTEIN 2	GO:0006886:intracellular protein transport	2.12
EMP1	ENSG00000134531:EPITHELIAL MEMBRANE PROTEIN-1	GO:0007048:oncogenesis;GO:0008283:cell proliferation	2.1
LCP1	ENSG00000136167:L-PLASTIN	Unknown	2.09
MGST1	ENSG00000008394:MICROSOMAL GLUTATHIONE S-TRANSFERASE 1	GO:0032496: response to lipopolysaccharide	2.06
DUT	ENSG00000128951:DEOXYURIDINE 5’-TRIPHOSPHATE NUCLEOTIDOHYDROLASE	GO:0006260:DNA replication	2.05
DDX5	ENSG00000108654:PROBABLE RNA-DEPENDENT HELICASE P68	GO:0016049:cell growth	2
SRP14	ENSG00000140319:SIGNAL RECOGNITION PARTICLE 14 KDA PROTEIN	GO:0006605:protein targeting	1.98
ANXA2	ENSG00000183059:ANNEXIN II (LIPOCORTIN II)	GO:0001501:skeletal development	1.95
PBP	ENSG00000089220:PHOSPHATIDYLETHANOLAMINE-BINDING PROTEIN	Unknown	1.8
ATP5G3	ENSG00000154518:ATP SYNTHASE LIPID-BINDING PROTEIN	GO:0006091:energy pathways; GO:0015992:proton transport	1.78
SRI	ENSG00000075142:SORCIN (22 KDA PROTEIN)	GO:0007517:muscle development	1.77
RPL17	ENSG00000141618:60S RIBOSOMAL PROTEIN L17	GO:0006412:protein biosynthesis	1.71
ERBB2	ENSG00000141736:V-ERBB2 ERYTHROBLASTIC LEUKEMIA VIRAL ONCOGENE HOMOLOG 2	GO:0007169:transmembrane receptor protein tyrosine kinase signaling	1.67
AKR1B1	ENSG00000085662:ALDOSE REDUCTASE	GO:0005975:carbohydrate metabolism	1.66
ATP6V1F	ENSG00000128524:VACUOLAR ATP SYNTHASE SUBUNIT F	GO:0015992:proton transport; GO:0006754:ATP biosynthesis	1.66
ATP5G1	ENSG00000159199:ATP SYNTHASE LIPID-BINDING PROTEIN	GO:0015992:proton transport	1.64
UBN1	ENSG00000118900:UBINUCLEIN 1	GO:0016568:chromatin modification	1.63
ERBB3	ENSG00000065361:V-ERBB2 ERYTHROBLASTIC LEUKEMIA VIRAL ONCOGENE HOMOLOG 3	GO:0007169:transmembrane receptor protein tyrosine kinase signaling	1.62
FTH1	ENSG00000167996:FERRITIN HEAVY CHAIN	GO:0008283:cell proliferation; GO:0006826:iron transport	1.62
ST14	ENSG00000149418:SUPPRESSOR OF TUMORIGENICITY 14	GO:0006508:proteolysis and peptidolysis	1.62
PHB	ENSG00000167085:PROHIBITIN	GO:0008151:cell growth and/or maintenance	1.59
CLTC	ENSG00000141367:CLATHRIN HEAVY CHAIN 1	GO:0006886:intracellular protein transport	1.51
APLP2	ENSG00000084234:AMYLOID-LIKE PROTEIN 2 PRECURSOR	GO:0007186:G-protein coupled receptor protein signaling pathway	1.48
HSBP1	ENSG00000166530:HEAT SHOCK FACTOR BINDING PROTEIN 1	GO:0000122:negative regulation of transcription from Pol II promoter	1.48
NME1	ENSG00000239672:NON-METASTATIC CELLS 1	GO:0045786:negative regulation of cell cycle; GO:0009142: NTP biosynthesis	1.47
CPNE3	ENSG00000085719:COPINE III	Unknown	1.46
ISGF3G	ENSG00000213928:INTEREFERON REGULATORY FACTOR 9	GO:0006355:regulation of transcription; GO:0006955: immune response	0.73
USP14	ENSG00000101557:UBIQUITIN SPECIFIC PEPTIDASE 14	GO:0006511:ubiquitin-dependent protein catabolism	0.71
SSR4	ENSG00000180879:SIGNAL SEQUENCE RECEPTOR DELTA	GO:0006886:intracellular protein transport	0.69
RAB7	ENSG00000075785:RAS-RELATED PROTEIN RAB-7	GO:0007264:small GTPase mediated signal transduction; GO:0006897:endocytosis	0.69
SHMT2	ENSG00000182199:SERINE HYDROXYMETHYLTRANSFERASE	GO:0006520:amino acid metabolism	0.68
