Gene Symbol	Gene Name	Microarray Fold-Change	p value
ANXA10	Annexin A10	23.56	3.97E-12
IL8	Interleukin 8	8.6	1.88E-12
TM4SF18	Transmembrane 4 L six family member 18	8.38	5.73E-12
ESM1	Endothelial cell-specific molecule 1	8.32	9.04E-12
IL1RAPL1	Interleukin 1 receptor accessory protein-like 1	7.2	1.32E-12
IGFBP7	Insulin-like growth factor binding protein 7	5.91	1.80E-11
PI3	Peptidase inhibitor 3, skin-derived	5.66	1.62E-12
KISS1	KiSS-1 metastasis-suppressor	5.14	6.72E-09
TRIML2	Tripartite motif family-like 2	4.99	1.86E-12
KRT8	Keratin 8	4.63	1.49E-10
ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	4.62	1.41E-11
TAGLN	Transgelin	4.24	4.57E-11
GNG11	Guanine nucleotide binding protein (G protein), ?11	4.09	9.15E-12
LEPROTL1	Leptin receptor overlapping transcript-like 1	4.03	8.15E-12
LOC644743	Keratin 8 pseudogene	4	1.06E-08
PHACTR3	Phosphatase and actin regulator 3	3.9	2.03E-10
ANGPT2	Angiopoietin 2	3.85	1.04E-10
TGM2	Transglutaminase 2	3.79	4.39E-13
MMP3	Matrix metallopeptidase 3	3.76	1.12E-09
LPXN	Leupaxin	3.74	1.10E-10
GTPBP6	GTP binding protein 6	3.61	5.08E-10
FBXL13	F-box and leucine-rich repeat protein 13	3.59	1.65E-10
DCLK1	Doublecortin-like kinase 1	3.54	5.98E-11
DCTN6	Dynactin 6	3.45	7.74E-11
C7ORF10	Chromosome 7 open reading frame 10	3.36	3.95E-12
STS-1	Ubiquitin associated and SH3 domain containing B	3.32	6.84E-10
HIST1H1C	Histone cluster 1, H1c	3.28	3.13E-09
COL13A1	Collagen, type XIII, alpha 1	3.24	7.25E-11
SLC2A3	Solute carrier family 2, member 3	3.22	1.53E-12
TMEM154	Transmembrane protein 154	3.14	6.51E-10
RAC2	CG8556 gene product from transcript CG8556-RA	3.13	1.48E-11
ITGA2	Integrin, alpha 2	3.09	6.64E-09
WDR72	WD repeat domain 72	3.07	1.63E-10
TLR4	Toll-like receptor 4	3.07	1.38E-10
EXTL3	Exostoses (multiple)-like 3	3.03	3.06E-09
LMCD1	LIM and cysteine-rich domains 1	-3.04	2.13E-09
MIAT	Myocardial infarction associated transcript	-3.06	8.59E-10
HSF2BP	Heat shock transcription factor 2 binding protein	-3.13	6.07E-12
ALDOC	Aldolase C, fructose-bisphosphate	-3.15	4.62E-11
CCDC62	Coiled-coil domain containing 62	-3.17	7.22E-11
SYT11	Synaptotagmin XI	-3.19	1.66E-11
HSD17B8	Hydroxysteroid (17-beta) dehydrogenase 8	-3.21	1.90E-09
ALOX5	Arachidonate 5-lipoxygenase	-3.26	4.07E-12
KIF1A	Kinesin family member 1A	-3.36	1.54E-10
LOXL4	Lysyl oxidase-like 4	-3.43	3.74E-13
BCYRN1	Brain cytoplasmic RNA 1	-3.47	7.21E-05
GPR132	G protein-coupled receptor 132	-3.49	1.31E-11
HAPLN1	Hyaluronan and proteoglycan link protein 1	-3.71	2.44E-12
LRRC17	Leucine rich repeat containing 17	-4.17	8.08E-11
SERPINB7	Serpin peptidase inhibitor, clade B, member 7	-4.22	2.05E-11
CT45-4	Cancer/testis antigen family 45, member A4	-4.23	1.17E-11
C7ORF41	Chromosome 7 open reading frame 41	-4.42	3.41E-13
COL6A3	Collagen, type VI, alpha 3	-5.01	1.12E-10
GALNTL1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 1	-5.05	1.72E-13
DHRS2	Dehydrogenase/reductase (SDR family) member 2	-5.12	1.73E-10
LMTK3	Lemur tyrosine kinase 3	-5.49	1.11E-12
C6ORF15	Chromosome 6 open reading frame 15	-5.85	2.63E-13
CXCR7	Chemokine (C-X-C motif) receptor 7	-6.05	9.61E-13
LFNG	Lunatic fringe homolog	-6.54	7.06E-11
CXCL14	Chemokine (C-X-C motif) ligand 14	-8.27	6.13E-10
