miRNA	No. of target genes predicted using mirbase (p < 0.001)	Target genes upregulated in MS vs controls (p < 0.05) in GWE data	Median +/- SEM in MS	Media +/- SEM in controls	Fold Change	Differential p-value	r value
hsa-let- 7g	301	KCTD14	102.6 +/- 78.3	100.7 +/- 1.3	2.07	0.0328	-0.65
hsa-let- 7g	301	GNG5	656.7 +/- 80.1	519.6 +/- 30.5	1.44	0.0006	-0.52
hsa-let- 7g	301	ATOX1	2019.5 +/- 264.2	1283.2 +/- 99.1	1.6	0.0004	-0.51
hsa-let- 7g	301	ZNF341	442.8 +/- 40.6	390.2 +/- 27.1	1.25	0.0228	-0.48
hsa-let- 7g	301	HTATIP2	1381.0 +/- 82.3	1098.5 +/- 75.7	1.16	0.013	-0.41
hsa-let- 7g	301	JOSD2	314.8 +/- 40.6	245.5 +/- 20.1	1.47	0.0056	-0.41
hsa-let- 7g	301	HBEGF	313.6 +/- 102.6	197.6 +/- 20.5	2.27	0.0006	-0.36
hsa-let- 7g	301	ESPL1	168.1 +/- 5.8	150.3 +/- 3.3	1.1	0.0125	-0.35
hsa-let- 7g	301	C19orf56	2942.5 +/- 261.2	2336.6 +/- 89.1	1.27	0.0014	-0.27
hsa-let- 7g	301	CYB561D2	1310.0 +/- 94.1	1148.5 +/- 54.7	1.17	0.008	-0.2
hsa-let- 7g	301	CLP1	540.2 +/- 43.4	452.5 +/- 22.6	1.24	0.0017	-0.16
hsa-let- 7g	301	SUOX	347.5 +/- 37.0	281.3 +/- 19.8	1.23	0.0492	-0.15
hsa-let- 7g	301	BEST1	313.9 +/- 30.5	236.9 +/- 11.7	1.33	0.0042	-0.14
hsa-let- 7g	301	ABCC10	250.0 +/- 19.7	215.5 +/- 7.7	1.18	0.0279	-0.13
hsa-let- 7g	301	SRM	606.4 +/- 59.9	488.3 +/- 41.0	1.22	0.0228	-0.13
hsa-let- 7g	301	SURF1	1019.2 +/- 85.5	764.1 +/- 44.3	1.22	0.0054	-0.13
hsa-let- 7g	301	WDR55	385.2 +/- 30.3	257.3 +/- 19.2	1.29	0.0037	-0.1
hsa-let- 7g	301	SLC35D2	472.7 +/- 45.5	360.9 +/- 14.0	1.26	0.0019	-0.09
hsa-let- 7g	301	ALG14	177.6 +/- 8.6	163.0 +/- 5.0	1.15	0.0063	-0.08
hsa-let- 7g	301	C16orf42	233.1 +/- 21.6	198.6 +/- 8.7	1.23	0.0125	-0.08
hsa-let- 7g	301	SLC35B1	2452.4 +/- 177.6	2071.2 +/- 64.0	1.16	0.0023	-0.08
hsa-let- 7g	301	TIMM17B	332.5 +/- 53.3	274.9 +/- 29.9	1.25	0.045	-0.08
hsa-let- 7g	301	HIGD2A	4595.6 +/- 451.4	4013.2 +/- 292.4	1.2	0.0104	-0.07
hsa-let- 7g	301	VPS33B	779.6 +/- 53.8	732.9 +/- 24.9	1.09	0.035	-0.02
hsa-mir-150	120	ASGR1	1220.8 +/- 219.5	866.4 +/- 121.7	1.46	0.0373	-0.52
hsa-mir-150	120	SP5	137.8 +/- 6.8	123.4 +/- 2.5	1.17	0.0029	-0.48
hsa-mir-150	120	DCPS	428.8 +/- 77.3	358.1 +/- 32.9	1.46	0.0185	-0.43
hsa-mir-150	120	SPI1	2085.7 +/- 298.1	1503.0 +/- 154.3	1.55	0.0032	-0.4
hsa-mir-150	120	EPHB2	119.7 +/- 10.1	104.9 +/- 1.8	1.3	0.0006	-0.38
hsa-mir-150	120	COG7	241.2 +/- 15.5	195.6 +/- 10.4	1.23	0.0037	-0.34
hsa-mir-150	120	TRPM4	155.4 +/- 11.6	118.4 +/- 4.8	1.32	0.0006	-0.33
hsa-mir-150	120	SLC6A12	296.2 +/- 83.1	258.7 +/- 17.7	1.62	0.0318	-0.29
hsa-mir-150	120	SOCS1	218.3 +/- 52.8	155.9 +/- 11.9	1.59	0.0185	-0.21
hsa-mir-150	120	IER5	1372.2 +/- 165.4	974.2 +/- 64.8	1.39	0.0011	-0.21
hsa-mir-150	120	MRPS16	595.9 +/- 39.8	531.0 +/- 20.0	1.13	0.035	-0.21
hsa-mir-150	120	IQSEC2	164.7 +/- 13.0	152.4 +/- 8.0	1.2	0.0397	-0.14
hsa-mir-150	120	RBED1	306.5 +/- 575.1	263.5 +/- 12.5	3.28	0.0179	0.08
