miRNA	P-value	Regulation
hsa-miR-17	0.06	Upregulated
hsa-miR-20	0.04	Upregulated
hsa-miR-21	0.02	Upregulated
hsa-miR-93	0.04	Upregulated
hsa-miR-101b-2	0.02	Upregulated
hsa-miR-106	0.05	Upregulated
hsa-miR-106a-1	0.04	Upregulated
hsa-miR-106b-1	0.03	Upregulated
hsa-miR-130	0.07	Upregulated
hsa-miR-130a	0.04	Upregulated
hsa-miR-130a-1	0.07	Upregulated
hsa-miR-130b-1	0.02	Upregulated
hsa-miR-17-1	0.06	Upregulated
hsa-miR-17-2	0.06	Upregulated
hsa-miR-172a-2	0.07	Upregulated
hsa-miR-20-1	0.07	Upregulated
hsa-miR-212	0.04	Upregulated
hsa-miR-219-1	0.09	Upregulated
hsa-miR-24	0.04	Upregulated
hsa-miR-320-2	0.09	Upregulated
hsa-miR-328-1	0.01	Upregulated
hsa-miR-23a	0.02	Upregulated
hsa-miR-23b	0.02	Upregulated
hsa-let-7a-2	0.1	Upregulated
hsa-miR-122	0.02	Downregulated
hsa-miR-123	0.04	Downregulated
hsa-miR-125b-1	0.06	Downregulated
hsa-miR-125b-2	0.05	Downregulated
hsa-miR-192-1	0.07	Downregulated
hsa-miR-192-2	0.08	Downregulated
hsa-miR-215	0.08	Downregulated
hsa-miR-26a-1	0.09	Downregulated
hsa-miR-26a-2	0.07	Downregulated
hsa-miR-26a	0.09	Downregulated
