Probe Set ID	Gene Symbol	Gene Description	Mean UD	Mean CMC3w	Mean CMC7w	Mean FH	Mean AH	q-Value	Max FC
7918878	CASQ2	calsequestrin 2 (cardiac muscle)	26.7	101.6	828.2	6,507.70	7,358.10	0	72.4
7910792	RYR2	ryanodine receptor 2 (cardiac)	152.9	1,517.10	2,037.80	3,665.30	6,075.90	0.00067	4
8129330	TRDN	triadin	20.4	139.8	325.8	210.8	136.7	0.00099	2.4
8118734	ITPR3	inositol 1,4,5-triphosphate receptor, type 3	191.9	71.4	66.6	101.2	115.1	0.00167	1.7
8121729	PLN	phospholamban	31.8	3,600.60	5,004.10	4,807.10	5,822.90	0.00351	1.6
8150988	ASPH	aspartate beta-hydroxylase	142.6	488.6	526.7	330.5	340.3	0.00277	1.6
8051762	SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1	88.3	2,446.60	3,187.90	3,829.30	2,767.20	0.00564	1.6
7958644	ATP2A2	ATPase, Ca2+ transporting, cardiac muscle, slow twitch 2	1,077.60	4,642.30	5,379.00	4,850.10	5,774.20	0.04413	1.2
7905581	S100A1	S100 calcium binding protein A1	35.3	35.2	45.5	46.1	396.9	0	11.3
8142435	PPP1R3A	protein phosphatase 1, regulatory (inhibitor) subunit 3A	16.2	104.4	175.1	274.5	1,016.80	0.00067	9.7
7951479	SLN	sarcolipin	30.2	122.5	788.3	151.4	177.7	0.00299	6.4
8077503	CAV3	caveolin 3	53	54	57.6	220.3	133.6	0.00067	4.1
8038319	HRC	histidine rich calcium binding protein	63	433	595.6	943.3	1,750.00	0.00067	4
7973850	AKAP6	A kinase (PRKA) anchor protein 6	32.2	389.6	617.6	1,020.00	1,375.80	0.00067	3.5
7951178	TRPC6	transient receptor potential cation channel, subfamily C, member 6	24.4	21.7	20.8	65.6	26.8	0.00067	3.1
8077376	ITPR1	inositol 1,4,5-triphosphate receptor, type 1	63.3	175.4	85.2	220	245.1	0.00067	2.9
7971104	TRPC4	transient receptor potential cation channel, subfamily C, member 4	153.3	61.2	85.6	31.1	37.2	0.00067	2.8
7982392	RYR3	ryanodine receptor 3	24.7	32.8	77.1	29.7	29.2	0.00067	2.6
8059470	IRS1	insulin receptor substrate 1	119.9	240.7	262.9	165.4	99.7	0.00067	2.6
8102678	TRPC3	transient receptor potential cation channel, subfamily C, member 3	40.7	109.6	62.1	89	44.3	0.00134	2.5
8037657	DMPK	dystrophia myotonica-protein kinase	173.3	464.3	1093.2	691.2	727.2	0.00099	2.4
8135661	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette subfamily C, member 7)	25.4	34.7	16.7	14.9	17	0.00168	2.3
