Symbol	Entrez Gene Name	Family	Fold Change	FDR Adjusted P value
AKT1	v-akt murine thymoma viral oncogene homolog 1	Kinase	-3.23	2.48E-10
ATF1	Activating transcription factor 1	Transcription regulator	-9.9	1.23E-10
CCNA2	Cyclin A2	Other	-41.76	1.8E-13
CCNB1	Cyclin B1	Other	-181.97	1.74E-17
CCNB2	Cyclin B2	Other	-70.13	1.49E-17
CCNE2	Cyclin E2	Other	-48.24	2.76E-16
CDC2	Cell division cycle 2, G1 to S and G2 to M	Kinase	-32.91	1.49E-17
CDK2	Cyclin-dependent kinase 2	Kinase	-4.15	4.53E-12
CHEK1	CHK1 checkpoint homolog (Schizosaccharomyces pombe)	Kinase	-17.77	2.85E-11
EGFR	Epidermal growth factor receptor	Kinase	-5.6	1.66E-10
H2AFX	H2A histone family, member X	Other	-7.56	3.6E-15
HMGB2	High-mobility group box 2	Transcription regulator	-8.3	2.88E-14
HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	Enzyme	-3.16	5.04E-09
IGFBP3	Insulin-like growth factor binding protein 3	Other	-5.71	0.00000303
IL8	Interleukin 8	Cytokine	-8.4	1.97E-13
IL1R1	Interleukin 1 receptor, type I	Transmembrane receptor	-5.2	1.16E-11
IL1RAP	Interleukin 1 receptor accessory protein	Transmembrane receptor	-18.67	0.000848
IRS1	Insulin receptor substrate 1	Other	-6.84	1.84E-11
KITLG	KIT ligand	Growth factor	-4.77	1.03E-11
LMNB1	Lamin B1	Other	-21.41	3.38E-15
MAP2K1	Mitogen-activated protein kinase kinase 1	Kinase	-3.95	1.61E-11
MAP2K2	Mitogen-activated protein kinase kinase 2	Kinase	-3.15	4.98E-08
MYC	v-myc myelocytomatosis viral oncogene homolog	Transcription regulator	-5.59	5.3E-11
PCNA	Proliferating cell nuclear antigen	Other	-5.98	4E-13
PLK1	Polo-like kinase 1 (Drosophila)	Kinase	-20.76	3.1E-14
SHC1	SHC (Src homolog 2 domain containing) transforming protein 1	Other	-4.15	5.17E-12
TOP2A	Topoisomerase (DNA) II alpha 170 kDa	Enzyme	-156.1	1.74E-20
