Gene symbol	Gene name	Fold change	FDR (%)
IL1R2	Interleukin 1 receptor, type II	28.4	0
CD40	CD40 molecule	3.5	0
GZMB	Granzyme B	6	0
ICAM1	Intercellular adhesion molecule 1	4.3	0
CCR4	Chemokine (C-C motif) receptor 4	11.7	0
IL8	Interleukin 8	45.5	0
CCL3	Chemokine (C-C motif) ligand 3	9.8	0
IL10	Interleukin 10	6	0
PTAFR	Platelet-activating factor receptor	5.7	0
SELE	Selectin E (endothelial adhesion molecule 1)	12.2	0
IL1A	Interleukin 1, alpha	15.7	0
CXCL11	Chemokine (C-X-C motif) ligand 11	9.1	0
CSF3	Colony stimulating factor 3	18.3	0
BCL2A1	BCL2-related protein A1	3.1	0
PLA2G7	Phospholipase A2, group VII	3.6	0
ANXA5	Annexin A5	4.8	0
ITGAM	Integrin, alpha M	3.7	0
SELP	Selectin P	3.7	0
C3	Complement component 3	3.8	0
CTLA4	Cytotoxic T-lymphocyte-associated protein 4	5.6	0
IL1R1	Interleukin 1 receptor, type I	4.3	0
MCL1	Myeloid cell leukemia sequence 1 (BCL2-related)	2.1	0
PRF1	Perforin 1	4.4	0
BOK	BCL2-related ovarian killer	1.9	0
FADD	Fas (TNFRSF6)-associated via death domain	1.4	0
FAS	Fas	1.7	0
CARD15	Nucleotide-binding oligomerization domain containing 2	1.4	0
MC2R	Melanocortin 2 receptor	2	0
PDE4A	Phosphodiesterase 4A, cAMP-specific	5.3	0
KLK14	Kallikrein-related peptidase 14	2.4	0
ANXA1	Annexin A1	3.5	0
PTGIR	Prostaglandin I2 (prostacyclin) receptor (IP)	3.2	0
PTGS2	Prostaglandin-endoperoxide synthase 2	14.8	0
CCL2	Chemokine (C-C motif) ligand 2	2.9	0
BIRC8	Baculoviral IAP repeat-containing 8	3.4	0
CXCL10	Chemokine (C-X-C motif) ligand 10	4.8	0
IL2RA	Interleukin 2 receptor, alpha	5.6	0
ITGB2	Integrin, beta 2	2.8	0
FN1	Fibronectin 1	4.1	0
IL6	Interleukin 6	37.9	1.3
NALP1	NLR family, pyrin domain containing 1	1.9	1.3
CD34	CD34 molecule	3.3	1.3
PDE4B	Phosphodiesterase 4B, cAMP-specific	9.2	1.3
TBX21	T-box 21	4	1.3
RIPK2	Receptor-interacting serine-threonine kinase 2	2	1.3
PEA15	Phosphoprotein enriched in astrocytes 15	2.3	1.3
18S	18S	2.1	1.3
CCR7	Chemokine (C-C motif) receptor 7	2.7	2.3
ITGAL	Integrin, alpha L	2.2	2.3
TNF	Tumor necrosis factor	2.3	2.3
BID	BH3 interacting domain death agonist	2.2	2.3
CD19	CD19 molecule	5.1	2.3
A2M	Alpha-2-macroglobulin	2.8	3
CSF1	Colony stimulating factor 1 (macrophage)	1.6	3
CD38	CD38 molecule	2.7	3.4
BDKRB1	Bradykinin receptor B1	3.2	3.8
BIRC5	Baculoviral IAP repeat-containing 5 (survivin)	1.7	3.8
ACTB	Actin, beta	1.9	3.8
NFKBIB	Nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, beta	1.3	3.8
PTPRC	Protein tyrosine phosphatase, receptor type, C	1.8	3.8
BDKRB2	Bradykinin receptor B2	2.9	5
BIRC1	NLR family, apoptosis inhibitory protein	1.1	5
CD3E	CD3e molecule, epsilon (CD3–TCR complex)	2.3	5
ANXA3	Annexin A3	2.5	5
BIK	BCL2-interacting killer (apoptosis-inducing)	1.6	5
IL1RL1	Interleukin 1 receptor-like 1	5.1	5
TNFSF13B	Tumor necrosis factor (ligand) superfamily, member 13b	1.3	5
BNIP3	BCL2/adenovirus E1B 19 kDa interacting protein 3	1.5	6.2
CD86	CD86 molecule	2.7	6.2
TBXAS1	Thromboxane A synthase 1 (platelet, cytochrome P450, family 5, subfamily A)	2.9	6.2
TNFRSF1B	Tumor necrosis factor receptor superfamily, member 1B	1.4	6.2
ICOS	Inducible T-cell co-stimulator	2.6	6.2
LTB4R2	Leukotriene B4 receptor 2	2.2	6.5
SKI	v-ski sarcoma viral oncogene homolog (avian)	1.9	6.5
BAK1	BCL2-antagonist/killer 1	1.5	6.5
CD80	CD80 molecule	3.6	6.5
CARD9	Caspase recruitment domain family, member 9	1.4	6.5
CD4	CD4 molecule	2	6.5
PGK1	Phosphoglycerate kinase 1	1.9	7.5
AGTR1	Angiotensin II receptor, type 1	1.5	7.5
HRH2	Histamine receptor H2	2.2	7.5
IFNG	Interferon, gamma	2.6	7.5
CACNA2D1	Calcium channel, voltage-dependent, alpha 2/delta subunit 1	1.9	8.7
