Probe sets	Symbol	Title	P value	Fold
204327_s_at	ZNF202	zinc finger protein 202	0.00011	0.58
221580_s_at	JOSD3	Josephin domain containing 3	0.00011	0.43
223062_s_at	PSAT1	phosphoserine aminotransferase 1	0.00011	3.6
235569_at	VPS37D	vacuolar protein sorting 37 homolog D (S. cerevisiae)	0.00011	1.39
201446_s_at	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	0.00023	0.52
237862_at	237862_at	NA	0.00023	1.25
210858_x_at	ATM	ataxia telangiectasia mutated (includes complementation groups A, C and D)	0.00046	0.46
231909_x_at	ODF2L	outer dense fiber of sperm tails 2-like	0.00046	0.79
234589_at	TMEM106A	Transmembrane protein 106A	0.00046	0.83
239187_at	C4orf30	chromosome 4 open reading frame 30	0.00046	0.79
203259_s_at	HDDC2	HD domain containing 2	0.0008	0.53
205327_s_at	ACVR2A	activin A receptor, type IIA	0.0008	0.63
208402_at	IL17A	interleukin 17A	0.0008	1.27
210656_at	EED	embryonic ectoderm development	0.0008	0.61
213821_s_at	213821_s_at	Clone 488469 iduronate-2-sulfatase (IDS2) pseudogene, mRNA sequence	0.0008	1.3
216564_at	216564_at	NA	0.0008	1.46
222728_s_at	JOSD3	Josephin domain containing 3	0.0008	0.41
231868_at	HOMEZ	homeobox and leucine zipper encoding	0.0008	1.22
232048_at	FAM76B	family with sequence similarity 76, member B	0.0008	0.6
1556873_at	RKHD2	ring finger and KH domain containing 2	0.00137	0.88
201450_s_at	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	0.00137	0.54
202778_s_at	ZMYM2	zinc finger, MYM-type 2	0.00137	0.52
203292_s_at	VPS11	vacuolar protein sorting 11 homolog (S. cerevisiae)	0.00137	0.72
203387_s_at	TBC1D4	TBC1 domain family, member 4	0.00137	0.31
204977_at	DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	0.00137	0.52
212418_at	ELF1	E74-like factor 1 (ets domain transcription factor)	0.00137	0.53
224857_s_at	POLR1D	polymerase (RNA) I polypeptide D, 16kDa	0.00137	0.53
224999_at	224999_at	Placenta mRNA, clone PL45, partial sequence	0.00137	2.76
225225_at	KRTAP4-7	Keratin associated protein 4-7	0.00137	1.46
227213_at	DEADC1	deaminase domain containing 1	0.00137	0.59
227214_at	GOPC	golgi associated PDZ and coiled-coil motif containing	0.00137	0.5
231159_at	231159_at	NA	0.00137	1.46
235106_at	MAML2	mastermind-like 2 (Drosophila)	0.00137	0.67
235224_s_at	235224_s_at	CDNA FLJ30383 fis, clone BRACE2008102	0.00137	1.76
239307_at	239307_at	NA	0.00137	1.47
240905_at	LYK5	Protein kinase LYK5	0.00137	1.24
243673_at	243673_at	Transcribed locus	0.00137	0.78
1553972_a_at	CBS	cystathionine-beta-synthase	0.00205	2.75
1554890_a_at	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	0.00205	0.71
1561113_at	1561113_at	CDNA clone IMAGE:4828073	0.00205	1.2
