miRNA	p-value	FC	FC min	FC max	Sample
hsa-miR-21	<0.001	8.18	3.23	16.83	Case versus Control
hsa-miR-146b-5p	0.042	5.14	-2.28	15.01	Case versus Control
hsa-miR-210	<0.001	5.01	2.61	10.14	Case versus Control
hsa-miR-21	<0.001	4.82	1.99	8.42	Case versus Control
hsa-miR-34a	<0.001	4.32	3.22	6.4	Case versus Control
hsa-miR-146a	0.026	4.15	-1.35	14.19	Case versus Control
hsa-miR-34b	<0.001	3.8	2.6	5.62	Case versus Control
hsa-miR-155	0.009	3.01	1.24	3.32	Case versus Control
hsa-miR-1308	0.004	3	1.28	7.66	Case versus Control
ebv-miR-BART19-3p	0.009	-3.21	-6.18	-1.16	Case versus Control
hsa-miR-21	0.005	4.69	3.23	6.7	Carotis versus Control
hsa-miR-210	0.004	4.13	2.61	7.23	Carotis versus Control
hsa-miR-21	0.004	4.04	1.99	5.95	Carotis versus Control
hsa-miR-34a	0.006	3.9	3.22	6.4	Carotis versus Control
hsa-miR-34b	0.004	3.29	2.62	5.13	Carotis versus Control
hsa-miR-1181	0.007	-2.91	-4.43	-2.14	Carotis versus Control
hsa-miR-126	0.038	-3.03	-4.27	-2.16	Carotis versus Control
hsa-miR-144	0.042	-3.05	-4.88	-1.54	Carotis versus Control
hsa-miR-1471	0.004	-3.11	-4.88	-2.34	Carotis versus Control
hsa-miR-378	0.01	-3.12	-4.55	-1.56	Carotis versus Control
hsa-miR-486-5p	0.012	-3.26	-4	-2.48	Carotis versus Control
hsa-miR-196b	0.004	-3.46	-3.7	-3.13	Carotis versus Control
hsa-miR-139-5p	0.005	-3.67	-5.62	-2.83	Carotis versus Control
hsa-miR-135a	0.004	-3.72	-5.27	-2.51	Carotis versus Control
hsa-miR-335	0.015	-4.06	-4.77	2.8	Carotis versus Control
hsa-miR-199b-5p	0.037	-5.68	13.93	-3.07	Carotis versus Control
hsa-miR-10b	0.005	16.38	-3.15	-2	Carotis versus Control
hsa-miR-21	0.001	10.67	4.54	16.83	Femoralis versus Control
hsa-miR-196a	<0.001	10.02	7.32	13.1	Femoralis versus Control
hsa-miR-146b-5p	0.005	7.96	5.38	15.01	Femoralis versus Control
hsa-miR-146a	<0.001	6.98	5.64	10.46	Femoralis versus Control
hsa-miR-210	<0.001	5.11	3.69	7.13	Femoralis versus Control
hsa-miR-21	0.001	4.85	2.47	8.42	Femoralis versus Control
hsa-miR-34a	0.002	4.69	3.53	6.36	Femoralis versus Control
hsa-miR-1290	0.009	4.42	1.52	8.01	Femoralis versus Control
hsa-miR-34b	0.002	4.08	2.6	5.62	Femoralis versus Control
hsa-miR-1308	0.002	3.65	2.84	4.46	Femoralis versus Control
hsa-miR-31	0.007	3.5	1.76	6.88	Femoralis versus Control
hsa-miR-424	0.03	3.46	2.44	5.12	Femoralis versus Control
hsa-miR-155	0.002	3.25	2.47	4.91	Femoralis versus Control
ebv-miR-BART19-3p	0.019	-3.57	-6.05	-2.54	Femoralis versus Control
hsa-miR-21	<0.001	10.95	6.25	16.6	Aorta versus Control
hsa-miR-146b-5p	0.003	9.85	6.36	14.5	Aorta versus Control
hsa-miR-196a	<0.001	8.96	7.12	12.3	Aorta versus Control
hsa-miR-210	<0.001	5.97	4.48	10.15	Aorta versus Control
hsa-miR-146a	0.024	5.79	1.84	14.19	Aorta versus Control
hsa-miR-21	<0.001	5.72	4.28	7.18	Aorta versus Control
hsa-miR-34a	0.003	4.42	3.48	5.27	Aorta versus Control
hsa-miR-155	0.001	4.18	2.56	5.68	Aorta versus Control
hsa-miR-424	0.024	4.1	2.42	6.21	Aorta versus Control
hsa-miR-34b	0.001	4.07	3.43	4.44	Aorta versus Control
hsa-miR-1308	0.018	3.71	2.11	7.66	Aorta versus Control
ebv-miR-BART19-3p	0.045	-3.44	-6.18	-1.87	Aorta versus Control
