Currated Gene Symbol	Reporter ID	Reporter name	Fold
HTR7	114958	5-hydroxytryptamine (serotonin) receptor 7 (adenylate cyclase-coupled)	48.93291
NUDT6	171467	nudix (nucleoside diphosphate linked moiety X)-type motif 8	40.41234
HSF2	166535	heat shock transcription factor 2	39.17662
TUBB1	143528	tubulin, beta 1	37.39376
TSR2	162651	hypothetical protein DT1P1A10	22.14788
TUSC3	195022	tumor suppressor candidate 3	21.78559
NDUFB8	148565	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19 kDa	20.83195
PTGDS	186773	FLJ45224 protein; prostaglandin D2 synthase 21kDa (brain)	19.24891
PRDX1	202455	peroxiredoxin 1	18.53505
FANK1	173923	fibronectin type 3 and ankyrin repeat domains 1	18.25457
PDSS2	160161	chromosome 6 open reading frame 210	17.19068
BORA	183606	FLJ22624 protein	16.76164
UBE2B	112057	ubiquitin-conjugating enzyme E2B (RAD6 homolog)	6.96857
RYK	144159	RYK receptor-like tyrosine kinase	6.29185
GPT2	143111	glutamic pyruvate transaminase (alanine aminotransferase) 2	4.28248
POLDIP2	142438	polymerase (DNA-directed), delta interacting protein 2	3.97053
ANXA2	209540	annexin A2	3.29699
BMP7	177636	bone morphogenetic protein 7 (osteogenic protein 1)	3.278
NSDHL	148029	NAD(P) dependent steroid dehydrogenase-like	3.26781
BID	131216	BH3 interacting domain death agonist	2.72827
GABRB1	123506	gamma-aminobutyric acid (GABA) A receptor, beta 1	2.51372
SYT4	139212	synaptotagmin IV	2.4941
MASP2	136701	mannan-binding lectin serine protease 2	2.42219
STAT1	136002	signal transducer and activator of transcription 1, 91 kDa	2.02504
