NAME	GENE SYMBOL	GENE TITLE	SCORE
CTGF	CTGF	connective tissue growth factor	1.09607
PROM1	PROM1	prominin 1	0.790578
GREM1	GREM1	gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)	0.755819
C20ORF103	C20ORF103	chromosome 20 open reading frame 103	0.750584
CSRP2	CSRP2	cysteine and glycinerich protein 2	0.71482
CD72	CD72	CD72 molecule	0.70787
ZCCHC7	ZCCHC7	zinc finger, CCHC domain containing 7	0.66285
KIAA1576	KIAA1576		0.648662
SOCS2	SOCS2	suppressor of cytokine signaling 2	0.605843
FLJ10781	FLJ10781		0.576195
MEIS1	MEIS1	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	0.55361
KCNK12	KCNK12	potassium channel, subfamily K, member 12	0.547618
BCNP1	BCNP1		0.540631
BLNK	BLNK	Bcell linker	0.532921
CLEC14A	CLEC14A	Ctype lectin domain family 14, member A	0.522666
LEF1	LEF1	lymphoid enhancerbinding factor 1	0.511284
IGF2BP3	IGF2BP3	insulinlike growth factor 2 mRNA binding protein 3	0.500634
DCAL1	DCAL1		0.493419
VPREB1	VPREB1	preB lymphocyte gene 1	0.492955
P2RX5	P2RX5	purinergic receptor P2X, ligandgated ion channel, 5	0.489544
STS1	STS1		0.485225
PALLD	PALLD	palladin, cytoskeletal associated protein	0.480144
FMNL2	FMNL2	forminlike 2	0.473206
KLRK1	KLRK1	killer cell lectinlike receptor subfamily K, member 1	0.472264
PAN3	PAN3	PAN3 polyA specific ribonuclease subunit homolog (S. cerevisiae)	0.471115
BANK1	BANK1	Bcell scaffold protein with ankyrin repeats 1	0.470603
CAMK2D	CAMK2D	calcium/calmodulindependent protein kinase (CaM kinase) II delta	0.469833
CSPG4	CSPG4	chondroitin sulfate proteoglycan 4 (melanomaassociated)	0.461496
TMEM46	TMEM46	transmembrane protein 46	0.457056
VLDLR	VLDLR	very low density lipoprotein receptor	0.454524
MEF2C	MEF2C	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)	0.45148
FLT3	FLT3	fmsrelated tyrosine kinase 3	0.445179
GPM6B	GPM6B	glycoprotein M6B	0.439311
CCNA1	CCNA1	cyclin A1	0.434712
CLEC2D	CLEC2D	Ctype lectin domain family 2, member D	0.425404
GNA12	GNA12	guanine nucleotide binding protein (G protein) alpha 12	0.422149
CACNA2D4	CACNA2D4	calcium channel, voltagedependent, alpha 2/delta subunit 4	0.419765
C20ORF133	C20ORF133	chromosome 20 open reading frame 133	0.414234
CD19	CD19	CD19 molecule	0.412154
DNTT	DNTT	deoxynucleotidyltransferase, terminal	0.410709
BLK	BLK	B lymphoid tyrosine kinase	0.408665
IGHM	IGHM	immunoglobulin heavy constant mu	0.399631
LRMP	LRMP	lymphoidrestricted membrane protein	0.390143
CYGB	CYGB	cytoglobin	0.389805
MEF2A	MEF2A	MADS box transcription enhancer factor 2, polypeptide A (myocyte enhancer factor 2A)	0.387122
PCDHGC3 /// PCDHGB4	null	null	0.386896
NEGR1	NEGR1	neuronal growth regulator 1	0.386286
FLJ90013	FLJ90013		0.384714
STK39	STK39	serine threonine kinase 39 (STE20/SPS1 homolog, yeast)	0.384644
HOXA9	HOXA9	homeobox A9	0.384583
MPO	MPO	myeloperoxidase	0.574
ICAM3	ICAM3	intercellular adhesion molecule 3	0.57334
CST3	CST3	cystatin C (amyloid angiopathy and cerebral hemorrhage)	0.57102
MGST1	MGST1	microsomal glutathione Stransferase 1	0.5095
AZU1	AZU1	azurocidin 1 (cationic antimicrobial protein 37)	0.48832
MSRB3	MSRB3	methionine sulfoxide reductase B3	0.48351
CFD	CFD	complement factor D (adipsin)	0.47283
CXCL2	CXCL2	chemokine (CXC motif) ligand 2	0.45879
CCND2	CCND2	cyclin D2	0.45831
SAMSN1	SAMSN1	SAM domain, SH3 domain and nuclear localisation signals, 1	0.44566
ELA2	ELA2	elastase 2, neutrophil	0.44309
CPA3	CPA3	carboxypeptidase A3 (mast cell)	0.43894
CEBPB	CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	0.42644
GOLGA8A	GOLGA8A	golgi autoantigen, golgin subfamily a, 8A	0.42585
CSF3R	CSF3R	colony stimulating factor 3 receptor (granulocyte)	0.42249
CEBPD	CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	0.41896
PRTN3	PRTN3	proteinase 3 (serine proteinase, neutrophil, Wegener granulomatosis autoantigen)	0.41222
C1ORF24	C1ORF24	chromosome 1 open reading frame 24	0.40788
DAPK1	DAPK1	deathassociated protein kinase 1	0.39545
CYTL1	CYTL1	cytokinelike 1	0.39347
IER3	IER3	immediate early response 3	0.38686
CXCL3	CXCL3	chemokine (CXC motif) ligand 3	0.38481
KLF11	KLF11	Kruppellike factor 11	0.38437
FCER1A	FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide	0.38343
CPVL	CPVL	carboxypeptidase, vitellogeniclike	0.3823
PTX3	PTX3	pentraxinrelated gene, rapidly induced by IL1 beta	0.38118
UBE2E3	UBE2E3	ubiquitinconjugating enzyme E2E 3 (UBC4/5 homolog, yeast)	0.37632
BCL2A1	BCL2A1	BCL2related protein A1	0.37467
KIT	KIT	vkit HardyZuckerman 4 feline sarcoma viral oncogene homolog	0.36826
CD52	CD52	CD52 molecule	0.36655
FCN1	FCN1	ficolin (collagen/fibrinogen domain containing) 1	0.3647
FAM46A	FAM46A	family with sequence similarity 46, member A	0.3633
ALOX5	ALOX5	arachidonate 5lipoxygenase	0.36319
IL8	IL8	interleukin 8	0.36181
DUSP5	DUSP5	dual specificity phosphatase 5	0.35927
EREG	EREG	epiregulin	0.3545
CD37	CD37	CD37 molecule	0.34455
RAB32	RAB32	RAB32, member RAS oncogene family	0.34387
RUNX3	RUNX3	runtrelated transcription factor 3	0.33989
CTSG	CTSG	cathepsin G	0.33925
RAB31	RAB31	RAB31, member RAS oncogene family	0.33776
CTSH	CTSH	cathepsin H	0.3367
SELL	SELL	selectin L (lymphocyte adhesion molecule 1)	0.33624
CD14	CD14	CD14 molecule	0.33308
PTGS2	PTGS2	prostaglandinendoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	0.33136
MAFB	MAFB	vmaf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	0.33127
FAM105A	FAM105A	family with sequence similarity 105, member A	0.32916
FCER1G	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	0.32652
SERPINA1	SERPINA1	serpin peptidase inhibitor, clade A (alpha1 antiproteinase, antitrypsin), member 1	0.32457
LAPTM4B	LAPTM4B	lysosomal associated protein transmembrane 4 beta	0.32115
