Curated Gene Symbol	Rank	Symbol	Array-Probe	Name	mean expression F	mean expression UF	Cytoband
PAICS	1	PAICS	A_23_P41280	Phosphoribosylaminoimidazole carboxylase	-0.36927473	0.39532972	4q21
EXO1	2	EXO1	A_23_P23303	Exonuclease 1	-0.68565689	0.32152755	1q42
SLC25A5	3	SLC25A5	A_24_P182182	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	-0.45320738	0.27611589	Xq24
GMPS	4	GMPS	A_23_P21033	Guanine monphosphate synthetase	-0.32245913	0.39286584	3q24
AHCY	5	AHCY	A_23_P17575	S-adenosylhomocysteine hydrolase	-0.42124593	0.45572872	20q13.1
ERCC6L	6	FLJ20105	A_23_P96325	FLJ20105 protein	-0.40148757	0.32408924	Xq13.1
CENPF	7	CENPF	A_24_P96780	Centromere protein F, 350/400ka (mitosin)	-0.56174112	0.6806554	1q32-q41
NXPH1	8	NXPH1	A_23_P111604	Neurexophilin 1	0.2552164	-1.11253111	7p22
XKR4	9	KIAA1889	A_32_P134007	KIAA1889 protein	0.19942002	-0.94841719	8q12.1
PDE4DIP	10	PDE4DIP	A_23_P149153	Phosphodiesterase 4D interacting protein (myomegalin)	-0.05347421	-1.60359374	1q12
MAP7	11	MAP7	Hs.46388.2	Microtubule-associated protein 7	0.22512987	-0.64499023	6q23.3
WSB1	12	WSB1	Hs.87991.2	WD repeat and SOCS box-containing 1	0.15810563	-0.66872742	17q11.1
AHCY	13	AHCY	A_24_P57367	S-adenosylhomocysteine hydrolase	-0.65953746	0.16098911	20q13.1
DST	14	DST	A_23_P303718	Dystonin	0.25472636	-0.42681139	6p11
CENPA	15	CENPA	A_24_P413884	Centromere protein A, 17kDa	-0.62230071	0.58648219	2p21
CAMTA1	16	CAMTA1	A_24_P220921	Calmodulin binding transcription activator 1	0.23474963	-0.49903578	1p36.31
	17	THC1504068	A_32_P169847	THC1504068	0.27428915	-0.42262834	11q23.1
WSB1	18	WSB1	A_23_P4353	WD repeat and SOCS box-containing 1	0.21493775	-0.65311031	17q11.1
	19	AK026189	A_24_P838448	Hypothetical gene supported by AK026189	0.23628444	-0.79731849	6p22.3
AHI1	20	AHI1	A_24_P38143	Abelson helper integration site	0.25851185	-0.65691758	6q23.3
	21	cDNA 1090207	A_32_P30874	MRNA full length insert cDNA clone EUROIMAGE 1090207	0.31998806	-0.71106913	6q23.3
SCG2	22	SCG2	Hs.5426.3	Secretogranin II (chromogranin C)	0.27805822	-1.13652076	2q35
PMP22	23	PMP22	A_23_P100711	Peripheral myelin protein 22	0.3736523	-0.83711113	17p11.2
CDKN3	24	CDKN3	A_23_P48669	Cyclin-dependent kinase inhibitor 3	-0.56896571	0.4191439	14q22
SERINC1	25	TDE2	A_24_P129232	Tumor differentially expressed 2	0.29265514	-0.47113366	6q22.31
NTRK1	26	NTRK1	A_23_P34804	Neurotrophic tyrosine kinase, receptor, type 1	0.07167048	-1.34266092	1q21
CAMTA1	27	CAMTA1	A_32_P4981	Calmodulin binding transcription activator 1	0.30951866	-0.80725497	1p36.31
TOM1L2	28	TOM1L2	A_23_P141180	Target of myb1-like 2 (chicken)	0.31997217	-0.41757645	17p11.2
	29	FLJ39739	A_32_P44840	FLJ39739 protein	0.13190562	-1.85602059	1q21.1
CAMTA1	30	CAMTA1	A_32_P4985	Calmodulin binding transcription activator 1	0.30478294	-0.71107123	1p36.31
	31	BX093047	Hs.53661.1	BX093047	0.26773595	-0.64188905	7p13
PRKACB	32	PRKACB	A_24_P62708	Protein kinase, cAMP-dependent, catalytic, beta	0.27415296	-0.4680567	1p36.1
PDE4DIP	33	PDE4DIP	A_32_P164510	Phosphodiesterase 4D interacting protein (myomegalin)	0.11913482	-1.9885147	1q12
	34	FLJ39739	A_32_P110550	FLJ39739 protein	0.14194566	-2.08382109	1q21.1
PGM2L1	35	PGM2L1	A_32_P122705	Phosphoglucomutase 2-like 1	0.32416799	-0.69806252	11q13.4
PGM2L1	36	PGM2L1	A_23_P396765	Phosphoglucomutase 2-like 1	0.4880847	-0.94932048	11q13.4
CENPF	37	CENPF	A_23_P401	Centromere protein F, 350/400ka (mitosin)	-0.70824617	0.50839462	1q32-q41
ESCO2	38	ESCO2	A_24_P323598	Establishment of cohesion 1 homolog 2 (S. cerevisiae)	-0.59278715	0.39093338	8p21.1
CEP55	39	C10orf3	A_23_P115872	Chromosome 10 open reading frame 3	-0.4597624	0.4245027	10q23.33
FAM83D	40	C20orf129	A_23_P323751	Chromosome 20 open reading frame 129	-0.50953465	0.4000239	20q11.22
CHAF1A	41	CHAF1A	A_24_P53519	Chromatin assembly factor 1, subunit A (p150)	-0.47682512	0.32776813	19p13.3
DSCC1	42	DCC1	A_23_P252740	Defective in sister chromatid cohesion homolog 1 (S. cerevisiae)	-0.33521658	0.4232075	8q24.12
CDCA5	43	CDCA5	A_23_P104651	Cell division cycle associated 5	-0.74293036	0.37489196	11q12.1
ARHGAP36	44	FLJ30058	A_23_P72968	Hypothetical protein FLJ30058	-0.27742088	-2.59911086	Xq26.1
MAD2L1	45	MAD2L1	A_23_P92441	MAD2 mitotic arrest deficient-like 1 (yeast)	-0.79185352	0.44563908	4q27
AKR1C1	46	AKR1C1	A_24_P220947	Aldo-keto reductase family 1, member C2	0.17564668	-1.02164231	10p15
	47	LOC283476	A_23_P422911	LOC283476	0.32470393	-1.16433259
BRIP1	48	BRIP1	Hs.7507.1	BRCA1 interacting protein C-terminal helicase 1	-0.62210862	0.37824315	17q22
	49	4152983	A_32_P134756	CDNA clone IMAGE:4152983	0.024914	-1.10020361	5p15.1
ARHGEF10L	50	FLJ10521	A_23_P386	Hypothetical protein FLJ10521	0.25144934	-0.48930338	1p36.13
CCNB1	51	CCNB1	Hs.3960.1	Cyclin B1	-0.47785245	0.3442959	5q12
	52	4152983	A_32_P134764	CDNA clone IMAGE:4152983	0.06810723	-1.16115274	5p15.1
HIVEP2	53	HIVEP2	A_23_P214766	Human immunodeficiency virus type I enhancer binding protein 2	0.23134651	-0.53356119	6q23
MAD2L1	54	MAD2L1	Hs.9078.10	MAD2 mitotic arrest deficient-like 1 (yeast)	-0.65134884	0.40499454	4q27
MND1	55	GAJ	A_23_P133123	GAJ protein	-0.63331155	0.47756574	4q31.3
	56	THC1574967	A_32_P171043	THC1574967	-0.04475257	-1.52603792	18q21.
SNRPE	57	SNRPE	A_23_P126291	Small nuclear ribonucleoprotein polypeptide E	-0.2441807	0.51210591	1q32
CNIH4	58	HSPC163	A_23_P200507	HSPC163 protein	-0.17307409	0.44733451	1q42.12
MCM6	59	MCM6	Hs.55462.1	minichromosome maintenance deficient 6	-0.67173953	0.08607161	2q21
SCG2	60	SCG2	A_24_P88696	Secretogranin II (chromogranin C)	0.09165414	-1.12950115	2q35-q36
PLXNC1	61	PLXNC1	A_24_P196351	Plexin C1	0.13068573	-0.66845947	12q22
	62	LOC285878	A_23_P157027	Homo sapiens hypothetical protein LOC285878,	0.2079225	-0.93904231
RNF11	63	RNF11	A_23_P137434	Ring finger protein 11	0.29523829	-0.49301767	1p22.1
MAP7	64	MAP7	A_24_P98021	Microtubule-associated protein 7	0.29823323	-0.54310358	6q23.3
DTL	65	RAMP	A_23_P10385	RA-regulated nuclear matrix-associated protein; denticleless homolog (Drosophila) DTL	-0.48533559	0.41870557	1q32
RFC4	66	RFC4	A_23_P18196	Replication factor C (activator 1) 4, 37kDa	-0.3588272	0.37880814	3q27
CCNB2	67	CCNB2	A_23_P65757	Cyclin B2	-0.57372157	0.4442597	15q22.2
SYN3	68	SYN3	A_32_P424973	Synapsin 3	0.11834148	-1.10044263	22q12.3
PKIB	69	PKIB	A_23_P145529	Protein kinase (cAMP-dependent, catalytic) inhibitor beta	0.04501059	-1.53472912	6q22.31
AURKA	70	STK6	A_23_P131866	Serine/threonine kinase 6 (Aurora kinase A)	-0.34485824	0.29158122	20q13.2
HMGB3P1	71	HMG4L	A_23_P373119	high-mobility group (nonhistone chromosomal) protein 4-like	-0.33260908	0.42410637	20q11.22
	72	Spc25	A_23_P51085	Spindle pole body component 25 homolog (S. cerevisiae)	-0.49152391	0.38197701	2q24.3
NRCAM	73	NRCAM	A_24_P252364	Neuronal cell adhesion molecule	0.1473768	-0.57997999	7q31.1
PSD2	74	PSD2	A_23_P30358	Pleckstrin and Sec7 domain containing 2	0.17716559	-0.56980549	5q31.2
MCM6	75	MCM6	A_23_P90612	MCM6 minichromosome maintenance deficient 6	-0.44056922	0.29486244	2q21
XKR4	76	KIAA1889	A_32_P134011	KIAA1889	0.19552339	-0.60710726	8q12.1
FAM72A	77	MGC57827	A_32_P151800	FAM72A (family with sequence similarity 72, member A)	-0.30174825	0.47806842	1p36.33
RGS9	78	RGS9	A_23_P66881	Regulator of G-protein signalling 9	0.22202694	-0.8414883	17q23
CDK1	79	CDC2	A_23_P138507	Cell division cycle 2, G1 to S and G2 to M	-0.44168259	0.51237186	10q21.1
NLRP1	80	NALP1	A_23_P107351	NACHT, leucine rich repeat and PYD (pyrin domain) containing 1	0.24918906	-0.75158921	17p13
EBF1	81	EBF	A_24_P156501	Early B-cell factor	0.20694154	-1.0004902	5q34
HOXC9	82	HOXC9	A_23_P25150	Homeo box C9	0.30912476	-0.90882745	12q13.3
NCAPH	83	BRRN1	A_23_P415443	Barren homolog (Drosophila)	-0.47893817	0.39245038	2q11.2
SSRP1	84	SSRP1	A_23_P36076	Structure specific recognition protein 1	-0.301447	0.26647727	11q12
RRM1	85	RRM1	A_23_P87351	Ribonucleotide reductase M1 polypeptide	-0.33771838	0.40368517	11p15.5
	86	AC_011738	A_32_P6008	AC_011738.4	0.16953423	-0.38262285	7
REEP1	87	C2orf23	A_23_P96285	Chromosome 2 open reading frame 23	0.32292656	-0.44693314	2p11.2
NEK2	88	NEK2	A_23_P35219	NIMA (never in mitosis gene a)-related kinase 2	-0.6648997	0.35551107	1q32.2
TK1	89	TK1	A_23_P107421	Thymidine kinase 1, soluble	-0.71847736	0.30247133	17q23.2
PRDX4	90	PRDX4	A_23_P114232	Peroxiredoxin 4	-0.30920961	0.36848756	Xp22.11
DLGAP5	91	DLG7	A_23_P88331	Discs, large homolog 7 (Drosophila)	-0.39654416	0.42361525	14q22.3
	92	DKFZp566O1624	A_32_P440054	cDNA DKFZp566O1624	0.39551168	-0.68528077	6p22
TMEM255A	93	FLJ20716	A_23_P125680	Hypothetical protein FLJ20716	0.27239513	-0.70385647	Xq24
KIF1B	94	KIF1B	A_23_P201287	Kinesin family member 1B	0.25228953	-0.47088556	1p36.2
	95	LOC200916	A_23_P143958	Similar to ribosomal protein L22	-0.61086832	0.43465088	3q26.2
GABARAPL1	96	GABARAPL1	A_23_P162640	GABA(A) receptor-associated protein like 1	0.27315278	-0.53560802	12p13.2
MAP7	97	MAP7	A_32_P190416	Microtubule-associated protein 7	0.32402454	-0.42416919	6q23.3
CAMK2B	98	CAMK2B	A_23_P42882	Calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	0.04810712	-0.81027534	22q12
UBE2C	99	UBE2C	A_24_P297539	Ubiquitin-conjugating enzyme E2C	-0.6511157	0.42352436	20q13.12
	100	BX119435	A_32_P73903	BX119435	-1.20828949	0.3445306	1q42.1
DNER	101	DNER	A_23_P362148	Delta-notch-like EGF repeat-containing transmembrane	0.27114771	-0.80376076	2q36.3
CGNL1	102	CGNL1	A_23_P163306	Cingulin-like 1	0.14903163	-1.00342301	15q21.3
SLCO3A1	103	SLCO3A1	A_23_P61623	Solute carrier organic anion transporter family, member 3A1	0.18398281	-1.03244963	15q26
AKR1C1	104	AKR1C1	Hs.31175.13	Aldo-keto reductase family 1, member C2	0.11749597	-0.76556158	10p14
RPL36A	105	RPL36A	A_23_P217609	Ribosomal protein L36a	-0.30598372	0.41037595	Xq22.1
PTPRH	106	PTPRH	A_23_P101642	Protein tyrosine phosphatase, receptor type, H	0.18987975	-0.46989797	19q13.4
ZNF525	107	ZNF525	A_32_P98348	Zinc finger protein 525	-0.26598061	0.51062976	19q13.42
	108	FLJ10151	Hs.5424.1	CDNA FLJ10151 fis, clone HEMBA1003402	-0.40460445	0.35870095	4q31
C5orf4	109	C5orf4	A_23_P501831	Chromosome 5 open reading frame 4	0.15995752	-0.6826213	5q31
FBL	110	FBL	A_23_P78888	Fibrillarin	-0.42346916	0.29556264	19q13.1
CTNND2	111	CTNND2	A_24_P380196	Catenin (cadherin-associated protein), delta 2	0.3113572	-0.70551111	5p15.2
RUNDC3B	112	RPIB9	A_23_P111724	Rap2-binding protein 9	0.27378983	-0.53045983	7q21.12
MLF1IP	113	MLF1IP	A_23_P254733	MLF1 interacting protein	-0.56433173	0.43178428	4q35.1
PTN	114	PTN	A_23_P303087	Pleiotrophin (heparin binding growth factor 8, neurite growth-promoting factor 1)	-0.06129549	-1.28060407	7q33
	115	THC1592424	A_32_P37495	THC1592424	0.19332187	-1.52238203	14q31
	116	LOC441801	A_32_P47538	LOC441801	0.11355498	-0.77543326	17p13.3
RANBP1	117	RANBP1	Hs.4763.1	RAN binding protein 1	-0.42875876	0.13606594	22q11.21
CKS2	118	CKS2	A_23_P71727	CDC28 protein kinase regulatory subunit 2	-0.32939518	0.50065115	9q22
TYMS	119	TYMS	A_23_P50096	Thymidylate synthetase	-0.71815989	0.34769154	18p11.32
AMIGO2	120	AMIGO2	A_23_P14083	Amphoterin induced gene 2	-0.04317422	-1.6045526	12q13.11
CCNB1	121	CCNB1	A_23_P122197	Cyclin B1	-0.37156168	0.37393357	5q12
C7orf53	122	FLJ39575	A_24_P380679	Hypothetical protein FLJ39575	0.2827828	-0.4220284	7q31.1
	123	Hs.34145	Hs.4145.1	Hs.34145	0.25184915	-0.94804154	11
