Ensembl Gene ID	Gene Name	Description	Fold Change	FDR
ENSG00000174951	FUT1	Fucosyltransferase 1	20.51	104.09
ENSG00000130487	KLHDC7B	Kelch domain containing 7	18.93	141.94
ENSG00000136826	KLF4	Kruppel-like factor 4	15.1	142.63
ENSG00000128591	FLNC	Filamin C	13.38	1160.2
ENSG00000148677	ANKRD1	Ankyrin repeat domain 1	12.06	351.26
ENSG00000205595	AREG	Amphiregulin	11.63	229.81
ENSG00000135842	C1orf24	Chromosome 1 open reading frame 24 (C1orf24)	7.23	63.37
ENSG00000180535	MIST1	Xlass II bHLH protein MIST1	6.99	84.43
ENSG00000136383	ALPK3	Alpha-kinase 3	6.83	202.42
ENSG00000139269	INHBE	Inhibin, beta E	6.4	1324.33
ENSG00000107731	UNC5B	Unc-5 homolog B (C. elegans)	6.17	265.31
ENSG00000049323	LTBP1	Latent transforming growth factor beta binding protein 1	6.14	129.49
ENSG00000048052	HDAC9	Histone deacetylase 9	6.09	137.83
ENSG00000198205	ZXDA	Zinc finger, X-linked, duplicated A	6.02	47.22
ENSG00000111981	ULBP1	UL16 binding protein 1	6.01	37.66
ENSG00000130513	GDF15	Growth differentiation factor 15	5.9	958.3
ENSG00000122728	TAF1L	TAF1-like RNA polymerase II, TATA box binding protein (TBP)-associated factor	5.54	41.06
ENSG00000138670	RASGEF1B	RasGEF domain family, member 1B	5.41	39.54
ENSG00000176971	LOC387758	Similar to RIKEN cDNA 1110018M03	5.39	23.55
ENSG00000160999	APS	Adaptor protein with pleckstrin homology and src homology 2 domains	5.18	22.09
ENSG00000006327	TNFRSF12A	Fucosyltransferase 1	5.13	286.27
ENSG00000184545	DUSP8	Dual specificity phosphatase 8	5.05	87.3
ENSG00000130766	SESN2	Sestrin 2	4.84	593.42
ENSG00000070669	ASNS	Asparagine synthetase	4.8	577.3
ENSG00000136997	MYC	v-myc myelocytomatosis viral oncogene homolog	4.71	991.67
ENSG00000168679	SLC16A4	Solute carrier family 16 (monocarboxylic acid transporters), member 4	4.65	24.23
ENSG00000099889	ARVCF	Armadillo repeat gene deletes in velocardiofacial syndrome	4.53	240.65
ENSG00000162772	ATF3	Activating transcription factor 3	4.47	695.61
ENSG00000106948	AKNA	AT-hook transcription factor	4.45	773.28
ENSG00000167861	C17orf28	Chromosome 17 open reading frame 28	4.43	142.87
ENSG00000138685	FGF2	Fibroblast growth factor 2	4.08	23.78
ENSG00000105327	BBC3	BCL2 binding component 3	4.06	230.6
ENSG00000111087	GLI1	Glioma-associated oncogene homolog 1 (zinc finger protein)	4.02	41.66
ENSG00000065911	MTHFD2	Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2,	4	693.07
ENSG00000115520	COQ10B	Coenzyme Q10 homolog B (S. cerevisiae)	3.96	22.43
ENSG00000105499	PLA2G4C	Phospholipase A2, group IVC (cytosolic, calcium-independent)	3.92	44.14
ENSG00000065600	TMEM206	Transmembrane protein 206	3.9	57.11
ENSG00000108551	RASD1	RAS, dexamethasone-induced 1	3.89	70.16
ENSG00000152137	HSPB8	Heat shock 22kDa protein 8	3.87	64.97
ENSG00000112182	BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2	3.83	76.67
ENSG00000157765	SLC34A2	Homo sapiens cDNA FLJ90534 fis, highly similar to Homo sapiens sodium dependent phosphate transporter isoform NaPi-3b mRNA	3.8	41.45
ENSG00000163393	SLC22A15	Solute carrier family 22 (organic cation transporter), member 15	3.77	104.5
ENSG00000168003	SLC3A2	Solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	3.77	1977.88
ENSG00000164949	GEM	GTP binding protein overexpressed in skeletal muscle (GEM)	3.71	51.7
ENSG00000107281	NPDC1	Neural proliferation, differentiation and control, 1	3.68	38.82
ENSG00000154025	SLC5A10	Solute carrier family 5 (sodium/glucose cotransporter), member 10	3.67	50.35
ENSG00000196517	SLC6A9	Solute carrier family 6 (neurotransmitter transporter, glycine), member 9	3.65	153.7
ENSG00000166173	LARP6	La ribonuleoprotein domain family, member 6	3.62	146.96
ENSG00000184371	CSF1	Colony stimulating factor 1 (macrophage)	3.58	132.33
ENSG00000120129	DUSP1	Dual specificity phosphatase 1 (DUSP1)	3.53	446.22
