Probe Set ID	control	vorinostat	Gene Symbol	ratio
200835_s_at	207.69	36.49	MAP4	5.6919
201063_at	503.40	140.45	RCN1	3.5842
201083_s_at	169.64	55.67	BCLAF1	3.0469
201332_s_at	481.84	157.14	STAT6	3.0663
201401_s_at	1474.26	471.03	ADRBK1	3.1299
201971_s_at	350.65	1102.36	ATP6V1A	0.3181
201978_s_at	315.10	50.12	KIAA0141	6.2870
202063_s_at	30.69	122.67	SEL1L	0.2502
202099_s_at	173.36	33.88	DGCR2	5.1176
202149_at	44.18	432.16	NEDD9	0.1022
202178_at	224.57	20.28	PRKCZ	11.0716
202269_x_at	46.98	141.57	GBP1	0.3318
202294_at	754.67	249.09	STAG1	3.0297
202348_s_at	504.36	145.36	TOR1A	3.4697
202417_at	1535.27	250.94	KEAP1	6.1181
202501_at	423.97	1521.04	MAPRE2	0.2787
202504_at	135.67	43.18	TRIM29	3.1419
202693_s_at	1191.01	3799.60	STK17A	0.3135
202752_x_at	101.31	29.57	SLC7A8	3.4259
202820_at	116.10	384.39	AHR	0.3020
202837_at	149.39	532.65	TRAFD1	0.2805
202916_s_at	227.59	67.95	FAM20B	3.3493
202974_at	371.81	1333.61	MPP1	0.2788
202993_at	182.05	53.59	ILVBL	3.3968
203331_s_at	154.85	15.93	INPP5D	9.7202
203352_at	77.43	325.73	ORC4L	0.2377
203556_at	182.06	60.32	ZHX2	3.0182
203558_at	128.04	6.34	CUL7	20.1879
203676_at	180.60	703.33	GNS	0.2568
203679_at	614.55	109.82	TMED1	5.5962
203711_s_at	192.15	619.71	HIBCH	0.3101
203723_at	126.55	18.06	ITPKB	7.0061
203758_at	514.25	163.75	CTSO	3.1405
203760_s_at	156.05	20.33	SLA	7.6747
203767_s_at	107.73	33.74	STS	3.1928
203801_at	50.16	153.23	MRPS14	0.3273
203810_at	100.21	520.10	DNAJB4	0.1927
203811_s_at	133.83	480.37	DNAJB4	0.2786
203965_at	64.67	196.06	USP20	0.3298
203970_s_at	156.31	530.97	PEX3	0.2944
204048_s_at	243.17	66.47	PHACTR2	3.6585
204091_at	403.71	1452.77	PDE6D	0.2779
204123_at	308.14	38.54	LIG3	7.9946
204138_s_at	222.12	42.12	MZF1	5.2737
204139_x_at	464.01	94.62	MZF1	4.9041
204165_at	54.65	362.84	WASF1	0.1506
204233_s_at	132.20	504.03	CHKA	0.2623
204276_at	123.89	13.02	TK2	9.5128
204335_at	180.20	38.19	CCDC94	4.7185
204401_at	1115.53	363.52	KCNN4	3.0687
204484_at	48.99	194.41	PIK3C2B	0.2520
204504_s_at	804.10	251.58	HIRIP3	3.1962
204546_at	24.51	101.01	KIAA0513	0.2427
204587_at	66.25	288.37	SLC25A14	0.2297
204780_s_at	3495.41	696.91	FAS	5.0156
204781_s_at	1590.33	377.18	FAS	4.2163
204789_at	3914.50	980.21	FMNL1	3.9935
204815_s_at	110.69	15.62	DHX34	7.0863
204896_s_at	23.80	181.72	PTGER4	0.1310
204974_at	64.59	329.82	RAB3A	0.1958
204998_s_at	609.92	128.17	ATF5	4.7586
204999_s_at	172.42	53.57	ATF5	3.2187
205003_at	90.70	686.39	DOCK4	0.1321
205067_at	110.06	36.67	IL1B	3.0011
205068_s_at	215.30	682.34	ARHGAP26	0.3155
205071_x_at	124.32	15.95	XRCC4	7.7949
205126_at	669.78	211.78	VRK2	3.1626
205159_at	443.97	108.27	CSF2RB	4.1006
205160_at	132.03	33.86	PEX11A	3.8994
205164_at	39.89	236.08	GCAT	0.1690
205168_at	109.08	30.62	DDR2	3.5629
205179_s_at	1121.78	335.08	ADAM8	3.3477
205182_s_at	49.17	294.32	ZNF324	0.1671
205224_at	54.48	232.26	SURF2	0.2346
205352_at	196.76	794.35	SERPINI1	0.2477
205415_s_at	300.37	75.79	ATXN3	3.9633
205419_at	1220.60	405.82	GPR183	3.0077
205453_at	782.87	253.50	HOXB2	3.0882
205468_s_at	1008.56	125.70	IRF5	8.0238
205469_s_at	4082.23	825.33	IRF5	4.9462
205543_at	90.39	306.92	HSPA4L	0.2945
205986_at	103.05	22.03	AATK	4.6788
206064_s_at	133.58	10.74	PPIL2	12.4402
206099_at	411.53	83.60	PRKCH	4.9224
206118_at	187.21	922.83	STAT4	0.2029
206154_at	108.57	13.20	RLBP1	8.2259
206255_at	646.43	171.44	BLK	3.7707
206369_s_at	118.75	13.50	PIK3CG	8.7965
206453_s_at	195.12	52.24	NDRG2	3.7348
206463_s_at	2187.12	7805.43	DHRS2	0.2802
206478_at	741.34	115.31	KIAA0125	6.4294
206485_at	119.94	35.45	CD5	3.3833
206566_at	191.15	35.03	SLC7A1	5.4565
206582_s_at	211.62	17.07	GPR56	12.3983
206662_at	226.54	945.04	GLRX	0.2397
206729_at	10776.76	3227.88	TNFRSF8	3.3387
206756_at	60.50	256.67	CHST7	0.2357
206772_at	224.18	66.63	PTH2R	3.3644
206929_s_at	250.46	65.47	NFIC	3.8254
207133_x_at	345.97	102.70	ALPK1	3.3689
207136_at	108.06	27.06	ARR3	3.9928
207156_at	50.71	191.54	HIST1H2AG	0.2648
207336_at	154.24	43.37	SOX5	3.5565
207764_s_at	261.61	76.99	HIPK3	3.3979
207798_s_at	120.31	13.89	ATXN2L	8.6601
207833_s_at	140.52	19.35	HLCS	7.2617
207863_at	168.83	15.20	ADPRH	11.1089
207920_x_at	193.53	44.52	ZFX	4.3471
207978_s_at	50.54	154.71	NR4A3	0.3267
207983_s_at	1637.72	501.19	STAG2	3.2677
208066_s_at	1037.81	3360.79	GTF2B	0.3088
208071_s_at	332.37	76.40	LAIR1	4.3506
208202_s_at	151.04	22.44	PHF15	6.7308
208303_s_at	102.67	7.94	CRLF2	12.9384
208478_s_at	261.07	71.70	BAX	3.6410
208485_x_at	1860.97	587.70	CFLAR	3.1665
208503_s_at	1270.52	382.60	GATAD1	3.3208
208553_at	18.33	102.22	HIST1H1E	0.1793
208769_at	80.63	274.88	EIF4EBP2	0.2933
208898_at	1927.96	5902.53	ATP6V1D	0.3266
208899_x_at	1770.94	5345.54	ATP6V1D	0.3313
208926_at	466.59	1696.71	NEU1	0.2750
209000_s_at	107.99	7.93	SEPT8	13.6121
209023_s_at	1099.07	335.93	STAG2	3.2717
209072_at	1528.08	394.06	MBP	3.8778
209151_x_at	1161.16	311.90	TCF3	3.7229
209183_s_at	23.13	171.53	C10orf10	0.1349
209192_x_at	833.72	236.86	KAT5	3.5199
209208_at	211.38	25.39	MPDU1	8.3257
209253_at	109.84	31.15	SORBS3	3.5256
209276_s_at	220.33	791.24	GLRX	0.2785
209299_x_at	105.11	11.69	PPIL2	8.9937
209374_s_at	1575.61	221.76	IGHM	7.1051
209402_s_at	145.66	42.71	SLC12A4	3.4102
209431_s_at	154.55	7.06	PATZ1	21.8900
209434_s_at	438.70	1400.42	PPAT	0.3133
209460_at	73.08	227.58	ABAT	0.3211
209487_at	206.82	40.48	RBPMS	5.1092
209488_s_at	269.73	80.79	RBPMS	3.3388
209499_x_at	105.50	32.25	TNFSF12-TNFSF13 /// TNFSF13	3.2707
209505_at	6.47	103.89	NR2F1	0.0623
209508_x_at	1548.73	388.86	CFLAR	3.9828
209516_at	290.16	55.39	SMYD5	5.2387
209537_at	649.57	1974.35	EXTL2	0.3290
209542_x_at	136.12	4.80	IGF1	28.3733
209547_s_at	40.90	129.73	SF4	0.3153
209568_s_at	164.00	567.56	RGL1	0.2890
209582_s_at	697.82	208.53	CD200	3.3465
209674_at	391.80	1821.50	CRY1	0.2151
209685_s_at	106.83	27.58	PRKCB	3.8731
209754_s_at	642.40	192.53	TMPO	3.3366
209813_x_at	128.55	10.35	TARP	12.4168
209837_at	303.81	67.99	AP4M1	4.4681
209840_s_at	147.91	31.69	LRRN3	4.6673
209841_s_at	156.19	36.66	LRRN3	4.2601
209936_at	314.95	83.56	RBM5	3.7693
209951_s_at	160.24	45.24	MAP2K7	3.5422
209958_s_at	53.12	187.05	BBS9	0.2840
209978_s_at	504.16	136.47	LPA /// PLG	3.6944
209994_s_at	40.58	138.59	ABCB1 /// ABCB4	0.2928
210031_at	4463.14	941.81	CD247	4.7389
210140_at	19.91	104.93	CST7	0.1898
210145_at	42.42	135.58	PLA2G4A	0.3129
210184_at	108.76	21.60	ITGAX	5.0363
210205_at	192.52	16.29	B3GALT4	11.8154
210215_at	114.54	24.69	TFR2	4.6391
210256_s_at	145.46	35.98	PIP5K1A	4.0425
210294_at	107.53	34.18	TAPBP	3.1461
210336_x_at	361.29	48.55	MZF1	7.4416
210387_at	51.50	225.13	HIST1H2BG	0.2288
210506_at	170.24	9.96	FUT7	17.0945
210537_s_at	142.10	37.07	TADA2A	3.8330
210564_x_at	1370.58	388.66	CFLAR	3.5264
210702_s_at	760.66	174.62	PTGIS	4.3562
210760_x_at	147.96	22.70	TRIP11	6.5192
210789_x_at	109.12	32.69	CEACAM3	3.3381
210820_x_at	251.64	83.48	COQ7	3.0146
210836_x_at	632.83	138.62	PDE4D	4.5652
210837_s_at	426.61	84.77	PDE4D	5.0326
210839_s_at	907.72	2750.38	ENPP2	0.3300
210841_s_at	110.99	33.08	NRP2	3.3553
210850_s_at	102.40	10.79	ELK1	9.4914
210887_s_at	113.52	37.30	EVC	3.0437
210934_at	250.39	81.44	BLK	3.0745
211021_s_at	466.49	138.89	RGS14	3.3588
211107_s_at	134.47	42.65	AURKC	3.1529
211141_s_at	181.37	54.71	CNOT3	3.3153
211194_s_at	936.41	258.91	TP63	3.6168
211266_s_at	110.03	10.00	GPR4	11.0048
211316_x_at	2091.90	565.86	CFLAR	3.6968
211317_s_at	1096.20	360.71	CFLAR	3.0390
211400_at	104.01	20.45	FGFR2	5.0854
211439_at	126.04	22.33	SFRS7	5.6437
211473_s_at	187.80	58.10	COL4A6	3.2326
211500_at	121.60	33.04	MAPK11	3.6803
211592_s_at	245.74	79.72	CACNA1C	3.0827
211605_s_at	696.75	195.89	RARA	3.5568
211748_x_at	31.65	166.34	PTGDS	0.1903
211823_s_at	122.28	17.26	PXN	7.0861
211828_s_at	166.97	589.46	TNIK	0.2833
211833_s_at	610.28	166.56	BAX	3.6640
211840_s_at	321.69	46.16	PDE4D	6.9690
211862_x_at	2191.39	600.54	CFLAR	3.6490
211892_s_at	749.02	192.27	PTGIS	3.8957
211900_x_at	114.51	34.93	CD6	3.2784
212070_at	289.75	50.83	GPR56	5.7005
212124_at	1095.11	167.02	ZMIZ1	6.5567
212147_at	284.95	16.27	SMG5	17.5182
212238_at	1296.34	420.14	ASXL1	3.0855
212253_x_at	34.51	127.61	DST	0.2704
212290_at	548.91	151.83	SLC7A1	3.6153
212334_at	349.91	1107.13	GNS	0.3161
212418_at	1203.02	379.39	ELF1	3.1710
212420_at	922.04	304.56	ELF1	3.0274
212428_at	754.47	178.10	KIAA0368	4.2363
212462_at	442.59	113.59	MYST4	3.8964
212501_at	3297.25	1081.76	CEBPB	3.0480
212504_at	137.69	31.58	DIP2C	4.3593
212559_at	118.93	33.66	PRKAR1B	3.5331
212583_at	57.41	192.47	AQR	0.2983
212602_at	124.84	36.82	WDFY3	3.3905
212660_at	1085.25	274.07	PHF15	3.9598
212683_at	306.86	1060.26	SLC25A44	0.2894
212726_at	411.12	123.79	PHF2	3.3210
212728_at	22.55	101.37	DLG3	0.2225
213208_at	470.68	153.92	KIAA0240	3.0580
213314_at	50.05	152.86	C6orf162	0.3274
213336_at	223.91	50.88	BAZ1B	4.4009
213364_s_at	50.34	164.59	SNX1	0.3059
213390_at	1157.84	318.04	ZC3H4	3.6406
213489_at	77.83	328.93	MAPRE2	0.2366
213529_at	117.06	37.55	ZNF688	3.1178
213542_at	268.70	27.36	ZNF710	9.8206
213553_x_at	107.36	35.68	APOC1	3.0092
213693_s_at	238.95	15.51	MUC1	15.4058
213763_at	2099.95	664.59	HIPK2	3.1597
213793_s_at	236.40	1178.88	HOMER1	0.2005
213819_s_at	135.04	28.15	FLOT1	4.7975
213884_s_at	19.61	133.60	TRIM3	0.1468
213906_at	164.35	646.30	MYBL1	0.2543
213927_at	133.49	419.68	MAP3K9	0.3181
213998_s_at	143.87	37.42	DDX17	3.8453
214054_at	390.39	78.89	DOK2	4.9485
214079_at	3012.86	9644.44	DHRS2	0.3124
214258_x_at	1387.95	453.30	KAT5	3.0619
214326_x_at	571.37	170.01	JUND	3.3608
214338_at	100.79	23.17	DNAJB12	4.3501
214423_x_at	180.00	49.65	ALDOB	3.6253
214486_x_at	864.96	276.07	CFLAR	3.1332
214499_s_at	336.78	87.00	BCLAF1	3.8711
214531_s_at	168.38	560.72	SNX1	0.3003
214579_at	134.47	22.27	NIPAL3	6.0370
214588_s_at	43.98	138.22	MFAP3	0.3182
214671_s_at	382.31	116.05	ABR	3.2944
214673_s_at	200.71	54.08	HUWE1	3.7115
215147_at	211.53	24.69	---	8.5656
215252_at	244.11	79.02	---	3.0891
215305_at	159.76	12.25	PDGFRA	13.0411
215571_at	128.72	37.47	---	3.4351
215587_x_at	115.92	31.67	---	3.6602
215687_x_at	107.54	20.98	PLCB1	5.1257
215719_x_at	2065.37	426.87	FAS	4.8384
215862_at	163.13	43.21	---	3.7755
215923_s_at	1377.35	374.92	PSD4	3.6737
216046_at	102.20	30.08	---	3.3975
216060_s_at	194.72	954.70	DAAM1	0.2040
216174_at	749.07	230.49	HCRP1	3.2499
216208_s_at	100.58	18.02	ATF6B	5.5803
216224_s_at	114.71	12.38	HDAC6	9.2645
216252_x_at	1811.75	452.31	FAS	4.0056
216272_x_at	103.33	15.87	SYDE1	6.5104
216417_x_at	1305.41	171.63	HOXB9	7.6061
216427_at	130.96	28.18	---	4.6469
216542_x_at	276.46	70.58	IGHA1 /// IGHG1 /// IGHM /// LOC100290293	3.9172
216629_at	105.14	34.48	SRRM2	3.0493
216867_s_at	204.83	46.42	PDGFA	4.4129
216901_s_at	609.66	119.55	IKZF1	5.0996
217022_s_at	762.64	21.75	IGH@ /// IGHA1 /// IGHA2 /// LOC100126583	35.0589
217027_x_at	195.97	64.06	KPNB1	3.0591
217066_s_at	116.16	24.81	DMPK	4.6823
217192_s_at	2711.67	800.65	PRDM1	3.3868
217227_x_at	101.15	22.64	IGLV1-44 /// LOC100290557	4.4686
217235_x_at	160.48	31.72	IGLL5 /// IGLV2-23	5.0594
217295_at	36.29	115.50	MUC8	0.3142
217312_s_at	129.66	41.48	COL7A1	3.1257
217319_x_at	140.48	45.34	CYP4A22	3.0988
217399_s_at	22.93	103.22	FOXO3 /// FOXO3B	0.2221
217486_s_at	224.82	32.52	ZDHHC17	6.9130
217615_at	105.58	7.41	---	14.2522
217708_x_at	24.79	106.24	---	0.2333
217710_x_at	182.53	16.65	ITPK1	10.9656
217734_s_at	698.20	185.13	WDR6	3.7714
217923_at	1194.75	327.87	PEF1	3.6440
217937_s_at	420.92	139.46	HDAC7	3.0183
217979_at	214.86	645.18	TSPAN13	0.3330
218017_s_at	275.23	74.69	HGSNAT	3.6850
218145_at	1136.38	329.54	TRIB3	3.4483
218180_s_at	111.53	18.29	EPS8L2	6.0977
218301_at	482.98	118.58	RNPEPL1	4.0731
