Accession No.	Gene name	Symbol	Fold change
BC158603	ATP-binding cassette, sub-family A (ABC1), member 12	Abca12	26.04
NM_009308	synaptotagmin IV	Syt4	24.74
NM_175475	cytochrome P450, family 26, subfamily b, polypeptide 1	Cyp26b1	24.08
AF154337	transmembrane 7 superfamily member 1	Tm7sf1	24.03
NM_000086	proteolipid protein	Plp	24
NM_009280	synovial sarcoma translocation, Chromosome 18	Ss18	23.73
NM_144862	LIM and senescent cell antigen like domains 2	Lims2	23.58
NM_145363	oculospanin	Ocsp	23.57
NM_177740	RGM domain family, member A	Rgma	23.23
NM_172584	inositol 1,3,4-triphosphate 5/6 kinase	Itpk1	23.19
NM_009177	sialyltransferase 4A (beta-galactoside alpha-2,3-sialytransferase)	Siat4a	23.15
NM_008618	malate dehydrogenase 1, NAD (soluble)	Mdh1	23.14
NM_008773	purinergic receptor P2Y, G-protein coupled 2	P2ry2	23.13
NM_008601	microphthalmia-associated transcription factor	Mitf	23.1
NM_145933	beta galactoside alpha 2,6 sialyltransferase 1	St6gal1	23.05
NM_144862	LIM and senescent cell antigen like domains 2	Lims2	23.04
NM_008125	gap junction membrane channel protein beta 2	Gjb2	22.99
NM_001014973	sorting nexin 13	Snx13	22.99
XM_001471531	mutated in colorectal cancers	Mcc	22.93
NM_001033217	prickle like 1 (Drosophila)	Prickle1	22.92
NM_011437	SRY-box containing gene 10	Sox10	22.9
NM_008889	protein phosphatase 1, regulatory (inhibitor) subunit 14B	Ppp1r14b	22.89
NM_008963	prostaglandin D2 synthase (brain)	Ptgds	22.85
NM_008317	hyaluronidase 1	Hyal1	22.85
NM_010777	myelin basic protein	Mbp	22.82
NM_028238	Rab38, member of RAS oncogene family	Rab38	22.81
NM_011160	protein kinase, cGMP-dependent, type I	Prkg1	22.79
NM_011594	tissue inhibitor of metalloproteinase 2	Timp2	22.79
NM_021883	tropomodulin 1	Tmod1	22.76
NM_053077	membrane associated transporter protein	Matp	22.76
NM_026794	differentially expressed in B16F10 1	Deb1	22.76
NM_028017	N-ethylmaleimide sensitive fusion protein attachment protein gamma	Napg	22.73
NM_173401	F-box protein 44	Fbxo44	22.72
NM_008156	glycosylphosphatidylinositol specific phospholipase D1	Gpld1	22.71
NM_010271	glycerol-3-phosphate dehydrogenase 1 (soluble)	Gpd1	22.7
NM_007943	epidermal growth factor receptor pathway substrate 15	Eps15	22.68
NM_011797	carbonic anhydrase 14	Car14	22.65
AF035643	vesicle-associated membrane protein 5	Vamp5	22.63
NM_013807	polo-like kinase 3 (Drosophila)	Plk3	22.62
NM_008559	melanocortin 1 receptor	Mc1r	22.6
NM_007502	ATPase, Na+/K+ transporting, beta 3 polypeptide	Atp1b3	22.59
NM_008139	guanine nucleotide binding protein, alpha q polypeptide	Gnaq	22.59
NM_008397	integrin alpha 6	Itga6	22.58
NM_011923	angiopoietin-like 2	Angptl2	22.57
NM_145439	transmembrane channel-like gene family 6	Tmc6	22.56
NM_053110	glycoprotein (transmembrane) nmb	Gpnmb	22.56
NM_021889	synaptotagmin 9	Syt9	22.56
NM_007905	polyhomeotic-like 1 (Drosophila)	Phc1	22.56
NM_080793	SET domain-containing protein 7	Set7	22.55
NM_172992	putative homeodomain transcription factor 2	Phtf2	22.54
NM_176996	smoothened homolog (Drosophila)	Smo	22.54
NM_011390	solute carrier family 12, member 7	Slc12a7	22.52
NM_130886	caspase recruitment domain family, member 14	Card14	22.52
NM_175445	Ras association (RalGDS/AF-6) domain family 2	Rassf2	22.5
NM_010164	eyes absent 1 homolog (Drosophila)	Eya1	22.5
