Gene Symbol	Gene Name	Relative mRNA expression 0.05 microM AFBI Microarray	Relative mRNA expression 0.05 microM AFBI RT-qPCR	Relative mRNA expression 0.25 microM AFBI Microarray	Relative mRNA expression 0.25 microM AFBI RT-qPCR
AREG	Amphiregulin (schwannoma-derived growth factor)	2.1	3.67	4.5	9.3
BCAS3	Breast carcinoma amplified sequence 3	0.63	0.54	0.53	0.28
ERCC1	Excision repair cross-complementing rodent repair deficiency, complementation group 1	1	1.41	1.52	2.12
EREG	Epiregulin	1.69	2.85	3.3	8.93
EXO 1	Exonuclease 1	1.27	1.99	2.47	4.07
FHIT	Fragile histidine triad gene	0.48	0.66	0.44	0.47
GNMT	Glycine N-methyltransferase	0.59	0.65	0.38	0.44
MAT1A	Methionine adenosyltransferase I, alpha	0.81	0.82	0.41	0.35
MGMT	O-6-methylguanine-DNA methyltransferase	0.75	0.88	0.37	0.43
NIBP	NIK and IKK{beta} binding protein	0.56	0.63	0.45	0.48
PIM2	pim-2 oncogene	1.18	1.37	1.94	2.98
PLK3	Polo-like kinase 3 (Drosophila)	1.35	1.78	1.92	3.87
SMYD3	SET and MYND domain containing 3	0.67	0.61	0.57	0.7
TYMS	Thymidylate synthetase	1.33	1.41	1.53	2.33
