ID	Gene.Symbol	Gene.Title	logFC	adj.P.Val	adj. P Val. combined
34206_at	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	-0.302581522	0.028555896	0.047740045
208862_s_at	CTNND1	catenin (cadherin-associated protein), delta 1	-0.363043478	0.019383995	0.034294392
200705_s_at	EEF1B2	eukaryotic translation elongation factor 1 beta 2	0.516059783	0.002185832	0.011039929
208289_s_at	EI24	etoposide induced 2.4 mRNA	0.449565217	0.016675922	0.020846647
212025_s_at	FLII	flightless I homolog (Drosophila)	-0.474402174	0.002443164	0.009670095
203820_s_at	IGF2BP3	insulin-like growth factor 2 mRNA binding protein 3	1.469972826	0.007473632	0.036309628
201892_s_at	IMPDH2	IMP (inosine monophosphate) dehydrogenase 2	0.956820652	0.002443164	0.01391727
202209_at	LSM3	LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)	0.606793478	0.011999745	0.047741115
208633_s_at	MACF1	microtubule-actin crosslinking factor 1	-0.637798913	0.019383995	0.041450943
207098_s_at	MFN1	mitofusin 1	0.66048913	0.048591478	0.034294392
217765_at	NRBP1	nuclear receptor binding protein 1	-0.442608696	0.002443164	0.012566996
213638_at	PHACTR1	phosphatase and actin regulator 1	1.101711957	0.015157268	0.047740045
202732_at	PKIG	protein kinase (cAMP-dependent, catalytic) inhibitor gamma	0.840788043	0.048591478	0.047740045
217846_at	QARS	glutaminyl-tRNA synthetase	0.560733696	0.003172412	0.019717856
210255_at	RAD51L1	RAD51-like 1 (S. cerevisiae)	0.391875	0.006890325	0.034294392
200074_s_at	RPL14	ribosomal protein L14	0.560298913	0.002185832	0.009022671
217266_at	RPL15	ribosomal protein L15	0.778967391	0.002403924	0.009022671
200013_at	RPL24	ribosomal protein L24	0.508831522	0.002185832	0.009022671
200674_s_at	RPL32	ribosomal protein L32	0.316684783	0.016675922	0.047740045
200018_at	RPS13	ribosomal protein S13	0.328722826	0.002443164	0.011039929
212018_s_at	RSL1D1	ribosomal L1 domain containing 1	0.481032609	0.005066391	0.012566996
209879_at	SELPLG	selectin P ligand	-0.716413043	0.042684911	0.037152851
221428_s_at	TBL1XR1	transducin (beta)-like 1 X-linked receptor 1	1.09375	0.007473632	0.012566996
218316_at	TIMM9	translocase of inner mitochondrial membrane 9 homolog (yeast)	0.483967391	0.005862836	0.036309628
219282_s_at	TRPV2	transient receptor potential cation channel, subfamily V, member 2	-0.493559783	0.017009834	0.036309628
203234_at	UPP1	uridine phosphorylase 1	-0.626902174	0.02062561	0.032653743
216547_at			0.47173913	0.002627588	0.013739241
217347_at			0.364266304	0.005482291	0.032653743
216806_at			0.481195652	0.005066391	0.034294392
