Functional classification	Gene name	Gene symbol	Fold change APB	Fold change PPB
Amino acid metabolism	Cysteine conjugate-beta lyase; cytoplasmic (glutamine transaminase K, kyneurenine aminotransferase)	CCBL1	-2.48	-2.08
Carbohydrate metabolism	ER degradation enhancer, mannosidase alpha-like 2	EDEM2	-1.36	-1.66
Electron transport	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9, 22 kDa	DNDUFB9	-1.29	-1.37
Electron transport	Isovaleryl Coenzyme A dehydrogenase	IVD	-1.5	-1.69
Electron transport	NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13 kDa (NADH-coenzyme Q reductase)	NDUFS6	-1.22	-1.42
Electron transport chain	NADH dehydrogenase 1 beta subcomplex, 11, 17.3 kda	NDUFB11	-1.61	-1.71
Electron transport chain	Ring finger 144b	RNF144B	-2.79	-2.56
Electron transport chain	Glutaryl-Coenzyme A dehydrogenase	GCDH	-2.01	-1.5
Energy metabolism	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42 kDa	NDUFA10	-1.66	-1.46
Lipid metabolism	Protein kinase, AMP-activated, gamma 1 non-catalytic subunit	PRKAG1	-1.41	-2.10
Glutathione conjugation	Glutathione S-transferase P (GST 7-7) (Chain 7) (GST class-pi)	GSTP1	-1.22	-1.77
Glycolysis	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH	-1.13	-2.13
Glycolysis	Aldolase A, fructose-bisphosphate	ALDOA	1.53	2.54
Heme biosynthesis	Heme a:farnesyltransferase	COX10	-1.57	-1.54
Lipid metabolism	Hydroxysteroid (17-beta) dehydrogenase 10	HSD17B10	-1.76	-1.83
Protein AA dephosphorylation	Protein phosphatase 2, regulatory subunit B0, alpha	PPP2R3A	1.3	3.67
Protein AA phosphorylation	Janus kinase 1 (a protein tyrosine kinase)	JAK1	1.66	3.64
TCA cycle	Isocitrate dehydrogenase 3 (NAD+) beta	IDH3B	-2.19	-2.23
TCA cycle	Succinate dehydrogenase complex, subunit C, integral membrane protein, 15 kDa	SDHC	-1.43	-1.34
