Gene	RQ chondrogenesis	RQ osteogenesis	Ratio RQ of  chondrogenesis/osteogenesis
Col2a1	30818	0.2	181276
Col10a1	808	2.00 n.s.	404
Ihh	103	0.4	274
Aggrecan	32	0.3	107
VEGFR-2	2.7	0.04	67.5
Integrin alpha10	85	1.5	57
Sox6	20.5	0.4	51
Col1a1	50	1.00 n.s.	50
COMP	897	28	32
Sox9	26	1.00 n.s.	26
CINC-2	1.5	0.15	10
MMP-13	30	3	10
Runx2	6	0.7	8.6
VEGF alpha	2.4	0.35	6.9
Tbox2	6.7	1.35	5
Col16a1	2.8	0.7	4
Sox4	6.5	3.25	2
MMP-2	3.6	2.5	1.4
Integrin alpha11	2	1.6	1.25
TIMP-2	6.2	23.6	0.3
TIMP-1	0.4	1.4	0.3
	0.2	0.6	0.3
	0.4	2.8	0.14
MCP-1	0.05	1.00 n.s.	0.05
