RefSeq ID	Real Time PCR 0.5	Real Time PCR 3	Real Time PCR 6	Real Time PCR 9	Microarray 0.5	Microarray 3	Microarray 6	Microarray 9
NM_002413	0.37	–0.06	–0.56	–0.46	0.03	0.16	–a	–1.49
NM_000416	0.27	–0.34	–1.2	–1.46	–	–	–	–1.04
NM_005534	0.33	0.06	–0.48	–0.57	0.16	0.02	–0.32	–0.67
NM_005567	0.52	–0.06	–1	–1.5	–0.11	–0.01	–0.43	–0.62
NM_006427	0.42	0.21	–0.41	–0.94	0.052	0.31	0.25	–0.18
NM_006404	0.38	0.02	–0.26	–0.06	0.21	–0.09	0.61	0.69
NM_001136	0.5	0.76	0.9	1.04	–0.03	–0.012	0.47	0.74
NM_000211	0.28	–0.46	–2.8	0.61	–0.07	–0.06	0.53	0.85
NM_002852	0.36	0.14	0.7	0.53	0.15	–0.02	0.45	0.95
NM_000757	0.4	0.202	–0.2	2.08	–	0.12	–	1.21
NM_003485	0.33	0.55	–1.3	–0.03	0.22	0.19	–	1.65
NM_000577	0.06	–0.28	0.11	2.17	–	–	–	2.17
NM_000879	0.65	–0.72	0.95	–0.3	–	–	–	3.71
