Gene symbol	Fold change	Regulation	Gene annotation	Domain
SPAC17G6.13	2.52	up	sequence orphan	Cellular response to stress
SPCC338.18	4.49	up	sequence orphan	Cellular response to stress
SPAC22H12.01c	2.55	up	sequence orphan	Cellular response to stress
SPAC186.03///SPBPB21E7.09	2.33	up	L-asparaginase///L-asparaginase (predicted)	Cellular response to stress
hri1	2.99	up	eIF2 alpha kinase Hri1	Cellular response to stress
SPBP4H10.10	2.53	up	rhomboid family protease	Cellular response to stress
SPAC11D3.17	2.44	up	zinc finger protein	Cellular response to stress
ght3	4.49	up	hexose transporter Ght3 (PMID 10735857)	Cellular response to stress
psi	2.12	up	DNAJ domain protein Psi1	Cellular response to stress
SPAC27D7.09c	2.38	up	S. pombe specific But2 family protein	Cellular response to stress
SPBC16D10.08c	2.16	up	heat shock protein Hsp104 (predicted)	Cellular response to stress
SPBC1271.08c	6.8	up	sequence orphan	Cellular response to stress
SPAC11D3.09	2.28	up	agmatinase (predicted)	Cellular response to stress
SPAPJ691.02	2.02	up	yippee-like protein	Cellular response to stress
SPCC191.01	2.16	up	sequence orphan	Cellular response to stress
SPCC70.08c	2.67	up	methyltransferase (predicted)	Cellular response to stress
ssa1	2.98	up	heat shock protein Ssa1	Cellular response to stress
SPBPB2B2.12c	6.46	up	UDP-glucose 4-epimerase	Cellular response to stress
ght4	5.46	up	hexose transporter Ght4 (PMID 10735857)	Cellular response to stress
SPCC1739.08c	6.91	up	short chain dehydrogenase	Cellular response to stress
SPAC1F8.04c	2.27	up	hydrolase (predicted)	Cellular response to stress
isp7	2.07	up	2-OG-Fe(II) oxygenase superfamily protein	Cellular response to stress
SPBC4F6.17c	2.51	up	mitochondrial matrix chaperone Hsp78 (predicted)	Cellular response to stress
SPBC1271.07c	6.52	up	N-acetyltransferase (predicted)	Cellular response to stress
SPBC1683.06c	5.45	up	uridine ribohydrolase (predicted)	Cellular response to stress
SPBP26C9.01c	2.52	up	hydroxyacid dehydrogenase (predicted)	Cellular response to stress
SPACUNK4.17	0.46	down	NAD binding dehydrogenase family protein	Cellular response to stress
gut2	0.42	down	glycerol-3-phosphate dehydrogenase Gut2	Cellular response to stress
