Affymetrix Probe ID	Gene description	ChRCC-score	Oncocytoma-score	Fold change
216219_at	aquaporin 6	0.1972	0.1972	0.2
240304_s_at	transmembrane channel-like 5	0.1247	-0.1247	13
208435_s_at	aquaporin 6	0.1218	0.1218	0.22
205691_at	synaptogyrin 3	0.1108	-0.1108	3.75
230110_at	mucolipin 2	0.0731	0.0731	0.15
52940_at	single immunoglobulin and toll-interleukin receptor (TIR) domain	0.0577	-0.0577	3.28
217879_at	cell division cycle 27 homolog (S. cerevisiae)	0.0403	0.0403	0
222574_s_at	DEAH (Asp-Glu-Ala-His) box polypeptide 40	0.0228	0.0228	0.48
218921_at	single immunoglobulin and toll-interleukin receptor (TIR) domain	0.0205	-0.0205	3.16
1557137_at	transmembrane protein 17	0.0178	0.0178	0.4
230644_at	leucine rich repeat and fibronectin type III domain containing	0.0172	-0.0172	4.9
223087_at	enoyl Coenzyme A hydratase domain containing 1	0.0167	0.0167	0.42
203039_s_at	NADH dehydrogenase (ubiquinone) Fe-S protein 1	0.0093	0.0093	0.46
202502_at	acyl-Coenzyme A dehydrogenase	0.0089	0.0089	0.35
