GenBank accession no.	LCMV-cgPi signal	Mock signal	Signal ratio	P	Gene identity
AW047653	206.3	6.2	33.27	0.000002	UBP43
U43086	493.6	34.8	14.18	0.000001	GARG-49
U43084	454	39.6	11.46	0.000001	GARG-16
X56602	377.2	42.1	8.96	0.000001	ISG15
D90146	122	16.6	7.35	0.000533	MHCI Q8/9d
M27134	176.3	24.9	7.08	0.000085	MHCI K region locus 2
U06924	330.8	49.3	6.71	0.000001	STAT1
X16202	892.1	195	4.57	0.000001	MHCI Q4
U55060	234.2	57.2	4.09	0.000054	-Gal binding lectin
X67809	892.2	233.1	3.83	0.000001	Peptidylprolyl isomerase C-associated protein
D63902	119.6	31.6	3.78	0.000004	Zinc finger protein 147
U43085	121	33.1	3.66	0.000253	GARG-39
U19119	193	55.2	3.50	0.000001	LRG-47
AJ007972	265.7	76.3	3.48	0.000021	GTPI
X01838	3369.6	989.1	3.41	0.000001	Beta-2 microglobulin
U51992	502.5	157.2	3.20	0.000001	IRF-9
L12367	34.6	215.1	-6.22	0.000074	Adenylyl cyclase-associated protein
V00727	80.5	321.9	-4	0.001304	FBJ osteosarcoma oncogene
