Fold change	Gene Symbol	Representative public ID
-759.0	LUM	NM_002345
-737.5	CFH /// CFHL1	X56210
-418.3	PAG1	AK000680
-373.2	GJA1	NM_000165
-349.5	CFH	X04697
-293.1	COL3A1	AU144167
-246.6	IGFBP4	NM_001552
-226.6	PLA2R1	BE048919
-198.0	AKAP12	AB003476
-195.8	RGS4	AL514445
-185.2	SPARC	NM_003118
-177.2	---	BF344237
-157.5	COL1A2	NM_000089
-153.8	DPYSL3	NM_001387
-144.7	MN1	NM_002430
-133.5	FLJ90166	BG326592
-130.9	SULF1	BE500977
-120.6	COL1A1	BE221212
-91.2	CSPG2	BF590263
-82.5	IGF2	NM_000612
-81.7	POSTN	AY140646
-79.6	PRSS23	AI569872
-76.5	---	AI822137
-76.1	MAP1B	AA554833
-73.6	EPHA4	T15545
-73.2	DCN	AI281593
-72.2	ATP8B2	AB032963
-64.5	OMD	AI765819
-64.1	IL1RL1	NM_003856
-63.9	ARHGAP22	NM_021226
-61.6	CLU	M25915
-60.6	MSRB3	AW027333
-60.6	DHRS9	AF240697
-60.1	WNT5B	NM_030775
-57.6	PTX3	NM_002852
-56.5	STC2	AI435828
-54.0	TFPI	J03225
-52.5	SPOCD1	BF689253
-50.8	SLC7A2	AA876372
-49.5	C2orf32	AW193693
-47.7	---	BE857553
-47.5	C1S	BC007010
-46.5	PLAT	NM_000930
-46.3	KCNJ2	BF111326
-42.9	PDGFRL	NM_006207
-39.7	DKK2	NM_014421
-39.4	PRG1	J03223
-39.1	FBN1	AI264196
-38.0	PTGFR	NM_000959
-37.6	GPR64	NM_005756
-37.3	NOV	BF440025
-36.9	GNG11	NM_004126
-36.7	COL4A4	D17391
-35.3	LOC441054	AA625683
-34.5	PMP22	L03203
-33.5	CTGF	M92934
-32.3	VIM	AI922599
-31.8	ANGPTL4	NM_016109
-31.7	BIN1	BG034080
-30.3	TMEM37	BI825302
-29.9	CDH10	NM_006727
-29.9	APLP1	U48437
-29.8	CDH2	M34064
-29.0	LOC51334	NM_016644
-28.9	TNFAIP6	NM_007115
-28.8	BDNF	NM_001709
-28.3	ENO2	NM_001975
-28.2	---	T68445
-27.9	TCF8	U12170
-26.8	PCDH7	BE644809
-26.8	COL8A1	BE877796
-26.1	RUNX2	AL353944
-25.8	C2orf10	AF052145
-25.8	EPHA5	X95425
-25.8	NEGR1	AI123532
-25.5	PAPSS2	AW299958
-24.9	---	BG109855
-24.9	PLXND1	AL575403
-24.4	NID1	BF940043
-24.4	LRP1	BF304759
-24.4	HMGA2	NM_003483
-24.3	SLC26A11	BE964598
-23.6	PTGER4	AI675173
-23.6	MAOA	NM_000240
-23.1	MYL9	NM_006097
-23.0	AKR1C1	BC014579
-22.7	SLC7A11	AA488687
-22.0	PKIA	NM_006823
-22.0	ARMCX1	NM_016608
-21.5	PDCD6	BC020552
-21.2	TOX	AI961231
-21.0	RECK	NM_021111
-21.0	ADAMTS1	AK023795
-20.9	ANXA6	NM_001155
-20.5	IFI44L	NM_006820
-20.3	GEM	NM_005261
-19.9	HNMT	NM_006895
-19.5	LTBP1	AI986120
-19.3	P4HA3	AW665086
-18.9	FN1	AJ276395
-18.8	SCARA3	AB007830
-18.4	SLC2A13	NM_052885
-18.4	DOCK2	AI991459
-18.4	C10orf56	AA131324
-18.1	TSPAN5	AF065389
-18.1	HAS2	NM_005328
-18.1	NAV1	AB032977
-17.9	NR2F1	AI951185
-17.8	COL12A1	U73778
-17.8	RNASE4	NM_002937
-17.5	---	AA195408
-16.4	KLRC1 /// KLRC2	NM_002260
-16.4	---	AW273796
-15.6	---	AW204033
-15.6	LOC91526	AU157224
-15.5	IPO9	AI659533
-15.3	GAS1	NM_002048
-15.3	SERPINE2	AL541302
-15.1	SLC1A1	AW235061
-15.1	ALDH3A1	NM_000691
-14.9	SAMSN1	AF519621
-14.8	KCNT2	AI732637
-14.8	ETV5	NM_004454
-14.5	MMP2	NM_004530
-14.4	DHRS8	NM_016245
-14.4	HEG	AI148659
-14.3	PROS1	NM_000313
-14.2	GRIK2	AJ252246
-14.1	G1P3	NM_022873
-13.9	NT5E	NM_002526
-13.7	SELM	BF973568
-13.6	---	AL833114
-13.5	LAMA4	NM_002290
-13.4	THEDC1	AI125696
-13.4	FLJ14213	NM_024841
-13.4	KLRC3	NM_002261
-13.2	SH3MD4	AL566989
-13.1	IGFBP7	NM_001553
-12.8	SORBS2	NM_021069
-12.8	KDELR3	NM_006855
-12.7	HSD11B1	NM_005525
-12.6	---	AU157881
-12.6	COL6A3	NM_004369
-12.6	RPS6KA2	AI992251
-12.4	LTBP2	NM_000428
-12.3	TRIB2	NM_021643
-12.0	PAPPA	BF107618
-11.9	ANKRD28	N32051
-11.7	TLR4	U93091
-11.5	MGC10992	BC004307
-11.5	ITGB5	AL048423
-11.5	NBEA	NM_015678
-11.4	SC65	NM_006455
-11.3	NRP1	BE620457
-11.3	TSPAN7	NM_004615
-11.2	TMEM45A	NM_018004
-11.1	SE57-1	NM_025214
-11.1	PCDH9	NM_020403
-11.0	PRP2	NM_173490
-10.6	TAGLN	NM_003186
-10.6	PPP1R3C	N26005
-10.5	CALCRL	U17473
-10.5	SMARCA1	NM_003069
-10.4	---	AI632692
-10.4	CYLN2	BC006259
-10.3	LOC283537	AK026720
-10.3	Septin-11	AI333326
-10.3	SPOCK	AF231124
-10.2	RASSF4	N49935
-10.1	FYN	S74774
-10.0	RASSF8	BG484552
-10.0	TM7SF1	NM_003272
-9.9	SYT11	BC004291
-9.9	CPE	NM_001873
-9.8	IFI44	NM_006417
-9.7	MGC10946	BE326710
-9.6	SVEP1	AA716107
-9.6	SEPP1	NM_005410
-9.6	IKIP	AW182575
-9.4	DLC1	AF026219
-9.3	---	AA594609
-9.2	CDH13	NM_001257
-9.1	DZIP1	AL568422
-9.1	PPAP2A	AB000888
-9.1	CYR61	NM_001554
-9.1	NID67	AF313413
-9.0	MYLK	AA526844
-8.9	ITGA5	NM_002205
-8.8	DCAMKL1	AI129626
-8.8	AMSH-LP	AI638611
-8.7	ACTG2	NM_001615
-8.6	BNIP3L	AF060922
-8.5	LOC201895	AI824013
-8.5	C1orf139	AA775681
-8.5	COL4A1	NM_001845
-8.5	TRAM2	AI986461
-8.4	MLLT11	BC006471
-8.4	FLJ42709	AW206234
-8.3	FLJ10357	R42449
-8.3	PTGS1	S36219
-8.3	ZFHX1B	NM_014795
-8.2	TGM2	BC003551
-8.2	TIMP1	NM_003254
-8.1	DUSP6	BC003143
-8.1	COPZ2	NM_016429
-7.9	FUCA1	NM_000147
-7.9	BNIP3L	AL132665
-7.9	---	AA721025
-7.9	SULT1B1	NM_014465
-7.8	TIMP2	BF107565
-7.8	TMSL8	NM_021992
-7.7	SGSH	U30894
-7.7	IGFBP3	BF340228
-7.6	PVRL3	AA129716
-7.6	---	AW173504
-7.6	SPRY1	BF508662
-7.6	OLFML3	NM_020190
-7.5	ZXDB	BE677308
-7.5	EMP3	NM_001425
-7.5	ABCA6	AA099357
-7.4	ADM	NM_001124
-7.4	TTC7B	BE963437
-7.3	SLC22A1	NM_003057
-7.3	LOC440087	BE501385
-7.3	SYT1	AV731490
-7.3	AXL	NM_021913
-7.2	TGFB1I1	BC001830
-7.2	ANTXR2	AU152178
-7.1	TCEAL3	AA847654
-7.1	FBLN1	Z95331
-7.0	S100A4	NM_002961
-7.0	---	BF446723
-7.0	RGS17	NM_012419
-6.9	LRRC8C	AL136919
-6.9	WNT5A	AI968085
-6.9	ABCC4	AI948503
-6.8	COL7A1	NM_000094
-6.8	RAB31	AF183421
-6.8	DSCR1L1	NM_005822
-6.8	RGL1	AF186779
-6.8	CDON	AU151222
-6.8	PRKCA	AI471375
-6.7	LOC221362	AL577024
-6.6	ADSSL1	BF593252
-6.6	EFEMP2	NM_016938
-6.6	UGDH	NM_003359
-6.6	MRC2	AB014609
-6.6	LOC340061	BG110811
-6.5	AMIGO2	AC_004010
-6.5	TBC1D19	NM_018317
-6.5	DCAMKL1	NM_004734
-6.4	LXN	NM_020169
-6.4	CBR3	NM_001236
-6.3	SLC16A4	NM_004696
-6.3	---	BF061389
-6.3	SGNE1	NM_003020
-6.2	C14orf139	NM_024633
-6.2	KLHDC1	NM_172193
-6.2	PTPN22	AW665758
-6.2	GRB10	D86962
-6.2	GSTA4	NM_001512
-6.1	EPB41L5	AB046768
-6.1	LEPRE1	NM_022356
-6.1	DFNA5	NM_004403
-6.1	FLJ13710	BG163478
-6.1	SYDE1	R77097
-6.0	SLC2A13 /// FLJ40126	AL565362
-6.0	PART1	AI770098
-6.0	SGCB	NM_000232
-5.9	KCNMA1	U11058
-5.9	HPGD	J05594
-5.9	---	AA489100
-5.9	SLC12A8	NM_024628
-5.9	GNG2	AK026424
-5.9	DPY19L3	BF057717
-5.9	HTRA1	NM_002775
-5.9	TMEM22	NM_025246
-5.9	CCPG1	AU144243
-5.9	CHES1	NM_018589
-5.8	ABI3BP	AB056106
-5.8	IGFBP6	NM_002178
-5.8	TGFBR3	NM_003243
-5.8	WBP5	NM_016303
-5.7	KIAA0470	AA126789
-5.7	CDK5RAP2	NM_018249
-5.7	PTPRS	BF433071
-5.7	PTPRM	NM_002845
-5.7	GPAM	AV699379
-5.7	D4S234E	NM_014392
-5.6	PCOLCE2	NM_013363
-5.6	ITGA10	AF112345
-5.6	FLJ37927	AA173223
-5.6	KCNJ15	D87291
-5.6	SERPINE1	AL574210
-5.5	ADAMTS6	N71063
-5.5	CCND1	M73554
-5.5	FGF13	NM_004114
-5.5	FPR1	NM_002029
-5.5	ST8SIA4	AI422986
-5.5	ANGPT1	U83508
-5.5	IL6ST	BE856546
-5.5	SPRED1	BF342524
-5.5	WASPIP	AW058622
-5.5	CUL7	NM_014780
-5.4	NANOS1	AW970089
-5.4	MGP	NM_000900
-5.4	HSD17B2	NM_002153
-5.3	DUSP1	AA530892
-5.3	NEXN	NM_144573
-5.3	MFAP3L	NM_021647
-5.3	PPAP2B	AB000889
-5.3	LOC619208	N36759
-5.3	MARCKS	AW163148
-5.2	WWTR1	AA081084
-5.2	TCEA2	NM_003195
-5.2	DKFZP564K1964	AF132000
-5.2	LAPTM5	NM_006762
-5.2	TUBA3	AF141347
-5.2	GALNACT-2	W81648
-5.2	TMEM46	AW664964
-5.2	MAGED2	AF126181
-5.2	CBX6	N54506
-5.2	SAMD9L	BE669858
-5.2	SMPD1	M59916
-5.1	FKBP7	AF092137
-5.1	KIAA1212	AB033038
-5.1	ATOH8	BF434995
-5.1	CD99L2	AL136580
-5.1	SLC38A6	AI537540
-5.0	IRAK2	AI246590
-5.0	ALOX5AP	NM_001629
-5.0	DNAJB4	NM_007034
-5.0	GLT8D2	NM_031302
-4.9	KIRREL	AI049973
-4.9	C20orf161	CA447177
-4.9	MGC13102	AW090182
-4.9	EML1	AI825937
-4.9	FLJ10847	NM_018242
-4.9	---	BE877357
-4.9	MAGED2	AI924630
-4.9	SRPX	NM_006307
-4.9	NUAK1	NM_014840
-4.9	---	BG477064
-4.8	TWIST2	BC033168
-4.8	---	AL109696
-4.8	LOC284611	AI478747
-4.8	RHOB	BI668074
-4.8	EPHB6	NM_004445
-4.8	IL8	NM_000584
-4.8	UBE2L6	NM_004223
-4.8	GLRX	NM_002064
-4.8	CYP39A1	NM_016593
-4.7	ANKRD25	NM_015493
-4.7	EXTL2	AF000416
-4.7	COL4A2	AA909035
-4.7	PHLDA1	NM_007350
-4.7	LOC283788	N50864
-4.7	PCDHGC3 /// PCDHGB4 /// PCDHGA8 /// PCDHGA12 /// PCDHGC5 /// PCDHGC4 /// PCDHGB7 /// PCDHGB6 /// PCDHGB5 /// PCDHGB3 /// PCDHGB2 /// PCDHGB1 /// PCDHGA11 /// PCDHGA10 /// PCDHGA9 /// PCDHGA7 /// PCDHGA6 /// PCDHGA5 /// PCDHGA4 /// PCDHGA3 /// PCDHGA2 /// PCDHGA1	BC006439
-4.7	LOC401394 /// LOC402578	AW205664
-4.6	TGFB1	BC000125
-4.6	RNF24	NM_007219
-4.6	PRAF2	NM_007213
-4.6	ATP7A	NM_000052
-4.6	FZD2	L37882
-4.6	---	AI200555
-4.6	ODZ3	NM_018104
-4.5	HIP1	AU145049
-4.5	LARP6	NM_018357
-4.5	PCDHA9 /// PCDHAC2 /// PCDHAC1 /// PCDHA13 /// PCDHA12 /// PCDHA11 /// PCDHA10 /// PCDHA8 /// PCDHA7 /// PCDHA6 /// PCDHA5 /// PCDHA4 /// PCDHA3 /// PCDHA2 /// PCDHA1	AF152308
-4.5	TPST1	NM_003596
-4.4	PRDM1	AI692659
-4.4	CCL20	NM_004591
-4.4	SEPT6 /// N-PAC	D50918
-4.4	GLIPR1	U16307
-4.4	CHST7	NM_019886
-4.4	ALDH5A1	AL031230
-4.4	KIAA0470 /// KIAA0470L	NM_153243
-4.4	---	AU145711
-4.3	---	AI760356
-4.3	MAF	AF055376
-4.3	MXRA7	BF968134
-4.3	LOC285929	AA995791
-4.3	GALNT1	U41514
-4.3	ELOVL4	NM_022726
-4.3	RGS5	AF159570
-4.3	TNFRSF1A	NM_001065
-4.3	---	AI678258
-4.3	SLC12A4	AI817690
-4.3	LOC283070	AA528080
-4.3	C3orf6	AI247881
-4.2	ANTXR1	AF279145
-4.2	EPHX1	NM_000120
-4.2	---	AI692523
-4.2	SLC26A2	AI025519
-4.2	---	AA854843
-4.2	MGC33887	AI979276
-4.1	ZNF697	AW003092
-4.1	ECM1	U65932
-4.1	---	AI912571
-4.1	LHFP	BE674089
-4.1	SLITRK4	AL080239
-4.1	ASPH	NM_004318
-4.1	PLSCR4	NM_020353
-4.1	GCNT2	BF059748
-4.0	SVIL	NM_003174
-4.0	COP1	NM_052889
-4.0	GPR155	AI733474
-4.0	DPT	NM_001937
-4.0	ENPP2	D45421
-4.0	LIX1L	AW500180
-4.0	CYBRD1	AL136693
-3.9	NUCB2	AI377271
-3.9	SELENBP1	NM_003944
-3.9	STCH	AI718418
-3.9	CTSD	AV706254
-3.9	TCEAL1	NM_004780
-3.9	SIX4	AI554514
-3.9	SHPRH	BF671564
-3.9	LOC286334	AA910497
-3.9	TENC1	AB028998
-3.9	MGC34646	AW469351
-3.9	CYP1B1	AU154504
-3.9	PDK4	AV707102
-3.8	C10orf90	BC021140
-3.8	EPIM	H95263
-3.8	ANKH	AA854943
-3.8	ZFP36L2	AI356398
-3.8	---	AI300571
-3.8	MORF4L2	AI700608
-3.8	C1QDC1	NM_023925
-3.8	PRRX1	NM_006902
-3.8	DOCK1	NM_001380
-3.8	CDKL5	AI611074
-3.8	MPDZ	NM_003829
-3.7	SCD5	AL571375
-3.7	LAMC1	NM_002293
-3.7	---	AW451176
-3.7	LPIN2	NM_014646
-3.7	PBXIP1	BF344265
-3.7	ABCC3	AF009670
-3.7	PGRMC2	BE879873
-3.7	DDEF1	AW513835
-3.7	LTBP3	NM_021070
-3.7	QKI	AL031781
-3.7	ABHD2	BE671816
-3.7	NAV3	NM_014903
-3.7	C18orf4	AK021539
-3.7	C14orf159	NM_024952
-3.7	TRIOBP	NM_007032
-3.7	---	AI474666
-3.7	GPR161	AI743151
-3.7	LRP12	NM_024937
-3.6	ABCC1	AI539710
-3.6	G6PD	NM_000402
-3.6	SESN3	BE883841
-3.6	TACC1	BC041391
-3.6	ZNF25	N32599
-3.6	PCDH18	AW189885
-3.6	LOC92689	AI742174
-3.6	ST3GAL6	AI989567
-3.6	APOBEC3B	NM_004900
-3.6	TSPAN4	AF054841
-3.6	ARG99	AU151239
-3.6	PTPRG	NM_002841
-3.6	MGC17943	AK001731
-3.6	---	AI201594
-3.6	IL11RA	NM_004512
-3.6	GPSM1	AI242661
-3.6	FAT4	NM_024582
-3.6	C14orf58	NM_017791
-3.5	ACPL2	AW069729
-3.5	REPS2	AW962020
-3.5	SEC24D	NM_014822
-3.5	ECE1	BF969352
-3.5	CYP39A1	BC010358
-3.5	STS-1	AI418293
-3.5	Septin 6	AL568374
-3.5	CUL4B	AF212995
-3.5	LRRC27	AK098652
-3.5	ERCC1	NM_001983
-3.5	DIXDC1	AF070621
-3.5	KCTD6	T75480
-3.5	GALNT10	BE906572
-3.5	KIAA1641	NM_025190
-3.5	ABHD6	AA209239
-3.5	SLC17A5	NM_012434
-3.5	FZD7	NM_003507
-3.5	NQO1	AI039874
-3.5	PGBD1	BE883300
-3.5	IGF1R	H05812
-3.4	DCUN1D3	AI765327
-3.4	SYNJ2	AF318616
-3.4	SERPINI1	NM_005025
-3.4	SEC23A	NM_006364
-3.4	ARRDC2	AK000689
-3.4	TGFB2	M19154
-3.4	---	AL080082
-3.4	NGFRAP1	NM_014380
-3.4	LOC338620	AI435839
-3.4	GOLGA8A /// GOLGA8B	AI829170
-3.4	TMEM55A	AA604382
-3.4	DNMBP	AB023227
-3.4	---	AW117383
-3.4	GCHFR	NM_005258
-3.4	DIP13B	NM_018171
-3.4	POLR3GL	BC004355
-3.4	ATBF1	AI288759
-3.4	SMARCA3	AI760760
-3.4	GPR37	U87460
-3.4	ELK3	NM_005230
-3.4	SMAD7	NM_005904
-3.4	---	AI088063
-3.3	ITGA2	N95414
-3.3	PRICKLE2	BG285881
-3.3	TICAM2	AI400110
-3.3	PLOD2	AI754404
-3.3	IFNGR2	NM_005534
-3.3	MR1	AF031469
-3.3	EIF5A2	AV747725
-3.3	SNCA	BG260394
-3.3	HIST1H2AC	AL353759
-3.3	SIGIRR	NM_021805
-3.3	MAGED1	AF217963
-3.3	---	T16544
-3.3	UHRF2	BF511410
-3.3	FAM14A	AF208232
-3.2	ACTA2	NM_001613
-3.2	FLJ20364	AF269167
-3.2	TNFRSF21	BE568134
-3.2	MGC14126	AY099509
-3.2	PGM3	AV727934
-3.2	CTSO	AV729484
-3.2	ISGF3G	NM_006084
-3.2	CA12	NM_001218
-3.2	AP1S2	AA480858
-3.2	PKP2	AA888057
-3.2	CYP4X1	AA557324
-3.2	GLUL	U08626
-3.2	---	AI093492
-3.2	ITGB1	NM_133376
-3.2	FLJ30851	BF108666
-3.2	---	AI769673
-3.2	---	BG413366
-3.2	TM4SF11	AI809404
-3.2	CXX1	NM_003928
-3.2	FLJ20298	AW172431
-3.1	FZD7	AI333651
-3.1	LOC146174	AU145642
-3.1	NOD27	AA005023
-3.1	KIAA0802	AB018345
-3.1	TLOC1	NM_153039
-3.1	SLC25A37	BG251467
-3.1	PHF17	AV646599
-3.1	LIFR	AW592684
-3.1	KIAA1377	AI797063
-3.1	SHC1	AI809967
-3.1	ADAM19	Y13786
-3.1	C14orf135	NM_022495
-3.1	---	AK001007
-3.1	TMCO3	AL576117
-3.1	NDP52	AA149539
-3.1	FAM92A1	AW960748
-3.1	FAM26B	BC000039
-3.1	COL6A1	AA292373
-3.1	ENY2	BF433516
-3.1	SCCPDH	AL572542
