Gene Symbol	Fold Change	Gene ID	Description	p Val	Function
LAMC1	-1.4	200770_s_at	Laminin, Gamma 1 (Formerly Lamb2)	0.01	Cell adhesion
TAOK2	-1.6	204877_s_at	Tao Kinase 2	0.04	Cell adhesion
FGFRL1	-1.5	223321_s_at	Fibroblast Growth Factor Receptor-Like 1	0.03	Cell adhesion
DGCR6L	1.4	208024_s_at	Digeorge Syndrome Critical Region Gene 6-Like	0.04	Cell adhesion
CXADR	1.5	226374_at	Coxsackie Virus And Adenovirus Receptor	0.03	Cell adhesion
PUM1	-1.8	201165_s_at	Pumilio Homolog 1 (Drosophila)	0.03	Regulation of biological process
CEBPA	-1.7	204039_at	CCAAT/Enhancer Binding Protein (C/EBP), Alpha	0.006	Regulation of biological process
BRPF1	-1.6	204481_at	Bromodomain And PHD Finger Containing, 1	0.04	Regulation of biological process
STARD10	1.5	232322_x_at	Start Domain Containing 10	0.04	Regulation of biological process
CASZ1	1.5	220015_at	Castor Homolog 1, Zinc Finger (Drosophila)	0.03	Regulation of biological process
GTF2H3	1.5	222104_x_at	General Transcription Factor LJH, Polypeptide 3, 34kDa	0.03	Regulation of biological process
ATF5	-1.5	204998_s_at	Activating Transcription Factor 5	0.01	Regulation of biological process
SAPS3	1.7	1556590_s_at	Chromosome 11 Open Reading Frame 23	0.02	Regulation of biological process
FCER1G	-1.6	204232_at	Fc Fragment Of IgE, High Affinity I, Receptor For; Gamma Polypeptide	0.03	Signal transduction
RASSF7	-1.7	204927_at	Ras Association (RALGDS/AF-6) Domain Family7	0.04	Signal transduction
NR1H4	-1.7	206340_at	Nuclear Receptor Subfamily 1, Group H, Member 4	0.009	Signal transduction
MKNK2	1.8	223199_at	MAP Kinase Interacting Serine/Threonine Kinase 2	0.005	Signal transduction
RGL3	-1.8	228877_at	Ral Guanine Nucleotide Dissociation Stimulator-Like 3	0.01	Signal transduction
TBL1X	1.7	201867_s_at	Transducin (Beta)-Like 1X-Linked	0.03	Signal transduction
RYK	1.6	202853_s_at	RYK Receptor-Like Tyrosine Kinase	0.04	Signal transduction
HIST1H4B	1.9	205967_at	H4 Histone, Family 2	0.01	Signal transduction
NFKB2	1.5	209636_at	Nuclear Factor Of Kappa Light Polypeptide Gene Enhancer In B-Cells 2	0.002	Signal transduction
DDX54	1.5	219111_s_at	DEAD (Asp-Glu-Ala-Asp) Box Polypeptide 54	0.01	Signal transduction
IL22RA1	1.5	220056_at	Interleukin 22 Receptor, Alpha 1	0.03	Signal transduction
GSG2	1.6	223759_s_at	Germ Cell Associated 2 (Haspin)	0.04	Signal transduction
TNFRSF14	1.5	209354_at	Tumor Necrosis Factor Receptor Super Family,Member14(Herpesvirus Entry Mediator)	0.02	Signal transduction
THRAP6	1.7	227786_at	Thyroid Hormone Receptor Associated Protein 6	0.03	Signal transduction
KISS1R	1.7	242517_at	KISS1 Receptor	0.01	Signal transduction
TGIF	-1.4	1566901_at	TGFB-Induced Factor (Tale Family Homeobox)	0.03	Development
JRKL	1.8	206734_at	Jerky Homolog-Like (Mouse)	0.04	Development
HSPA1B	-1.9	200799_at	Heat Shock 70kDa Protein 1A	0.01	Response to stimulus
ORM2	-1.5	214465_at	Orosomucoid 2	0.005	Response to stimulus
MST1	-1.5	216320_x_at	Macrophage Stimulating 1 (Hepatocyte Growth Factor-Like)	0.02	Response to stimulus
H3/O	-2	222067_x_at	Histone 1, H2BD	0.01	Response to stimulus
C4B	-1.5	235856_at	Complement Component 4A (Rodgers Blood Group)	0.02	Response to stimulus
TM2D1	-2.4	236524_at	TM2 Domain Containing 1	0.009	Death
PDCD7	1.4	231809_x_at	Programmed Cell Death 7	0.02	Death
FLJ11506	-2	202852_s_at	Hypothetical Protein Flj11506	0.04	Transport
AP3B1	-1.7	203141_s_at	Adaptor-Related Protein Complex 3, Beta1 Subunit	0.03	Transport
SLC6A12	-3.2	206058_at	Solute Carrier Family 6 (Neurotransmitter Transporter, Betaine/GABA), Member 12	0.04	Transport
RAB11FIP1	-1.8	219681_s_at	Rab11 Family Interacting Protein 1 (Class I)	0.04	Transport
STXBP5	-1.5	226794_at	Syntaxin Binding Protein 5 (Tomosyn)	0.03	Transport
AP1S2	-1.4	228415_at	Adaptor-Related Protein Complex 1, Sigma2 Subunit	0.04	Transport
AQP3	-2.9	39248_at	Aquaporin 3 (Gill Blood Group)	0.02	Transport
LOC442285	1.5	1553148_a_at	Hypothetical LOC442285	0.003	Transport
SRGAP2	1.7	1568957_x_at	Slit-Robo Rho GTPase Activating Protein 2	0.04	Transport
GOSR2	1.4	210009_s_at	Golgi Snap Receptor Complex Member 2	0.02	Transport
SEC24A	1.4	212900_at	Sec24 Related Gene Family, Member A (S. Cerevisiae)	0.03	Transport
HCN3	1.7	222078_at	Hyperpolarization Activated Cyclic Nucleotide-Gated Potassium Channel 3	0.03	Transport
SLC43A2	1.9	226629_at	Solute Carrier Family 43, Member 2	0.04	Transport
FLJ38991	1.4	227134_at	Synaptotagmin-Like 1	0.02	Transport
