Genea	Incidenceb	Changes (fold)c	Normal (Mean+s.d.)	Tumor (Mean+s.d.)	Regulation
c-Myc	2\6	2	0.546+0.126	1.099+0.078	Up Regulated
c-Met	3\6	2	0.148+0.062	0.305+0.014	Up Regulated
Erb-B2/neu	6\6	2~5	0.195+0.145	0.712+0.222	Up Regulated
Erb3/Her3 precursor	3\6	2	0.645+0.175	1.038+0.256	Up Regulated
N-ras	3\6	2	0.106+0.003	0.268+0.014	Up Regulated
Cyclin D1d	6\6	2~3	0.390+0.013	1.090+0.118	Up Regulated
p27	4\6	2~3	0.222+0.091	0.543+0.039	Up Regulated
Ras p21-like proteine	4\6	2~3	0.484+0.045	1.298+0.449	Up Regulated
GTP/GDP dissociation stimulator	4\6	35	0.312+0.053	1.385+0.342	Up Regulated
Thioredoxin peroxidase 1	2\6	2	1.008+0.025	0.274+0.078	Up Regulated
Glutathione reductase	2\6	2	0.974+0.037	2.079+0.057	Up Regulated
Presenilin 1	4\6	2~3	0.154+0.027	0.312+0.031	Up Regulated
Stromelysin 3d	6\6	49	0.091+0.007	0.669+0.207	Up Regulated
Angiotensin converting enzymed	5\6	2~3	0.243+0.023	0.531+0.108	Up Regulated
Neuropilin	6\6	2~3	0.168+0.048	0.481+0.028	Up Regulated
Rat B7.1mRNAe	6\6	2~10	0.040+0.017	0.388+0.177	Up Regulated
Integrin-associated protein 4	3\6	2~3	0.085+0.178	0.347+0.077	Up Regulated
Interleukin-2 receptor alpha subunit	3\6	2	0.153+0.044	0.295+0.018	Up Regulated
Fos-responsive related to IL-1 receptor	6\6	2~7	0.067+0.022	0.369+0.153	Up Regulated
Insulin-like growth factor binding protein 1 precursore	2\6	2~3	0.274+0.033	0.587+0.057	Up Regulated
Insulin-like growth factor-binding protein	3\6	2	0.540+0.201	1.116+0.060	Up Regulated
Heparin-binding growth assoc. molecule	6\6	2~4	0.370+0.325	1.319+0.332	Up Regulated
Alpha-1 proteinase inhibitor	3\6	2	0.450+0.071	0.814+0.128	Up Regulated
Type 1 procollagen C proteinase enhancer protein	2\6	2	0.955+0.172	1.827+0.132	Up Regulated
NF1	3\6	2~4	1.527+0.754	0.542+0.038	Down Regulated
p15	3\6	2	1.175+0.313	0.674+0.055	Down Regulated
CD44 antigen precursor	3\6	2	0.357+0.139	0.129+0.013	Down Regulated
Glutathione S-transferase P subunit	4\6	4~8	1.008+0.025	0.274+0.078	Down Regulated
Carboxylesterase 10 precursor	6\6	6~8	0.850+0.160	0.135+0.013	Down Regulated
Fatty acid binding proteine	6\6	3~7	1.626+0.163	0.380+0.074	Down Regulated
Adipocyte fatty acid binding proteind	6\6	5~25	1.994+0.582	0.150+0.055	Down Regulated
CD24 precursor	2\6	2	2.062+0.357	0.960+0.057	Down Regulated
NK lymphocyte receptor	3\6	2	1.282+0.428	0.724+0.028	Down Regulated
