Gene Symbol	Fold-Change in GBM-associated vs. Low grade-associated Astrocytes
Spp1	7.38667
Mmp10	5.59439
Serpina3h	4.74814
Col6a1	4.74803
Cd44	4.52953
Ctgf	4.33288
Col6a3	4.32895
Vgf	4.28414
Ctgf	4.27893
Lyz	4.23631
S100a11	4.13884
Mglap	4.13362
Aldh1a3	4.03689
Timp1	3.95154
Cd44	3.90811
Timp1	3.89863
Lyzs	3.86976
Emp1	3.82806
Col6a1	3.69735
Lcn2	3.57219
Igfbp7	3.47077
Sphk1	3.45682
Prss19	3.36531
Nupr1	3.31251
Col18a1	3.27824
C1qb	3.27781
Lgals3	3.2697
Anxa2	3.15955
Lyzs	3.10612
Hk2	3.06335
Arhgdib	3.00618
Tnc	2.99419
9130006A14Rik	2.98302
Tnc	2.97213
Ppic	2.89373
Ccl4	2.8926
Bgn	2.88815
C1qg	2.88698
Aldh1a3	2.85672
9230117N10Rik	2.85186
0610041G09Rik	2.83913
Lgals1	2.8309
Rbp1	2.81274
Anxa3	2.787
Col18a1	2.75882
Dlk1	2.71719
Cd109	2.70004
Cdkn1a	2.69406
