Gene ID	Gene symbol	Gene name	Overexpressed in	Signal-to noise ratio
100133941	CD24	CD24 molecule	VI	0.5
25796	PGLS	6-phosphogluconolactonase	VI	0.41
3069	HDLBP	high density lipoprotein binding protein (vigilin)	VI	0.4
26003	GORASP2	golgi reassembly stacking protein 2, 55 kDa	VI	0.38
7298	TYMS	thymidylate synthetase	VI	0.37
11065	UBE2C	ubiquitin-conjugating enzyme E2C	VI	0.37
1362	CPD	carboxypeptidase D	VI	0.37
11260	XPOT	exportin, tRNA (nuclear export receptor for tRNAs)	VI	0.36
55249	YY1AP1	YY1 associated protein 1	VI	0.36
1033	CDKN3	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	VI	0.34
26502	NARF	nuclear prelamin A recognition factor	VI	0.33
10945	KDELR1	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1	VI	0.33
283820	NOMO2	NODAL modulator 2	VI	0.33
4728	NDUFS8	NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23 kDa (NADH-coenzyme Q reductase)	VI	0.25
5053	PAH	phenylalanine hydroxylase	no VI	-0.32
10891	PPARGC1A	peroxisome proliferative activated receptor, gamma, coactivator 1, alpha	no VI	-0.32
10747	MASP2	mannan-binding lectin serine peptidase 2	no VI	-0.33
91614	DEPDC7	DEP domain containing 7	no VI	-0.34
10249	GLYAT	glycine-N-acyltransferase	no VI	-0.34
7366	UGT2B15	UDP glucuronosyltransferase 2 family, polypeptide B15	no VI	-0.34
7763	ZFAND5 (ZA20D2)	zinc finger, AN1-type domain 5	no VI	-0.35
687	KLF9	Kruppel-like factor 9	no VI	-0.35
1576	CYP3A4	cytochrome P450, family 3, subfamily A, polypeptide 4	no VI	-0.36
55089	SLC38A4	solute carrier family 38, member 4	no VI	-0.36
5295	PIK3R1	phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)	no VI	-0.36
5444	PON1	paraoxonase 1	no VI	-0.38
1807	DPYS	dihydropyrimidinase	no VI	-0.39
54407	SLC38A2	solute carrier family 38, member 2	no VI	-0.4
92292	GLYATL1	glycine-N-acyltransferase-like 1	no VI	-0.4
5105	PCK1	phosphoenolpyruvate carboxykinase 1 (soluble)	no VI	-0.4
4638	MYLK	myosin, light chain kinase	no VI	-0.4
10157	AASS	aminoadipate-semialdehyde synthase	no VI	-0.41
4143	MAT1A	methionine adenosyltransferase I, alpha	no VI	-0.44
127	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	no VI	-0.46
10171	RCL1	RNA terminal phosphate cyclase-like 1	no VI	-0.48
