Gene Symbol	Fold change	t-test p-value	Description
Irg1	8.1	1.69E-10	immunoresponsive gene 1
Irg1	7.34	2.28E-10	immunoresponsive gene 1
Ccl1	6.8	1.27E-08	chemokine (C-C motif) ligand 1
Gpr109a	6.21	7.48E-06	G protein-coupled receptor 109A
Zc3h12a	4.96	6.23E-08	zinc finger CCCH type containing 12A
Il1b	4.69	4.13E-08	interleukin 1 beta
Nfkbia	4.59	7.67E-10	nuclear factor of kappa light chain gene enhancer in B-cells inhibitor. alpha
Fas	4.27	1.61E-08	Fas (TNF receptor superfamily member)
9030611K07Rik	4.26	4.60E-05	RIKEN cDNA 9030611K07 gene
Traf1	4.07	3.98E-07	Tnf receptor-associated factor 1
Ccl3	3.67	1.33E-07	chemokine (C-C motif) ligand 3
Nfkbiz	3.61	2.75E-12	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor. zeta
Sema6d	3.45	7.49E-07	sema domain. transmembrane domain (TM). and cytoplasmic domain. (semaphorin) 6D
Fos	3.26	1.48E-05	FBJ osteosarcoma oncogene
Sema6d	3.1	9.81E-08	sema domain. transmembrane domain (TM). and cytoplasmic domain. (semaphorin) 6D
Btg2	2.76	9.65E-07	B-cell translocation gene 2. anti-proliferative
Ugt2b34	2.72	0.0025	UDP glucuronosyltransferase 2 family. polypeptide B34
Ccl5	2.66	3.27E-10	chemokine (C-C motif) ligand 5
Cldn15	2.58	0.0015	claudin 15
EG545136	2.56	0.0033	predicted gene. EG545136
Nr4a1	2.54	1.28E-05	nuclear receptor subfamily 4. group A. member 1
Mbtps1	0.4	4.27E-05	membrane-bound transcription factor peptidase. site 1
Tshz1	0.4	4.56E-05	teashirt zinc finger family member 1
Bat5	0.4	3.88E-05	HLA-B associated transcript 5
Bin1	0.4	1.91E-04	bridging integrator 1
Tmem165	0.4	4.61E-05	transmembrane protein 165
Arl4d	0.4	3.89E-05	ADP-ribosylation factor-like 4D
Ccdc9	0.4	1.36E-04	coiled-coil domain containing 9
Abcf1	0.4	5.63E-05	ATP-binding cassette. sub-family F (GCN20). member 1
	0.4	4.50E-04	sodium channel {cardiac/fetal form} [mice. skeletal muscle. mRNA Partial. 148 nt].
Arfgap1	0.39	5.06E-05	ADP-ribosylation factor GTPase activating protein 1
	0.39	1.83E-04	PREDICTED: Mus musculus similar to glial growth factor beta 1a (LOC244406)
Hdgf	0.39	6.97E-05	hepatoma-derived growth factor
Lmnb2	0.39	8.29E-05	lamin B2
Anp32a	0.39	1.44E-04	acidic (leucine-rich) nuclear phosphoprotein 32 family. member A
Zdhhc7	0.39	6.09E-05	zinc finger. DHHC domain containing 7
Als2	0.39	5.84E-05	amyotrophic lateral sclerosis 2 (juvenile) homolog (human)
Mtch1	0.39	9.42E-05	mitochondrial carrier homolog 1 (C. elegans)
Rnd2	0.39	1.95E-04	Rho family GTPase 2
Trpc2	0.38	3.79E-04	transient receptor potential cation channel. subfamily C. member 2
Phf20	0.38	2.42E-04	PHD finger protein 20
Ptpn7	0.38	4.94E-05	protein tyrosine phosphatase. non-receptor type 7
	0.38	1.45E-04	arsenate resistance protein 2
Hps1	0.38	5.96E-05	Hermansky-Pudlak syndrome 1 homolog (human)
Sema6c	0.38	6.18E-05	sema domain. transmembrane domain (TM). and cytoplasmic domain. (semaphorin) 6C
Rusc1	0.38	8.07E-05	RUN and SH3 domain containing 1
Edg6	0.38	5.94E-05	endothelial differentiation. G-protein-coupled receptor 6
Ugcgl1	0.38	1.14E-04	UDP-glucose ceramide glucosyltransferase-like 1
Zfp444	0.38	2.35E-04	zinc finger protein 444
Eno1	0.38	2.50E-04	enolase 1. alpha non-neuron
Usp5	0.38	6.91E-05	ubiquitin specific peptidase 5 (isopeptidase T)
Cdk5r2	0.38	4.70E-05	cyclin-dependent kinase 5. regulatory subunit 2 (p39)
Ncaph2	0.38	1.18E-04	non-SMC condensin II complex. subunit H2
Arf6	0.37	1.82E-04	ADP-ribosylation factor 6
Mum1	0.37	9.60E-05	melanoma associated antigen (mutated) 1
Kifc3	0.37	5.28E-05	kinesin family member C3
Plcg1	0.37	1.03E-04	phospholipase C. gamma 1
Lrrfip1	0.37	5.73E-05	leucine rich repeat (in FLII) interacting protein 1
Pkn1	0.37	1.87E-04	protein kinase N1
Tomm40	0.37	1.51E-04	translocase of outer mitochondrial membrane 40 homolog (yeast)
Fbxw7	0.37	5.52E-05	F-box and WD-40 domain protein 7. archipelago homolog (Drosophila)
	0.37	7.15E-05	similar to sterile alpha motif domain containing 1
Gne	0.36	8.42E-05	glucosamine
4933406C10Rik	0.36	7.64E-05	RIKEN cDNA 4933406C10 gene
Uck1	0.36	7.61E-05	uridine-cytidine kinase 1
Prm1	0.35	9.08E-05	protamine 1
Aars	0.35	7.57E-05	alanyl-tRNA synthetase
Lonp2	0.35	8.20E-05	lon peptidase 2. peroxisomal
Baz1b	0.34	3.23E-04	bromodomain adjacent to zinc finger domain. 1B
5430432M24Rik	0.34	8.52E-05	RIKEN cDNA 5430432M24 gene
Stk40	0.34	1.07E-04	serine/threonine kinase 40
Ptms	0.34	8.41E-05	parathymosin
Agpat6	0.34	1.07E-04	1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase. zeta)
Zbtb7a	0.34	1.09E-04	zinc finger and BTB domain containing 7a
Trpc4ap	0.34	2.32E-04	transient receptor potential cation channel. subfamily C. member 4 associated protein
Rasa3	0.34	8.77E-05	RAS p21 protein activator 3
	0.34	9.98E-05	H1 histone family. member X
	0.33	0.0015	Mus musculus interferon regulatory factor 6 (Irf6). transcript variant 2. mRNA [NM_178083]
Zfp289	0.33	1.77E-04	zinc finger protein 289
Bcdin3	0.33	4.22E-04	bin3. bicoid-interacting 3. homolog (Drosophila)
Cenpb	0.33	1.55E-04	centromere protein B
Plod3	0.33	1.71E-04	procollagen-lysine. 2-oxoglutarate 5-dioxygenase 3
Ppp1r13l	0.33	3.34E-04	protein phosphatase 1. regulatory (inhibitor) subunit 13 like
	0.32	1.18E-04	solute carrier family 4. sodium bicarbonate cotransporter. member 7
Epb4.1	0.32	7.07E-04	erythrocyte protein band 4.1
Kcnh2	0.32	5.32E-04	potassium voltage-gated channel. subfamily H (eag-related). member 2
Nelf	0.32	4.12E-04	nasal embryonic LHRH factor
Kns2	0.31	2.27E-04	kinesin 2
Rxrb	0.31	1.74E-04	retinoid X receptor beta
Zfp219	0.31	2.30E-04	zinc finger protein 219
4932417H02Rik	0.31	2.14E-04	RIKEN cDNA 4932417H02 gene
Klf2	0.3	1.97E-04	Kruppel-like factor 2 (lung)
Lars2	0.29	2.32E-04	leucyl-tRNA synthetase. mitochondrial
Pygb	0.29	8.95E-04	brain glycogen phosphorylase
Itga2b	0.29	4.57E-04	integrin alpha 2b
	0.29	5.18E-04	Q91VK4 (Q91VK4) Integral membrane protein 2C. partial (11%) [TC1435794]
	0.28	1.94E-04	Mus musculus 18S ribosomal RNA-like mRNA. partial sequence.
Syt10	0.28	4.01E-04	synaptotagmin X
	0.27	4.00E-04	translocation break point; Mus musculus mRNA for RCK. complete cds.
Tgm2	0.27	0.0015	transglutaminase 2. C polypeptide
Tgm2	0.27	9.08E-04	transglutaminase 2. C polypeptide
Eef2	0.25	9.40E-04	eukaryotic translation elongation factor 2
	0.25	0.0011	PREDICTED: Mus musculus similar to heterogeneous nuclear ribonucleoprotein A0 (LOC544935)]
Grn	0.23	0.0015	granulin
Rangap1	0.22	0.0019	RAN GTPase activating protein 1
Ptprz1	0.2	0.0019	protein tyrosine phosphatase. receptor type Z. polypeptide 1
Pigt	0.18	0.0031	phosphatidylinositol glycan anchor biosynthesis. class T
