microRNA	p-value	fold-change absolute	regulation post/pre	Average expression pre	Average expression post
hsa-mir-21	4.24E-05	6.69	up	2254.74	15079.56
hsa-mir-140	8.48E-04	4.28	up	35.92	153.63
hsa-mir-181d	1.57E-04	5.58	up	1.49	8.33
hsa-mir-30b	1.88E-03	1.78	up	464.12	824.83
hsa-mir-142	6.48E-03	3.79	up	1327.95	5037.92
hsa-mir-454	4.33E-04	4.71	up	3.07	14.48
hsa-mir-19b-1	1.71E-03	2.07	up	1.92	3.96
hsa-mir-20a	6.78E-03	3.63	up	158.77	575.57
hsa-mir-33a	1.77E-02	2.57	up	1.38	3.55
hsa-mir-30e	1.70E-02	1.5	up	59.88	90.1
hsa-mir-340	6.35E-02	2.28	up	4.32	9.84
hsa-mir-362	2.46E-02	3.07	up	2.89	8.88
hsa-mir-17	4.19E-02	1.75	up	122.26	213.71
hsa-mir-126	5.04E-03	2.6	up	1.14	2.97
hsa-mir-29b	7.58E-02	2.81	up	123.06	345.27
hsa-mir-532	1.78E-02	1.95	up	4.67	9.11
hsa-mir-335	7.68E-02	1.57	up	1.25	1.96
hsa-mir-590	1.60E-02	4.72	up	8.85	41.74
hsa-mir-7-1	4.21E-02	2	up	10.11	20.27
hsa-mir-424	5.29E-02	3.27	up	4.04	13.21
hsa-mir-20b	2.53E-02	3.47	up	32.36	112.42
hsa-mir-34b	3.01E-02	2.47	up	1.03	2.55
hsa-mir-32	2.94E-02	2.67	up	1.38	3.68
hsa-mir-7	3.20E-02	2.49	up	4.1	10.19
hsa-mir-627	7.70E-03	1.98	up	2.31	4.58
hsa-mir-301b	5.53E-02	1.69	up	1.9	3.2
hsa-mir-20a	4.20E-02	2.77	up	13.44	37.27
hsa-mir-199b	2.96E-02	2.22	up	2.01	4.47
hsa-mir-193a	3.09E-02	3.15	up	1.47	4.64
hsa-mir-27a	9.51E-02	2.03	up	146.77	297.23
hsa-mir-582	6.14E-02	1.97	up	1.83	3.6
hsa-mir-192	3.73E-02	2.59	up	13.59	35.14
hsa-mir-130a	5.08E-02	3.41	up	3.42	11.69
hsa-mir-17	3.51E-01	1.57	up	6.34	9.99
hsa-mir-18a	4.14E-02	3.37	up	6.36	21.44
hsa-mir-199b	7.27E-02	2.44	up	9.01	22.01
hsa-mir-149	2.38E-01	1.63	up	1.76	2.87
hsa-mir-574	3.92E-02	2.85	up	14.59	41.54
hsa-mir-18b	4.62E-02	2.79	up	2.98	8.3
hsa-mir-15a	1.15E-01	2.09	up	139.03	291.04
hsa-mir-338	1.49E-01	1.84	up	2.48	4.57
hsa-mir-32	1.07E-01	1.83	up	1.29	2.36
hsa-mir-301a	1.22E-01	2.3	up	11.87	27.3
hsa-mir-374a	8.68E-02	2.87	up	67.4	193.6
hsa-mir-598	1.40E-02	2.33	up	4.25	9.88
hsa-mir-19a	8.55E-02	2.14	up	202.04	432.41
hsa-mir-628	7.52E-01	1.07	up	2.14	2.29
hsa-mir-451	7.21E-01	1.4	up	1116.64	1560.26
hsa-mir-144	8.34E-01	1.25	up	5.22	6.53
hsa-mir-338	9.83E-08	4.61	down	5.32	1.15
hsa-mir-500	2.97E-07	4.24	down	16	3.78
hsa-mir-892b	1.18E-06	4.95	down	18.64	3.77
hsa-mir-501	3.15E-07	3.84	down	9.62	2.5
hsa-mir-23a	3.38E-06	3.74	down	4.13	1.1
hsa-mir-202	3.07E-04	4.06	down	7.86	1.93
hsa-mir-513b	1.23E-04	5.21	down	6.58	1.26
hsa-mir-513a	9.67E-05	8.28	down	14.74	1.78
hsa-mir-1224	3.08E-03	2.65	down	16.91	6.39
hsa-mir-1226	4.66E-04	3.22	down	9.61	2.99
hsa-mir-324	3.45E-04	3.26	down	523.06	160.41
hsa-mir-768	1.25E-03	5.02	down	230.75	45.99
hsa-mir-765	3.70E-04	3.55	down	6.12	1.72
hsa-mir-671	6.83E-03	2.29	down	9.43	4.11
hsa-mir-638	1.25E-02	2.45	down	91.49	37.31
hsa-mir-923	8.52E-03	3.42	down	9600.42	2806.82
hsa-mir-550	2.37E-03	2.01	down	2.89	1.44
hsa-mir-939	9.38E-02	1.5	down	46.7	31.1
hsa-mir-513c	1.16E-02	2.42	down	2.71	1.12
hsa-mir-92a-1	3.19E-02	1.84	down	4.17	2.26
hsa-mir-572	8.82E-02	2.05	down	4.35	2.12
hsa-mir-138-2	3.57E-03	2.62	down	3.63	1.39
hsa-mir-198	5.71E-02	1.94	down	2.1	1.09
hsa-mir-423	4.10E-03	2.36	down	66.46	28.18
hsa-mir-1229	1.44E-02	2.46	down	8.24	3.35
hsa-mir-500	4.28E-02	1.83	down	7.76	4.23
hsa-mir-575	2.37E-02	2.85	down	104	36.49
hsa-mir-744	3.78E-02	1.92	down	6.9	3.59
hsa-mir-494	2.19E-02	3.59	down	304.08	84.78
hsa-mir-30b	1.34E-01	1.34	down	4.02	3.01
hsa-mir-150	1.49E-02	1.47	down	22.12	15.1
hsa-mir-23a	4.98E-02	1.74	down	758.95	436.08
hsa-mir-636	2.50E-02	1.9	down	7.53	3.96
hsa-mir-296	9.72E-02	1.52	down	4.8	3.17
hsa-mir-1237	2.98E-02	2.17	down	12.88	5.94
hsa-mir-630	1.87E-01	2.01	down	5.84	2.91
hsa-mir-634	9.68E-02	1.69	down	2.66	1.58
hsa-mir-125a	2.25E-02	1.7	down	19.22	11.3
hsa-mir-1225	6.70E-02	1.94	down	19.25	9.92
hsa-mir-652	6.62E-02	1.8	down	10.68	5.94
hsa-mir-92a	2.68E-02	1.59	down	719.77	453.7
hsa-mir-193a	1.94E-02	1.89	down	3.92	2.08
hsa-mir-650	1.54E-01	1.96	down	8.31	4.23
hsa-mir-1228	5.81E-02	1.8	down	42.23	23.44
hsa-mir-770	1.92E-02	1.95	down	3.71	1.91
hsa-let-7b	1.26E-01	1.61	down	1886.35	1174.48
hsa-mir-361	4.32E-02	1.7	down	135.77	80.07
hsa-mir-625	4.31E-02	1.81	down	4.56	2.51
hsa-mir-18b	4.39E-02	1.59	down	1.89	1.19
hsa-mir-188	3.59E-01	1.4	down	36.99	26.39
hsa-mir-483	3.11E-01	1.51	down	19.79	13.09
hsa-mir-505	1.48E-01	1.51	down	8.11	5.36
hsa-mir-877	1.52E-01	1.62	down	3.64	2.25
hsa-mir-502	3.51E-01	1.31	down	6.18	4.71
hsa-mir-933	3.51E-02	1.83	down	5.08	2.77
hsa-mir-148b	3.62E-02	1.52	down	48.06	31.65
hsa-mir-801	2.74E-01	2.01	down	90.27	44.94
hsa-let-7a	7.27E-01	1.14	down	2767.15	2430.34
