Curated Gene Symbol	Gene.Symbol	Gene name	GenBank number	Fold- change
AKT3	AKT3	V-AKT murine thymoma oncogene homolog 3	NM_005465	2
BDNF	BDNF	Brain-derived neurotropic factor	NM_001709	28.8
CDH2	CDH2	Cadherin-2 (N-cadherin)	NM_001792	29.8
CTGF	CTGF	Connective tissue growth factor	NM_001901	33.5
DAB2	DAB2	Disabled homolog 2	NM_001343	2.4
FGFR1	FGFR1	Fibroblast growth factor receptor 1	NM_023105	2.6
FYN	FYN	FYN oncogene related to SRC, FGR, YES	NM_002037	10.1
HMGA2	HMGA2	High mobility AT-hook 2	NM_003483	24.4
IL8	IL8	Interleukin 8	NM_000584	4.8
ILK	ILK	Integrin-linked kinase	NM_004517	2.1
TCF4	ITF2/TCF4	Transcription factor 4	NM_003199	2.1
JAG1	JAG1	Jagged 1	NM_000214	2.6
JAK2	JAK2	Janus kinase 2	NM_004972	2
MAP4K4	MAP4K4	Mitogen activated protein kinase kinase kinase kinase	NM_017792	2
	MMP-2	Matrix metalloproteinase 2	NM_004530	14.5
NR2F1	NR2F1/COUP-TF1	Nuclear receptor subfamily 2, group F, member 1	NM_005654	17.9
	Periostin	Periostin, osteoblast specific factor	NM_006475	81.7
PIK3R1	PIK3R1	PI3 kinase regulatory subunit (p85)	NM_181523	2.7
	PRKC alpha	Protein kinase C alpha	NM_002737	6.8
S100A4	S100A4	S100, calcium binding protein A4	NM_002961	7
SMAD3	SMAD3	SMAD, mother against DPP homolog 3	NM_005902	2
SMAD7	SMAD7	SMAD, mother against DPP homolog 7	NM_005904	3.4
SMURF2	SMURF2	SMAD-specific E3 ubiquitin ligase 2	NM_022739	2.1
SNAI2	SNAI2/SLUG	SNAIL homolog 2	NM_003068	2.3
SPARC	SPARC	Secreted protein cysteine-rich (osteonectin)	NM_003118	107.7
	TGF?1	Transforming growth factor beta 1	NM_011577	4.6
	TGF?2	Transforming growth factor beta 2	NM_003238	3.4
TWIST2	TWIST2	TWIST homology 2	NM_057179	4.8
WNT5A	Wnt5A	Wingless type, MMTV integration family member, type 5A	NM_003392	6.9
WNT5B	Wnt5B	Wingless type, MMTV integration family member, type 5B	NM_030775	60.1
ZEB1	ZEB-1/TCF8	Transcription factor 8	NM_024285	27.8
ZEB2	ZEB-2/ZFHX1B	Zinc finger E-box binding homeobox 2	NM_014795	8.3
