Curated Gene Symbol	Probe ID	Gene Symbol
ABCB1	209993_at	ABCB1
ABCB4	209994_s_at	ABCB1 /// ABCB4
ALCAM	201952_at	ALCAM
ANK3	206385_s_at	ANK3
ASXL1	244519_at	ASXL1
ATP8B4	220416_at	ATP8B4
BAALC	218899_s_at	BAALC
BCL11A	219497_s_at	BCL11A
BEX1	218332_at	BEX1
BTBD11	228570_at	BTBD11
RGCC	218723_s_at	C13orf15
C20orf111	209020_at	C20orf111
SLC17A9	219559_at	C20orf59
C2orf69	238974_at	C2orf69
NPR3	219054_at	C5orf23
CACNB2	213714_at	CACNB2
CALN1	230698_at	CALN1
CD109	226545_at	CD109
CFH	215388_s_at	CFH /// CFHR1
COL5A1	212488_at	COL5A1
CRHBP	205984_at	CRHBP
CRIM1	202551_s_at	CRIM1
CYLD	60084_at	CYLD
DACH1	228915_at	DACH1
DAPK1	203139_at	DAPK1
DDX5	200033_at	DDX5
DLK1	209560_s_at	DLK1
DNAJB9	202842_s_at	DNAJB9
DRAM1	218627_at	DRAM
DST	232098_at	DST
DUSP6	208891_at	DUSP6
DUSP6	208892_s_at	DUSP6
EIF5	208707_at	EIF5
ELK3	221773_at	ELK3
EPC1	238633_at	EPC1
ERG	213541_s_at	ERG
MECOM	226420_at	EVI1
FAM169A	235048_at	FAM169A
FAM3C	201889_at	FAM3C
KDM2A	208988_at	FBXL11
FGD5	226985_at	FGD5
FGFR1	222164_at	FGFR1
FLT3	206674_at	FLT3
FNBP1	230389_at	FNBP1
FOXO1	202724_s_at	FOXO1
FRMD4B	213056_at	FRMD4B
GCNT2	230788_at	GCNT2
GNL1	228857_at	GNL1 /// LOC285831
GPR126	213094_at	GPR126
GUCY1A3	221942_s_at	GUCY1A3
	238488_at	hCG_2045899
HES1	203394_s_at	HES1
HIST1H2BC	236193_at	HIST1H2BC
	208523_x_at	HIST1H2BC /// HIST1H2BE /// HIST1H2BF /// HIST1H2BG /// HIST1H2BI
HIST1H2BF	208527_x_at	HIST1H2BC /// HIST1H2BE /// HIST1H2BF /// HIST1H2BG /// HIST1H2BI
HIST1H2BG	215779_s_at	HIST1H2BC /// HIST1H2BE /// HIST1H2BF /// HIST1H2BG /// HIST1H2BI
HIST1H2BD	209911_x_at	HIST1H2BD
HIST1H2BD	222067_x_at	HIST1H2BD
HIST2H2AA3	218280_x_at	HIST2H2AA3 /// HIST2H2AA4
HLA-DRB4	209728_at	HLA-DRB4
HLF	204753_s_at	HLF
HLF	204754_at	HLF
HLF	204755_x_at	HLF
HOPX	211597_s_at	HOPX
HOXA5	213844_at	HOXA5
HOXB2	205453_at	HOXB2
HOXB3	228904_at	HOXB3
HTR1F	221458_at	HTR1F
INPP4B	205376_at	INPP4B
INSIG1	201625_s_at	INSIG1
ITSN2	209907_s_at	ITSN2
JUN	201466_s_at	JUN
KBTBD8	239835_at	KBTBD8
KIAA0125	206478_at	KIAA0125
SEL1L3	212314_at	KIAA0746 /// SERINC2
KLF4	221841_s_at	KLF4
KSR1	235252_at	KSR1
	213510_x_at	LOC220594
LONP2	221833_at	LONP2
LPP	202822_at	LPP
MAFK	226206_at	MAFK
MCTP1	220122_at	MCTP1
MEIS1	204069_at	MEIS1
MLL	244110_at	MLL
MLLT3	204917_s_at	MLLT3
MREG	219648_at	MREG
MSI2	243010_at	MSI2
MYO5C	218966_at	MYO5C
KAT6A	226547_at	MYST3
ZNF384	201695_s_at	NP
OGT	207563_s_at	OGT
OGT	207564_x_at	OGT
PAM	212958_x_at	PAM
PCNX	229287_at	PCNX
PDE10A	205501_at	PDE10A
PLSCR4	218901_at	PLSCR4
PPP1R16B	41577_at	PPP1R16B
PPP1R16B	212750_at	PPP1R16B
PRKCH	206099_at	PRKCH
PRKCH	218764_at	PRKCH
PROM1	204304_s_at	PROM1
PTK2	208820_at	PTK2
RBM7	218379_at	RBM7
RBPMS	209487_at	RBPMS
RIMKLB	229344_x_at	RIMKLB
RLIM	222815_at	RNF12
RNF125	235199_at	RNF125
RPL31	200962_at	RPL31
RSL1D1	213750_at	RSL1D1
RUNX2	232231_at	RUNX2
MSMO1	209146_at	SC4MOL
PNISR	212176_at	SFRS18
PNISR	212179_at	SFRS18
SLC25A36	201917_s_at	SLC25A36
SMARCA1	203875_at	SMARCA1
SOCS2	203372_s_at	SOCS2
SPINK2	206310_at	SPINK2
SPTBN1	200672_x_at	SPTBN1
SPTBN1	212071_s_at	SPTBN1
ST3GAL6	210942_s_at	ST3GAL6
ST3GAL6	213355_at	ST3GAL6
TFPI	209676_at	TFPI
TFPI	210664_s_at	TFPI
TFPI	210665_at	TFPI
TMEM107	235490_at	TMEM107
TMEM200A	234994_at	TMEM200A
TMEM38B	222735_at	TMEM38B
TMEM38B	218772_x_at	TMEM38B
TPT1	214327_x_at	TPT1
WBP5	217975_at	WBP5
WDR91	218971_s_at	WDR91
YES1	202932_at	YES1
ZBTB4	225629_s_at	ZBTB4
ZDHHC21	243835_at	ZDHHC21
ZEB1	212764_at	ZEB1
ZNF165	206683_at	ZNF165
	228465_at
	235826_at
	238041_at
	239328_at
	239451_at
	240165_at
	241756_at
	243092_at
	244447_at
	214349_at
	222315_at
