Curated Gene Symbol	Gene Symbol	GENE	Fc FN(+).MDA/FN(+)
	QV1-DT0070-339-E08	QV1-DT0070-339-E08	-5.09
MRPS21	MRPS21	MRPS21 (mitochondrial ribosomal protein S21)	-3.42
LSM3	LSM3	LSM3 (homolog, U6 small nuclear RNA associated - S. cerevisiae)	-3.26
	RC1-IT0013-022-C08	RC1-IT0013-022-C08	-3.17
C6orf170	C6orf170	C6orf170 (chromosome 6 open reading frame 170)	-2.96
CHD8	CHD8	CHD8 (chromodomain helicase DNA binding protein 8)	-2.93
PSMC6	PSMC6	PSMC6 (proteasome - prosome, macropain - 26S subunit, ATPase, 6)	-2.68
ATP5H	ATP5H	ATP5H (ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d)	-2.68
COX5B	COX5B	COX5B (cytochrome c oxidase subunit Vb)	-2.63
XRCC6BP1	XRCC6BP1	XRCC6BP1 (XRCC6 binding protein 1)	-2.57
RALA	RALA	RALA (v-ral simian leukemia viral oncogene homolog A -ras related)	-2.49
	GZMB granzyme B	GZMB granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	-2.45
CCDC90B	CCDC90B	CCDC90B (coiled-coil domain containing 90B)	-2.43
C1orf50	C1orf50	C1orf50 (chromosome 1 open reading frame 50)	-2.41
	RC6-ST0198-011-G01	RC6-ST0198-011-G01	-2.4
ACTR10	ACTR10	ACTR10 (actin-related protein 10 homolog -S. cerevisiae)	-2.36
CDC27	CDC27	CDC27(cell division cycle 27 homolog -S. cerevisiae)	-2.3
	MR3-HN0123-001-C12	MR3-HN0123-001-C12	-2.28
MGST2	MGST2	MGST2 (microsomal glutathione S-transferase 2)	-2.21
ATG12	ATG12	ATG12 (autophagy related 12 homolog -S. cerevisiae)	-2.21
HN1	HN1	HN1 (hematological and neurological expressed 1)	-2.2
DNAJA3	DNAJA3	DNAJA3 (DnaJ -Hsp40- homolog, subfamily A, member 3)	-2.18
LOXL2	LOXL2	LOXL2 (lysyl oxidase-like 2)	-2.17
TTYH3	TTYH3	TTYH3 (tweety homolog 3 -Drosophila)	-2.15
HSP90B1	HSP90B1	HSP90B1 (heat shock protein 90kDa beta -Grp94, member 1)	-2.13
	QV3-DT0044-045-A10	QV3-DT0044-045-A10	-2.13
	MR3-HT1104-002-G11	MR3-HT1104-002-G11	-2.12
GLT8D1	GLT8D1	GLT8D1 (glycosyltransferase 8 domain containing 1)	-2.04
ERRFI1	ERRFI1	ERRFI1 (ERBB receptor feedback inhibitor 1)	-2.03
NUDT5	NUDT5	NUDT5 (nudix , nucleoside diphosphate linked moiety X-type motif 5)	-2.03
SEL1L	SEL1L	SEL1L (sel-1 suppressor of lin-12-like -C. elegans)	-2.01
PLCG2	PLCG2	PLCG2 (phospholipase C, gamma 2 -phosphatidylinositol-specific)	2
ASNSD1	ASNSD1	ASNSD1 (asparagine synthetase domain containing 1)	2.02
WDR13	WDR13	WDR13 (WD repeat domain 13)	2.03
MOGS	GCS1	GCS1 (glucosidase I)	2.08
	CM1-NT0271-633-D08	CM1-NT0271-633-D08	2.11
JPH4	JPH4	JPH4 (junctophilin 4)	2.13
MLLT1	MLLT1	MLLT1 (leukemia-associated protein MLLT11)	2.16
FAIM2	FAIM2	FAIM2 (Fas apoptotic inhibitory molecule 2)	2.2
GAS2L1	GAS2L1	GAS2L1( growth arrest-specific 2 like 1)	2.21
FNDC4	FNDC4	FNDC4 (fibronectin type III domain containing 4)	2.27
AMD1	AMD1	AMD1 (adenosylmethionine decarboxylase 1)	2.29
	C22orf5 or TMEM184B	C22orf5 or TMEM184B (transmembrane protein 184B)	2.29
CDIP1	C16orf5	C16orf5 (chromosome 16 open reading frame 5)	2.35
	PM3-FN0213-001-A04	PM3-FN0213-001-A04	2.38
CXXC1	CXXC1	CXXC1 (CXXC finger 1 -PHD domain)	2.42
	PM2-ST0303-002-E07	PM2-ST0303-002-E07	2.5
	QV0-BT0263-132-H07	QV0-BT0263-132-H07	2.54
RNF40	RNF40	RNF40 (ring finger protein 40)	2.62
	QV3-HT1017-481-E02	QV3-HT1017-481-E02	2.73
SPNS1	SPNS1	SPNS1 (spinster homolog 1 -Drosophila)	2.74
BLCAP	BLCAP	BLCAP (bladder cancer associated protein)	2.81
	RC0-FN0025-031-B01	RC0-FN0025-031-B01	2.83
COPE	COPE	COPE (coatomer protein complex, subunit epsilon)	2.87
FAM134C	FAM134C	FAM134C (family with sequence similarity 134, member C)	2.93
MBD3	MBD3	MBD3 (methyl-CpG binding domain protein 3)	3.18
GBF1	GBF1	GBF1 (golgi-specific brefeldin A resistance factor 1)	3.18
FBXW5	FBXW5	FBXW5 (F-box and WD repeat domain containing 5)	3.28
MAP2K3	MAP2K3	MAP2K3 (mitogen-activated protein kinase kinase 3)	3.4
	MGC2752	MGC2752 (hypothetical LOC65996)	3.61
