Probe Set ID	p-value	Gene Symbol
32032_at	0.000132874	DGCR14
40562_at	0.000416331	GNA11
43544_at	0.000626111	MED16
200655_s_at	0.000622807	CALM1 /// CALM2 /// CALM3
200969_at	0.000686306	SERP1
201128_s_at	0.000338961	ACLY
201701_s_at	0.000152476	PGRMC2
201781_s_at	0.00032598	AIP
201913_s_at	0.000297197	COASY
201959_s_at	0.000312599	MYCBP2
202229_s_at	0.000587207	CHERP
203102_s_at	0.000526652	MGAT2
203164_at	0.000170187	SLC33A1
203255_at	0.000191551	FBXO11
203271_s_at	6.05921E-05	UNC119
203532_x_at	0.000519789	CUL5
204076_at	0.00031432	ENTPD4
204383_at	0.000531401	DGCR14
204630_s_at	0.000683731	GOSR1
204640_s_at	0.00069535	SPOP
205283_at	0.000100666	FKTN
205406_s_at	0.000121133	SPA17
205424_at	0.00045098	TBKBP1
205583_s_at	3.2482E-05	CXorf45
205973_at	0.000479629	FEZ1
206273_at	0.000309946	SLMO1
206534_at	0.000421009	GRIN2A
206790_s_at	0.000383637	NDUFB1
208474_at	0.000438338	CLDN6
208640_at	0.000409117	RAC1
208866_at	0.000254374	CSNK1A1
208942_s_at	3.34717E-05	SEC62
209346_s_at	0.000311365	PI4K2A
209423_s_at	0.00011821	PHF20
209513_s_at	5.61726E-05	HSDL2
209898_x_at	0.000135169	ITSN2
210887_s_at	0.000397857	EVC
211053_at	0.000482343	KCNG1
211230_s_at	0.00047139	PIK3CD
211252_x_at	0.000467264	PTCRA
211697_x_at	0.000633073	PNO1
212327_at	0.000329075	LIMCH1
212328_at	0.000104491	LIMCH1
212333_at	0.000431708	FAM98A
212522_at	0.000111544	PDE8A
212555_at	0.000312228	LOC729623 /// PRKAR1B
212559_at	0.000234239	LOC729623 /// PRKAR1B
212888_at	0.0002775	DICER1
213304_at	0.00053138	KIAA0423
214179_s_at	0.000218298	NFE2L1
214295_at	0.000548924	KIAA0485
214356_s_at	0.000628279	KIAA0368
215678_at	0.000564212	LOC440792
215741_x_at	0.000270985	AKAP8L
216791_at	0.000674135	TMEM92
217285_at	0.000505683	DGCR14
217509_x_at	0.000162859	GRIK5
217986_s_at	0.000665738	BAZ1A
218075_at	0.000425329	AAAS
218189_s_at	0.000610213	NANS
218422_s_at	0.000553635	RBM26
218828_at	0.000319286	PLSCR3
218915_at	0.000107294	NF2
219147_s_at	0.000273236	C9orf95
219852_s_at	0.000685264	MORN1
220933_s_at	0.000104354	ZCCHC6
221715_at	0.000466781
221963_x_at	0.000111898	ZNF587
