Gene	Average Mutation	P value
IM1269734; UG159556	0.4	0.00198
IM1272570; UG159556	0.41	0.00221
IM685312	0.44	< 0.000001
IM825954; UG122383	0.49	0.000037
FLJ20706	0.47	0.000015
FLJ20706	0.49	0.000117
FLJ20706	0.49	0.000116
IM1371231	0.5	0.000139
IM1241410; UG120633	0.49	0.000145
IM2074111	0.5	0.00172
IM1286077	0.34	< 0.000001
LC15506	0.27	< 0.000001
IM1338881; UG123579	0.44	0.00303
IM1352920; UG123579	0.37	0.000587
GALECTIN-1	2.09	0.0011
IM1339166; UG271297	2.41	0.00327
KIAA0808	2.47	0.000753
gravin	2.69	0.000794
gravin	2.3	0.00125
dystrophin	2.56	0.000088
dystrophin	3.62	0.000008
LC13076	2	0.00126
ckshs1	2.14	0.000248
B-myb	2.39	0.000009
ZAP70	4.52	< 0.000001
ZAP70	4.07	< 0.000001
ZAP70	5.68	< 0.000001
Lipoprotein lipase	5.76	0.000003
AICL	5.6	0.000007
LC23393	2.34	0.000012
LC9883	2.48	0.000012
FGFR1	2.23	0.00108
Pak1	2.26	0.000099
MDS019 phorbolin I paralogue	2.28	0.000023
MDS019 phorbolin I paralogue	2.1	0.000534
BCL-7A	3.29	0.000341
BCL-7A	3.27	0.000142
BCL-7A	3.89	0.000062
2’-5’oligoadenylate synthetase 3	2.58	0.00156
