Proportion	P value survival†	clust2/clust1‡	P value clust2/clust1§	Expression for longer survival¶	Gene description
0.71	0.0001	1.86	0.0092	Up	VCAM-1
0.41	0.0007	1.45	0.0022	Up	CGI-10 protein
0.41	0.0002	1.41	0.0061	Up	EST
0.35	0.0001	1.46	0.0027	Up	EST
0.31	0.0001	1.18	0.1175	Up	EST
0.29	0.0007	1.1	0.3698	Up	cDNA DKFZp586I1823
0.25	0.0006	1.06	0.5411	Up	EST
0.24	0.0007	1.11	0.3292	Up	Guanylate cyclase 1, soluble  alpha2
0.23	0.0009	1.17	0.1185	Up	Homo sapiens clone 24987
0.23	0.0008	1.12	0.1576	Up	Ring finger protein 15
0.22	0.0005	0.94	0.4678	Up	Glutamate receptor, AMPA 1
0.19	0.0006	0.99	0.8342	Up	EST
0.18	0.0006	1.16	0.1125	Up	TRANCE, TNF-related ligand
0.17	0.0004	1.18	0.019	Up	Thyroid hormone receptor interactor 11
0.16	0.0005	1.15	0.0555	Up	EST
0.14	0.0002	1.02	0.8083	Up	A kinase (PRKA) anchor protein 7
0.13	0.0007	1.02	0.7726	Up	cDNA FLJ13496 fis
0.11	0	1.11	0.1456	Up	GTP-binding protein ragB
0.16	0.0002	0.7	0	Down	Tubulin- alpha4
0.12	0.0002	0.83	0.001	Down	fos-related antigen 1
0.12	0.0004	1.06	0.3067	Down	EST
0.12	0.0003	0.93	0.125	Down	Multifunctional polypeptide similar to SAICAR synthetase
0.12	0.0006	1	0.9833	Down	Interferon-induced protein with tetratricopeptide repeats 1
0.1	0.0003	1.03	0.5846	Down	Protease, serine, 2 (trypsin 2)
0.09	0	0.82	0.0001	Down	Ribosomal protein L27a
0.09	0.0005	1.03	0.5952	Down	ADP-ribosylation factor 4-like
0.09	0.0001	1.01	0.8006	Down	Solute carrier family 9 (Na+/H+. exchanger) isoform 1
0.07	0.0006	0.91	0.0475	Down	GAS2-related on chromosome 22
0.07	0.0003	1.06	0.2109	Down	Guanylate cyclase 1, soluble,  beta3
0.07	0.0001	1.01	0.7728	Down	Matrix Gla protein
0.07	0.0007	0.98	0.6387	Down	GPR1, G protein-coupled receptor
0.07	0.0001	1.02	0.6866	Down	Troponin I, cardiac
0.07	0.0002	0.95	0.2839	Down	TNF receptor-associated factor 2
0.07	0	0.97	0.4729	Down	Glutathione S-transferase theta2
0.07	0.0002	1.05	0.2258	Down	BRCA2
0.05	0.0008	0.8	0	Down	Replication factor C (activator 1) 4 (37 kDa)
0.05	0.0002	1.01	0.8859	Down	TYRO protein tyrosine kinase-binding protein
0.05	0.0001	0.93	0.1051	Down	MafG
0.04	0.0006	0.95	0.2372	Down	Collagen XIV, alpha1; undulin
0.04	0.0006	1.01	0.8032	Down	Kinesin heavy chain member 2
0.03	0.0002	1.05	0.2256	Down	Macrophage migration inhibitory factor
0.03	0.0001	1.02	0.6427	Down	Mitogen-activated protein kinase 1
0.02	0	0.91	0.0164	Down	CD 97 antigen
0.02	0.0006	1	0.9715	Down	Surfactant, pulmonary-associated protein B
0.02	0.0005	1.03	0.4154	Down	RIP protein kinase
