Curated Gene Symbol	Gene Name		Systematic Name Dex			DAC	Dex+DAC
SSTR2	SSTR2		NM_001050		1.1	1.5	15
	THC2656116		THC2656116		1.1	1.1	15
MAP9	MAP9		NM_001039580		1.1	1.3	14.6
ADAMTS12	ADAMTS12		NM_030955		1.1	1.1	14.3
NEFL	NEFL		NM_006158		1.1	1.1	14
BNIP3	BNIP3		NM_004052		1.9	2.1	14
PPP1R2P9	PPP1R2P9		NR_002191		1.1	1.3	13.8
CXCL13	CXCL13		NM_006419		1.4	1.1	13.8
CX3CL1	CX3CL1		NM_002996		1.1	1.1	13.7
KIAA2022	KIAA2022		NM_001008537		1.1	1.1	13.2
PARP12	PARP12		NM_022750		1.1	1.1	12.8
CHST2	CHST2		NM_004267		1.7	1.7	12.5
MLLT4	MLLT4		BC014505		2	1.2	12.3
	THC2660651		THC2660651		1.1	1.1	12.1
RNF43	RNF43		NM_017763		1.1	1.5	12.1
AQP9	AQP9		NM_020980		1.1	1.1	11.9
CYR61	CYR61		NM_001554		1.1	1.4	11.5
VCAM1	VCAM1		NM_001078		1.1	1.1	11
	THC2668815		THC2668815		1.1	1.1	10.9
BAIAP2L2	BAIAP2L2		AK026235		1.1	1.2	10.9
RAB31	RAB31		NM_006868		1.1	1.1	10.7
PCSK9	PCSK9		NM_174936		1.1	1.4	10.6
CD109	CD109		NM_133493		1.1	1.4	10.5
TRAM1L1	TRAM1L1		NM_152402		1.1	1.5	10.3
	AY358804		AY358804		1.1	1.1	10.3
	THC2662240		THC2662240		1.1	1.4	10.2
	LOC387763			ENST00000339446	1.3	1.6	10.2
	LOC441052		AF131741		1.1	1.1	10.1
CMTM3	CMTM3		NM_144601		1.1	1.1	10
NLRP7	NLRP7		NM_139176		1.1	1.1	9.9
LILRB2	LILRB2		NM_005874		1.1	1.1	9.9
ANO1	TMEM16A		NM_018043		1.1	1.1	9.8
GNA12	GNA12		NM_007353		1.6	1.6	9.8
PRRX2	PRRX2		NM_016307		1.1	1.1	9.8
CAPSL	CAPSL		NM_144647		1.1	1.1	9.6
FILIP1L	FILIP1L		NM_182909		1.1	1.1	9.6
