Gene ID	Symbol	Gene Name	P- Value	Fold change I	Fold change II	Fold change q	Description of cancer related or other major function
7069	THRSP	Thyroid hormone responsive	3.50E-06	7	5		Transcription of enzymes involved in tumor lipid metabolism
29947	DNMT3L	DNA (cytosine-5-)-methyltransferase 3-like	5.50E-08	5	6	> 50	DNA methylation, nucleic acid metabolic process
4091	SMAD6	SMAD family member 6	8.10E-10	5	4		Cell communication, TGF-beta receptor signaling pathway
6591	SNAI2	Snail homolog 2 (Drosophila)	8.80E-07	4	12	6	Promotes EMT by repressing E-cadherin transcription
6662	SOX9	SRY (sex determining region Y)-box 9	4.40E-07	4	6	17	Promotes chondrocyte differentiation, cell migration, and EMT
7025	NR2F1	Nuclear receptor subfamily 2,	3.50E-07	3	14	2	Ligand-dependent receptor, regulation of transcription termination
678	ZFP36L2	Zinc finger protein 36, C3H type-like 2	4.10E-09	3	10		Regulation of RNA metabolic process
4088	SMAD3	SMAD family member 3	6.30E-10	3	7	25	Signal transducer downstream of TGF-b receptors
283248	RCOR2	REST corepressor 2	2.90E-06	3	7		Negative regulation of transcription
10217	CTDSPL	Small CTD phosphatase 3	1.90E-09	-2	-3		Phosphatase, dephosphorylates Rb, suppresses cellular growth
1870	E2F2	E2F transcription factor 2	8.20E-10	-2	-5	-4	Transcription activator, regulation of cell cycle progression, proliferation
90390	MED30	Mediator complex subunit 30	< 1.0E-12	-2	-3		Transcription activator, Androgen receptor signaling pathway
4609	MYC	V-myc myelocytomatosis viral oncogene	2.90E-07	-2	-3	-2	Positive regulation of cell proliferation, apoptosis
29893	PSMC3IP	PSMC3 interacting protein	3.50E-08	-2	-4		Gene expression from RNA PolII
4602	MYB	Viral oncogene homolog (avian)	1.60E-08	-3	-5	-3	G1/S transition of mitotic cell cycle
4824	NKX3-1	NK3 homeobox 1	3.70E-08	-3	-3		Transcription repressor, loss induces prostate tumorigenesis
51655	RASD1	RAS, dexamethasone-induced 1	6.80E-12	26	19	> 50	Ras related, suppresses cell proliferation, inhibits tumor growth
6446	SGK	Serum/ glucocorticoid regulated kinase 1	< 1.0E-12	19	45		Cellular Na+ ion homeostasis, cell survival
57007	CXCR7	Chemokine receptor 7	9.20E-11	8	12	30	Receptor for SDF-1, GPCR, enhanced integrin activation and tumor growth
1843	DUSP1	Dual specificity phosphatase 1	9.10E-13	8	8	10	Regulator of cell cycle, response to stress
5580	PRKCD	Protein kinase C, delta	2.00E-11	6	5	12	Serine-Threonine Kinase, cell proliferation, cell contraction
55890	GPRC5C	G protein-coupled receptor, family C	1.30E-09	5	5	25	GPCR, cell communication
10461	MERTK	C-mer proto-oncogene tyrosine kinase	6.20E-10	4	6	39	Protein amino acid phosphorylation
5920	RARRES3	Retinoic acid receptor responder 3	4.30E-08	3	8	40	Negative regulation of cell proliferation
1903	EDG3	Sphingosine-1-phosphate receptor 3	4.80E-10	3	7		GPCR, enhances tumor growth, cell migration, and angiogenesis
8877	SPHK1	Sphingosine kinase 1	7.50E-09	3	12	36	Kinase for the production of S1P, enhances tumor growth, cell migration, and angiogenesis, PCa cell survival against chemotherapy, osteoclast chemotaxis
7049	TGFBR3	Transforming growth factor, b receptor III	7.10E-09	3	4	12	Negative regulation of TGFb receptor signaling pathway
4921	DDR2	Discoidin domain receptor tyrosine kinase 2	2.90E-05	2	5		Collagen binding, cell proliferation
1017	CDK2	Cyclin-dependent kinase 2	1.30E-03	-2	-3	-4	Kinase, mitotic cell cycle, cell proliferation
55038	CDCA4	Cell division cycle associated 4	7.20E-08	-2	-4	-4	Repressor of E2F-dependent transcriptional activation and cell proliferation
5997	RGS2	Regulator of G-protein signaling 2, 24 kDa	9.00E-09	-3	-3		Cell cycle, GPCR signaling pathway, cell communication
25805	BAMBI	BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)	9.70E-10	-2	-3		TGF-b signaling pathway
89797	NAV2	Neuron navigator 2	6.70E-09	9	10	29	Scaffold protein, actin cytoskeleton remodeling, nervous system development
27111	SDCBP2	Syndecan binding protein 2	2.20E-03	6	15		Binds SDC2, regulates cell adhesion and communication with ECM molecules
11344	PTK9L	Twinfilin	9.00E-10	6	5	11	Actin-binding protein, cytoskeleton organization
83715	ESPN	Espin	2.10E-08	5	8	> 50	Actin-binding-bundling protein, actin cytoskeleton dynamics, cell locomotion
51474	LIMA1	Eplin, LIM domain and actin binding 1	3.00E-10	4	5	15	Cytoskeleton-associated protein, regulation of actin filament depolymerization
8829	NRP1	Neuropilin 1	4.10E-08	4	11	40	TM, coreceptor for VEGF, collagen binding, cell adhesion, invasion
4582	MUC1	Mucin 1, cell surface associated	1.10E-09	4	4		TM, cell adhesion, invasion
4131	MAP1B	Microtubule-associated protein 1B	7.10E-09	3	9	18	Trans-membrane glycoprotein, cytoskeleton organization
9644	SH3PXD2A	SH3 and PX domains 2A	1.40E-09	3	7		Adaptor protein, ECM degradation by actin based invadopedia formation
6275	S100A4	S100 calcium binding protein A4	2.60E-08	2	24	> 50	EF-hand calcium-binding protein, promotes cell motility, tumor metastasis
6383	SDC2	Syndecan 2	3.10E-06	2	5	32	TM, bind signaling factors, cell adhesion, angiogenesis, ECM degradation
1013	CDH15	Cadherin 15, type 1, M-cadherin	6.90E-08	2	5	21	TM, Ca2+dependent intercellular adhesion, skeletal muscle development
1437	CSF2	Colony stimulating factor 2/GM-CSF	2.30E-09	12	17	> 50	Cytokine, osteolytic bone metastasis
5225	PGC	Progastricsin (pepsinogen C)	3.90E-12	11	15		Aspartyl proteinase
5304	PIP	Prolactin-induced protein	< 1.0E-12	10	79	> 50	Aspartyl proteinase, ligand for CD4 receptor T cells
8857	FCGBP	Fc fragment of IgG binding protein	1.50E-09	5	9		Cell adhesion, cell-cell recognition
6387	CXCL12	Chemokine ligand 12 (SDF-1)	2.20E-06	5	7	23	Chemokine, stem cell trafficking to bone, migration, metastasis of tumor cells
7422	VEGFA	Vascular endothelial growth factor A	4.50E-10	5	3	4	Growth factor, angiogenesis, cellular morphogenesis during differentiation
1907	EDN2	Endothelin 2	4.30E-07	5	2		Growth factor, vasoactive, G-protein signaling, smooth muscle contraction
5654	HTRA1	HtrA serine peptidase 1	6.90E-10	3	18		Serine protease, differentially expressed in osteoarthritic cartillage
3817	KLK2	Kallikrein-related peptidase 2	1.50E-08	4	3		Serine protease, protein metabolic process
4880	NPPC	Natriuretic peptide precursor C	1.80E-10	4	17	> 50	Peptide, potent natriuretic, diuretic, and vasodilating
7057	THBS1	Thrombospondin 1	3.00E-10	4	14	> 50	Cell adhesion, heparin-binding, anti-angiogenic
3934	LCN2	Lipocalin 2	5.10E-08	4	10	5	ECM protein, present ligands to cell surface receptors, promotes EMT
6462	SHBG	Sex hormone-binding globulin	8.70E-10	4	10		Steroid-binding, signal
57642	COL20A1	Collagen, type XX, a 1	4.90E-07	4	10	> 50	Adhesion, establishment of localization, transport
4254	KITLG	KIT ligand	2.30E-08	4	7	41	Hematopoietic growth factor and ligand for the KIT tyrosine kinase receptor
4884	NPTX1	Neuronal pentraxin I	2.50E-07	3	20		Cell-cell signaling, transport, establishment of localization
3486	IGFBP3	IGF binding protein 3	2.20E-08	3	7		Regulation of cell growth, communication, apoptosis
9806	SPOCK2	Sparc/osteonectin, cwcv, kazal-like domains proteoglycan (testican) 2	1.10E-06	3	4		Cell differentiation, ECM organization and biogenesis
8530	CST7	Cystatin F (leukocystatin)	3.00E-09	2	25		Competitive inhibitors of cysteine proteases, metastasis associated protein
4885	NPTX2	Neuronal pentraxin II	7.60E-09	2	6		Cell-cell signaling, synaptic transmission
147381	CBLN2	ADAM MMP with Thbs-1 motif	5.20E-12	-3	-3		Peptidase, cleavage of precerebellin in the nervous system
