Accession	Term	p-value	corr p-value	Ontology
2376	immune system process	8.43E-10	1.45E-06	BP
6455	translational elongation	5.55E-09	4.78E-06	BP
43067	regulation of programmed cell death	1.44E-06	6.49E-04	BP
6955	immune response	1.51E-06	6.49E-04	BP
42981	regulation of apoptosis	2.65E-06	9.13E-04	BP
2521	leukocyte differentiation	5.56E-06	1.59E-03	BP
6690	icosanoid metabolic process	6.44E-06	1.59E-03	BP
46649	lymphocyte activation	1.25E-05	2.61E-03	BP
50793	regulation of developmental process	1.37E-05	2.61E-03	BP
46650	lymphocyte differentiation	2.10E-05	3.57E-03	BP
2682	regulation of immune system process	2.28E-05	3.57E-03	BP
2684	positive regulation of immune system process	2.85E-05	3.77E-03	BP
45321	leukocyte activation	2.85E-05	3.77E-03	BP
2694	regulation of leukocyte activation	5.96E-05	7.33E-03	BP
6952	defense response	6.87E-05	7.55E-03	BP
44260	cellular macromolecule metabolic process	7.65E-05	7.55E-03	BP
50865	regulation of cell activation	8.16E-05	7.55E-03	BP
43449	alkene metabolic process	8.33E-05	7.55E-03	BP
6691	leukotriene metabolic process	8.33E-05	7.55E-03	BP
43066	negative regulation of apoptosis	9.71E-05	8.36E-03	BP
43068	positive regulation of programmed cell death	1.13E-04	8.77E-03	BP
43069	negative regulation of programmed cell death	1.17E-04	8.77E-03	BP
51249	regulation of lymphocyte activation	1.17E-04	8.77E-03	BP
7243	protein kinase cascade	1.34E-04	9.62E-03	BP
30031	cell projection biogenesis	1.69E-04	1.12E-02	BP
7242	intracellular signaling cascade	1.69E-04	1.12E-02	BP
2245	response to wounding	2.15E-04	1.37E-02	BP
31347	regulation of defense response	2.27E-04	1.40E-02	BP
43065	positive regulation of apoptosis	2.66E-04	1.55E-02	BP
44267	cellular protein metabolic process	2.78E-04	1.55E-02	BP
6954	inflammatory response	2.78E-04	1.55E-02	BP
6917	induction of apoptosis	3.12E-04	1.63E-02	BP
1775	cell activation	3.24E-04	1.63E-02	BP
31349	positive regulation of defense response	3.31E-04	1.63E-02	BP
12502	induction of programmed cell death	3.31E-04	1.63E-02	BP
9605	response to external stimulus	3.92E-04	1.88E-02	BP
51094	positive regulation of developmental process	4.04E-04	1.88E-02	BP
6916	anti-apoptosis	4.35E-04	1.92E-02	BP
19538	protein metabolic process	4.35E-04	1.92E-02	BP
42110	T cell activation	4.45E-04	1.92E-02	BP
48519	negative regulation of biological process	5.88E-04	2.47E-02	BP
30097	hemopoiesis	6.21E-04	2.55E-02	BP
6950	response to stress	6.97E-04	2.79E-02	BP
2520	immune system development	7.18E-04	2.81E-02	BP
2696	positive regulation of leukocyte activation	8.09E-04	3.03E-02	BP
50867	positive regulation of cell activation	8.09E-04	3.03E-02	BP
51869	response to stimulus	8.93E-04	3.27E-02	BP
30183	B cell differentiation	1.02E-03	3.65E-02	BP
48583	regulation of response to stimulus	1.07E-03	3.75E-02	BP
45082	positive regulation of interleukin-10 biosynthetic process	1.11E-03	3.75E-02	BP
45074	regulation of interleukin-10 biosynthetic process	1.11E-03	3.75E-02	BP
42035	regulation of cytokine biosynthetic process	1.25E-03	4.05E-02	BP
50776	regulation of immune response	1.25E-03	4.05E-02	BP
43412	biopolymer modification	1.44E-03	4.60E-02	BP
5515	protein binding	4.00E-07	2.87E-04	MF
4197	cysteine-type endopeptidase activity	2.68E-05	9.63E-03	MF
30693	caspase activity	4.51E-05	1.08E-02	MF
5829	cytosol	6.01E-09	1.97E-06	CC
5830	cytosolic ribosome	2.16E-07	3.54E-05	CC
44445	cytosolic part	2.18E-06	2.15E-04	CC
5737	cytoplasm	2.63E-06	2.15E-04	CC
30873	cytosolic small ribosomal subunit	4.76E-05	3.11E-03	CC
33279	ribosomal subunit	6.09E-05	3.32E-03	CC
44444	cytoplasmic part	3.24E-04	1.51E-02	CC
16461	unconventional myosin complex	5.65E-04	2.31E-02	CC
30498	cytosolic large ribosomal subunit	7.93E-04	2.88E-02	CC
44424	intracellular part	1.47E-03	4.79E-02	CC
