CloneID	Symbol	Gene name	Fold (PBC/N)	Fold (PBC1UDCA/N)	Fold (PBC1UDCA/PBC)
305136	KIAA1815	KIAA1815	7.38	1.76	0.24
376901	DAP3	Death associated protein 3	3.32	1.24	0.37
5549489	KIAA0888	KIAA0888 protein	3.23	1.25	0.39
5552585	SF3B1	Splicing factor 3b, subunit 1, 155 kDa	3.06	1.14	0.37
42194	CSPG4	Chondroitin sulphate proteoglycan 4 (melanoma-associated)	2.84	1.37	0.48
376772	RPS27L	Ribosomal protein S27-like	2.53	1.21	0.48
324024	DLAT	Dihydrolipoamide S-acetyltransferase	2.53	1.35	0.53
156183	ICAM3	Intercellular adhesion molecule 3	2.51	1.07	0.43
5761281	RAC1	Ras-related C3 botulinum toxin substrate 1	2.18	1.06	0.49
154991	CD248	CD248 antigen, endosialin	1.94	1.16	0.60
343319	SSBP1	Single-stranded DEST-binding protein 1	1.77	1.09	0.62
153729	CCT5	Chaperonin containing TCP1, subunit 5 (epsilon)	1.68	1.09	0.65
289967	TARS	Threonyl-tREST synthetase	1.61	1.00	0.62
428340	DHX9	DEAH (Asp-Glu-Ala-His) box polypeptide 9	1.53	0.99	0.64
