Genes 	ER (n=25)a	LR  (n = 22)b 	Pc	"	ROC -AUCd 	 "	
CAV2 	"10,379"	"0,7833 "	"0,0044 "	"0,667 "	 
SHH 	"0,7364 "	"0,6315 "	"0,051 "	"0,662 "	 
CAV1 	"82,265"	"5,028"	"0,055 "	"0,659 "	 
AKT1 	"0,4777 "	"0,3601 "	"0,063 "	"0,654 "	
BCL2 	"0,0446 "	"0,0264 "	"0,071 "	"0,65 "	 
IGFBF2 	"0,1356 "	"0,0871 "	"0,084 "	"0,644 "	 
NRP2 	"1,908,593"	"1,031,349"	"0,082 "	"0,644 "	
PTCH 	"0,0957 "	"0,0629 "	"0,1 "	"0,635 "	
CDKN1A 	"0,7372 "	"0,6112 "	"0,11 "	"0,632 "	 
ZYX 	"0,0349 "	"0,0261 "	"0,13 "	"0,626 "	 
HAS3 	"118,959"	"91,339"	"0,18 "	"0,61 "	 
MST1 	"0,3435 "	"0,1964 "	"0,19 "	"0,61 "	 
MMP9 	"0,0603 "	"0,037 "	"0,19 "	"0,608 "	 
SPARC 	"0,0565 "	"0,0464 "	"0,19 "	"0,608 "	 
GSTP1 	"0,6545 "	"0,5767 "	"0,32 "	"0,604 "	 
BAK1 	"13,097"	"0,9104 "	"0,26 "	"0,593 "	 
TNFRSF10A 	"27,246"	"1,926"	"0,3 "	"0,586 "	 
SNAI2 	"0,0343 "	"0,0242 "	"0,34 "	"0,581 "	 
HYAL2 	"0,1272 "	"0,0891 "	"0,38 "	"0,572 "	 
MTSR1 	"65,882"	"64,257"	"0,39 "	"0,571 "	 
DNMT3B 	"213,192"	"169,795"	"0,4 "	"0,57 "	 
SLC9A1 	"14,554"	"1,032"	"0,41 "	"0,568 "	 
BCL2A1 	"0,0561 "	"0,0475 "	"0,44 "	"0,564 "	 
KRT7 	"17,648"	"15,713"	"0,45 "	"0,563 "	 
ITGB4 	"0,9571 "	"0,9517 "	"0,46 "	"0,561 "	 
MAD1L1 	"0,2116 "	"0,1899 "	"0,46 "	"0,561 "	 
CXCL1 	"0,0138 "	"0,0087 "	"0,47 "	"0,56 "	 
IGF2 	"18,163"	"0,2033 "	"0,47 "	"0,56 "	 
XLKD1 	"0,0084 "	"0,006 "	"0,48 "	"0,559 "	 
HYAL1 	"0,0574 "	"0,0476 "	"0,48 "	"0,558 "	 
TNFRSF1B 	"0,0846 "	"0,0712 "	"0,5 "	"0,556 "	 
DDR1 	"2,054"	"14,884"	"0,53 "	"0,552 "	 
TIMP2 	"1,079,286"	"997,807"	"0,56 "	"0,549 "	 
