Curated Gene Symbol	Gene with increased expression	logFC	Adjusted P
ACADM	ACADM	0.68	0.05
ACTL6A	ACTL6A	0.52	0.04
ACY1	ACY1	0.65	0.03
APEX1	APEX1	0.46	0.02
CBX3	CBX3	0.48	0.02
TMA7	CCDC72	0.39	0.04
CISD1	CISD1	0.71	0.02
DALRD3	DALRD3	0.43	0.02
EEF1B2	EEF1B2	0.52	0
EI24	EI24	0.45	0.02
EIF3E	EIF3E	0.43	0.02
ERH	ERH	0.38	0.03
EXOSC7	EXOSC7	0.45	0.02
GNL3	GNL3	0.75	0.02
IFRD2	IFRD2	0.5	0.03
IGF2BP3	IGF2BP3	1.47	0.01
IMPDH2	IMPDH2	0.96	0
IPO5	IPO5	0.54	0.04
KIF15	KIF15	0.69	0.03
	LOC10013062	0.78	0
LSM3	LSM3	0.61	0.01
MFN1	MFN1	0.66	0.05
TMEM223	MGC3196	0.23	0.04
TMSB15B	MGC39900	0.54	0.02
MTX1	MTX1	0.32	0.04
NARS2	NARS2	0.45	0.04
NHP2	NHP2	0.47	0.04
NLE1	NLE1	0.42	0.02
PHACTR1	PHACTR1	1.1	0.02
PKIG	PKIG	0.84	0.05
QARS	QARS	0.56	0
RAD51B	RAD51L1	0.39	0.01
RPL10A	RPL10A	0.33	0.04
	RPL14 /// RPL	0.56	0
RPL15	RPL15	0.51	0.02
RPL24	RPL24	0.51	0
RPL32	RPL32	0.32	0.02
RPL35A	RPL35A	0.48	0.02
RPL4	RPL4	0.39	0.02
RPS13	RPS13	0.33	0
RPS15A	RPS15A	0.22	0.04
RPS17P5	RPS17L4	0.44	0.02
RSL1D1	RSL1D1	0.48	0.01
RUVBL1	RUVBL1	0.65	0.03
7-Sep	7-Sep	0.45	0.02
SMARCC1	SMARCC1	0.57	0.02
SUCLG2	SUCLG2	0.6	0.03
TBL1XR1	TBL1XR1	1.09	0.01
TIMM9	TIMM9	0.48	0.01
TMEM97	TMEM97	0.9	0.02
UQCRH	UQCRH	0.66	0.02
VRK1	VRK1	0.57	0.04
