Gene ID	Symbol	Name	Fold Change
NM_001872	CPB2	Carboxypeptidase B2	-8.5
NM_024610	HSPBAP1	HSPB (heat shock 27 kDa) associated protein 1	-8.2
NM_022118	RBM26	RNA binding motif protein 26	-8.2
NM_017819	RG9MTD1	RNA (guanine-9-) methyltransferase domain containing 1	-8.1
NM_005319	HIST1H1C	histone cluster 1, H1c	-7.9
NM_000859	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	-7.9
NM_003829	MPDZ	Multiple PDZ domain protein	-7.8
NM_017806	LIME1	Lck interacting transmembrane adaptor 1	-7.5
NM_005166	APLP1	Amyloid beta (A4) precursor-like protein 1	-7.5
NM_015985	ANGPT4	Angiopoietin 4	-7.3
NM_016283	TAF9	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor	-7
NM_000808	GABRA3	Gamma-aminobutyric acid (GABA) A receptor, alpha 3	-7
NM_005264	GFRA1	GDNF family receptor alpha 1	-7
NM_003420	ZNF35	Zinc finger protein 35	-7
NM_016179	TRPC4	Transient receptor potential cation channel, subfamily C, member 4	-6.9
NM_020200	PRTFDC1	Phosphoribosyl transferase domain containing 1	-6.9
NM_014736	KIAA0101	KIAA0101	-6.9
NM_020651	PELI1	Pellino homolog 1 (Drosophila)	-6.8
NM_006061	CRISP3	Cysteine-rich secretory protein 3	-6.8
NM_014626	TAAR2	Trace amine associated receptor 2	-6.8
NM_007048	BTN3A1	Butyrophilin, subfamily 3, member A1	-6.7
NM_007213	PRAF2	PRA1 domain family, member 2	-6.7
NM_024838	THNSL1	Threonine synthase-like 1 (S. cerevisiae)	-6.7
NM_012198	GCA	Grancalcin, EF-hand calcium binding protein	-6.6
NM_018938	PCDHB4	Protocadherin beta 4	-6.6
NM_006530	YEATS4	YEATS domain containing 4	-6.4
NM_000500	CYP21A2	Cytochrome P450, family 21, subfamily A, polypeptide 2	-6.4
NM_014547	TMOD3	Tropomodulin 3 (ubiquitous)	-6.4
NM_000228	LAMB3	Laminin, beta 3	-6.3
NM_002029	FPR1	Formyl peptide receptor 1	-6.3
NM_016508	CDKL3	Cyclin-dependent kinase-like 3	-6.3
NM_017779	DEPDC1	DEP domain containing 1	-6.3
NM_024612	DHX40	DEAH (Asp-Glu-Ala-His) box polypeptide 40	-6.3
NM_020666	CLK4	CDC-like kinase 4	-6.3
NM_007029	STMN2	Stathmin-like 2	-6.2
NM_012095	AP3M1	Adaptor-related protein complex 3, mu 1 subunit	-6.2
NM_018319	TDP1	Tyrosyl-DNA phosphodiesterase 1	-6.2
NM_024665	TBL1XR1	Transducin (beta)-like 1 X-linked receptor 1	-6.2
NM_012123	MTO1	Mitochondrial translation optimization 1 homolog (S. cerevisiae)	-6.2
NM_001285	CLCA1	Chloride channel accessory 1	-6.2
NM_025074	FRAS1	Fraser syndrome 1	-6.2
NM_017424	CECR1	Cat eye syndrome chromosome region, candidate 1	-6.1
NM_024756	MMRN2	Multimerin 2	-6.1
NM_002492	NDUFB5	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5	-6.1
NM_004549	NDUFC2	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2	-6.1
NM_018128	TSR1	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)	-6
NM_000438	PAX3	Paired box 3	-6
NM_018991	STAG3L1	Stromal antigen 3-like 1	-6
NM_024576	OGFRL1	Opioid growth factor receptor-like 1	-6
NM_004249	RAB28	RAB28, member RAS oncogene family	-6
