Probe	ChipID	name	FOLD PL 21-17	FOLD AM 21-17	 RATIO AM vs PL 	P_INT_GEA_R_AGE_TR
RAE230A:1376452_at	1376452_at	Transcribed sequences	0.19	5.67	29.84	3.27489E-07
RAE230A:1371033_at	1371033_at	"RT1 class II, locus Bb"	1.43	40.44	28.28	0
RAE230A:1375236_at	1375236_at	"Similar to KIAA1377 protein (LOC315409), mRNA"	0.23	4.22	18.35	3.76952E-07
RAE230A:1387193_a_at	1387193_a_at	"serine protease inhibitor, Kazal type 1"	0.37	5.74	15.51	1.11022E-16
RAE230A:1375113_at	1375113_at	no description	0.21	2.51	11.95	
RAE230A:1368499_at	1368499_at	synaptonemal complex protein 2	0.26	2.63	10.12	
RAE230A:1369719_at	1369719_at	phosphate regulating gene with homologies to endopeptidases on the X chromosome	0.19	1.89	9.95	9.97538E-05
RAE230A:1370546_at	1370546_at	Munc13-3	0.25	2.03	8.12	4.12731E-05
RAE230A:1372239_at	1372239_at	Transcribed sequences	0.2	1.47	7.35	7.98775E-05
RAE230A:1390375_at	1390375_at	"Similar to NAKAP95 (LOC299569), mRNA"	0.15	1.09	7.27	1.6406E-06
RAE230A:1370114_a_at	1370114_a_at	"phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1"	0.34	2.27	6.68	4.70397E-08
RAE230A:1368367_at	1368367_at	integral membrane-associated protein 1	0.21	1.38	6.57	
RAE230A:1374140_at	1374140_at	Transcribed sequences	0.19	1.24	6.53	
RAE230A:1367998_at	1367998_at	secretory leukocyte protease inhibitor	0.61	3.72	6.1	0
RAE230A:1372514_s_at	1372514_s_at	"Similar to dynein, axonemal, light chain 4 (LOC294376), mRNA"	0.65	3.95	6.08	
RAE230A:1398816_at	1398816_at	lysosomal membrane glycoprotein 1	0.24	1.4	5.83	
RAE230A:1376607_a_at	1376607_a_at	"Similar to hypothetical protein FLJ23263 (LOC290811), mRNA"	0.32	1.86	5.81	1.63945E-05
RAE230A:1371146_at	1371146_at	transcription factor EC	0.03	0.17	5.67	0
RAE230A:1379814_at	1379814_at	Transcribed sequences	0.14	0.79	5.64	
RAE230A:1387269_s_at	1387269_s_at	"plasminogen activator, urokinase receptor"	1.79	9.86	5.51	
RAE230A:1370382_at	1370382_at	"RT1 class II, locus Db1"	1.98	10.5	5.3	5.90574E-11
RAE230A:1376142_at	1376142_at	"Similar to ancient conserved domain protein 1 (LOC309387), mRNA"	0.43	2.27	5.28	2.82245E-07
RAE230A:1370943_at	1370943_at	"sulfotransferase family, cytosolic, 1C, member 2"	0.18	0.94	5.22	1.49071E-06
RAE230A:1389718_at	1389718_at	Transcribed sequences	0.17	0.88	5.18	
RAE230A:1376406_at	1376406_at	"Similar to RIKEN cDNA 9130404D14 (LOC362115), mRNA"	0.19	0.95	5	
RAE230A:1376677_a_at	1376677_a_at	"Similar to zinc finger protein ZNF-U69274 (LOC304010), mRNA"	0.11	0.54	4.91	
RAE230A:1376924_a_at	1376924_a_at	"Similar to palmdelphin (LOC310811), mRNA"	0.21	1.02	4.86	
RAE230A:1386648_at	1386648_at	Transcribed sequences	0.23	1.07	4.65	
RAE230A:1369171_at	1369171_at	Macrophage stimulating 1 (hepatocyte growth factor-like)	0.29	1.34	4.62	9.5331E-06
RAE230A:1389829_at	1389829_at	Transcribed sequence with weak similarity to protein ref:NP_060336.1 (H.sapiens) hypothetical protein FLJ20533 [Homo sapiens]	0.25	1.12	4.48	0.000188736
RAE230A:1375751_at	1375751_at	Transcribed sequence with weak similarity to protein sp:P20908 (H.sapiens) CA15_HUMAN Collagen alpha 1	0.2	0.86	4.3	
RAE230A:1375464_at	1375464_at	"Hypothetical LOC308556 (LOC308556), mRNA"	0.14	0.6	4.29	0
RAE230A:1377512_at	1377512_at	no description	0.21	0.89	4.24	
RAE230A:1387634_a_at	1387634_a_at	amelogenin X chromosome	0.09	0.38	4.22	
RAE230A:1374035_at	1374035_at	rad and gem related GTP binding protein 2	0.13	0.54	4.15	
RAE230A:1386324_at	1386324_at	no description	0.17	0.7	4.12	
