Gene name	Log ratio	Category
Rhesus blood group, B glycoprotein	4.78	Upregulated genes
glutamine synthetase	4.25, 3.34, 3.06, 1.47	Upregulated genes
solute carrier family 13 member 3	3.71, 2.38	Upregulated genes
G protein-coupled receptor 49	3.65, 3.54	Upregulated genes
membrane metallo-endopeptidase	2.65	Upregulated genes
endothelial cell-specific molecule 1	2.07	Upregulated genes
histone 1. H1c	2.04	Upregulated genes
fatty acid binding protein 4	2.04	Upregulated genes
tribbles homolog 2	1.97, 1.61	Upregulated genes
natriuretic peptide receptor B	1.71, 1.33	Upregulated genes
T-box 3 (ulnar mammary syndrome)	1.69	Upregulated genes
hypothetical protein FLJ20315	1.61	Upregulated genes
WNT inhibitory factor 1	1.61	Upregulated genes
glutathione S-transferase M4	1.38	Upregulated genes
cysteine and glycine-rich protein 2	1.19	Upregulated genes
tubulin. beta polypeptide	1.04	Upregulated genes
sialyltransferase 1	1.04	Upregulated genes
c-mer proto-oncogene tyrosine kinase	1.03	Upregulated genes
chromosome 2 open reading frame 23	-1.15	Downregulated genes
protease. serine. 8 (prostasin)	-1.17	Downregulated genes
arginine vasopressin receptor 1A	-1.2	Downregulated genes
endothelial cell growth factor 1	-1.23	Downregulated genes
B-cell linker	-1.23	Downregulated genes
H factor 1 (complement)	-1.41	Downregulated genes
carbamoyl-phosphate synthetase 1 mitochondr.	-1.42	Downregulated genes
fibrinogen-like 1	-1.52	Downregulated genes
neurotrophic tyrosine kinase. receptor. type 2	-1.52	Downregulated genes
core promoter element binding protein	-1.52, -1.37	Downregulated genes
prominin 1	-1.6	Downregulated genes
argininosuccinate synthetase	-1.63	Downregulated genes
solute carrier family 3 member 1	-1.84	Downregulated genes
glutamic-oxaloacetic transaminase 1	-2.05	Downregulated genes
glycine dehydrogenase	-2.09	Downregulated genes
cytochrome P450 2C18	-2.13, -1.96	Downregulated genes
insulin-like growth factor 1	-2.21, -1.31, -1.21, -1.19	Downregulated genes
cystathionase	-2.25, -1.49	Downregulated genes
HGF activator	-2.29	Downregulated genes
chromosome 8 open reading frame 4	-2.29	Downregulated genes
arginase. liver	-2.5	Downregulated genes
phosphoenolpyruvate carboxykinase 1	-2.65	Downregulated genes
decorin	-2.97, -2.74, -2.30, -1.96	Downregulated genes
chemokine (C-X-C motif) ligand 12	-3.08, -1.83	Downregulated genes
chemokine (C-X-C motif) ligand 2	-3.34, -1.35	Downregulated genes
tyrosine aminotransferase	-3.39	Downregulated genes
serine dehydratase	-3.87	Downregulated genes
histidine ammonia-lyase	-3.95, -3.28	Downregulated genes
complement component 9	-4.46	Downregulated genes
nicotinamide N-methyltransferase	-4.49, -4.08	Downregulated genes
