Gene	STEP	p-value	R square
PLEK2	1	1.30E-15	0.5542
NEDD4L	1	1.60E-08	0.5542
PLXDC2	1	8.90E-08	0.5542
C1QB	1	3.60E-07	0.5542
KCNK2	1	4.10E-07	0.5542
XK	1	2.30E-06	0.5542
LARGE	1	5.60E-06	0.5542
SIAH2	1	5.90E-06	0.5542
IGF2BP2	1	1.30E-05	0.5542
CNKSR2	1	1.40E-05	0.5542
NBEA	1	2.60E-05	0.5542
NUDT4	1	2.60E-05	0.5542
SCN3A	1	3.40E-05	0.5542
BPGM	1	3.80E-05	0.5542
PTPRK	1	5.10E-05	0.5542
SLC4A1	1	6.00E-05	0.5542
BLVRB	1	0.00015	0.5542
LGALS3	1	0.00062	0.5542
EDIL3	1	0.00082	0.5542
ZBTB10	1	0.00082	0.5542
GLRX5	1	0.00091	0.5542
INPP4B	1	0.0013	0.5542
TSPAN5	1	0.0015	0.5542
IL1R2	1	0.0018	0.5542
TMOD1	1	0.0019	0.5542
CHPT1	1	0.0034	0.5542
PBX1	1	0.0056	0.5542
NUCKS1	1	0.007	0.5542
NEDD9	1	0.01	0.5542
F5	1	0.012	0.5542
TNS1	1	0.014	0.5542
IRAK3	1	0.014	0.5542
ST6GALNAC5	1	0.016	0.5542
GYPA	1	0.019	0.5542
GYPB	1	0.02	0.5542
C20ORF108	1	0.026	0.5542
TLK2	1	0.035	0.5542
CARD12	1	0.038	0.5542
PLAUR	1	0.044	0.5542
PLEK2	1	1.30E-15	0.5542
C1QB	2	2.50E-07	0.7314
PLXDC2	2	1.10E-05	0.7314
TMOD1	2	1.50E-05	0.7314
TSPAN5	2	0.0001	0.7314
GLRX5	2	0.00012	0.7314
C20ORF108	2	0.00017	0.7314
GYPA	2	0.00029	0.7314
GYPB	2	0.0014	0.7314
BLVRB	2	0.0017	0.7314
IL1R2	2	0.0031	0.7314
PBX1	2	0.0062	0.7314
LARGE	2	0.0075	0.7314
PLAUR	2	0.012	0.7314
SLC4A1	2	0.013	0.7314
KCNK2	2	0.018	0.7314
SCN3A	2	0.02	0.7314
PTPRK	2	0.022	0.7314
CARD12	2	0.025	0.7314
TLK2	2	0.031	0.7314
SLA	2	0.037	0.7314
RBMS1	2	0.038	0.7314
CNKSR2	2	0.039	0.7314
CXCL16	2	0.045	0.7314
IRAK3	2	0.057	0.7314
RAB2B	2	0.084	0.7314
NOTCH2	2	0.11	0.7314
F5	2	0.11	0.7314
IGF2BP2	2	0.14	0.7314
CELSR1	2	0.14	0.7314
NUDT4	2	0.17	0.7314
NEDD4L	2	0.17	0.7314
BPGM	2	0.18	0.7314
LGALS3	2	0.18	0.7314
EDIL3	2	0.2	0.7314
PLEKHQ1	2	0.22	0.7314
ACOX1	2	0.24	0.7314
HECTD2	2	0.24	0.7314
IL13RA1	2	0.25	0.7314
