Transcript ID	Gene Symbol	Gene Name	Fold Change
NM_012540	Cyp1a1	Cytochrome P450, family 1, subfamily a, polypeptide 1	1026
NM_012940	Cyp1b1	Cytochrome P450, family 1, subfamily b, polypeptide 1	743
NM_173339	Ceacam10	CEA-related cell adhesion molecule 10	620
NM_012786	Cox8h	Cytochrom c oxidase subunit VIII-H (heart/muscle)	312
NM_130407	Ugt1a7	UDP glycosyltransferase 1 family, polypeptide A7	85
NM_031972	Aldh3a1	Aldehyde dehydrogenase family 3, member A1	57
NM_001039691 /// NM_057105	Ugt1a6	UDP glycosyltransferase 1 family, polypeptide A6	56
NM_001024964	Exoc3	Exocyst complex component 3	32
NM_017000	Nqo1	NAD(P)H dehydrogenase, quinone 1	20
NM_012543	Dbp	D site albumin promoter binding protein	9
NM_130741	Lcn2	Lipocalin 2	8
NM_144755	Trib3	Tribbles homolog 3 (Drosophila)	8
NM_053874	Cap2	CAP, adenylate cyclase-associated protein, 2 (yeast)	7
NM_057104	Enpp2	Ectonucleotide pyrophosphatase/phosphodiesterase 2	6
NM_001014100	Neurl3	Neuralized homolog 3 (Drosophila)	6
NM_017006	G6pdx	Glucose-6-phosphate dehydrogenase X-linked	5
NM_145775	Nr1d1	Nuclear receptor subfamily 1, group D, member 1	5
NM_198738	Psat1	Phosphoserine aminotransferase 1	5
NM_012541	Cyp1a2	Cytochrome P450, family 1, subfamily a, polypeptide 2	5
NM_031841	Scd2	Stearoyl-Coenzyme A desaturase 2	5
XM_001062488 /// XM_001070713	LOC682651 /// LOC689415	Similar to Metallothionein-2 (MT-2) (Metallothionein-II) (MT-II) /// similar to Metallothionein-2 (MT-2) (Metallothionein-II) (MT-II)	4
NM_016988	Acp2	Acid phosphatase 2, lysosomal	3
NM_012541	Cyp1a2	Cytochrome P450, family 1, subfamily a, polypeptide 2	3
XM_001058806 /// XM_343227	Nipal2	NIPA-like domain containing 2	3
NM_031620	Phgdh	3-phosphoglycerate dehydrogenase	3
NM_031530	Ccl2	Chemokine (C-C motif) ligand 2	3
NM_138840	Tgoln2	Trans-golgi network protein 2	3
NM_012521	S100g	S100 calcium binding protein G	3
NM_001010921	LOC494499	LOC494499 protein	3
NM_012600	Me1	Malic enzyme 1	3
NM_031588	Nrg1	Neuregulin 1	3
NM_172224	Impa2	Inositol (myo)-1(or 4)-monophosphatase 2	3
NM_001024276	Mettl7b	Methyltransferase like 7B	3
NM_031810	Defb1	Defensin beta 1	3
NM_145878	Fabp5	Fatty acid binding protein 5, epidermal	2
XM_001055696 /// XM_001072336	LOC680097 /// LOC684887	Similar to germinal histone H4 gene /// similar to germinal histone H4 gene	2
NM_032085	Col3a1	Procollagen, type III, alpha 1	2
NM_012515	Bzrp	Benzodiazepine receptor, peripheral	2
NM_019283	Slc3a2	Solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	2
