Human probe name	Normal	Tumor	N/T	Expression
hsa-miR-29a	1478	1139	1.29E+00	miRNAs expressed in both (N/T = 2-0.5)
hsa-miR-29c	1522	1175	1.29	miRNAs expressed in both (N/T = 2-0.5)
hsa-miR-124a	1730	1349	1.28	miRNAs expressed in both (N/T = 2-0.5)
hsa-miR-96	1155	1034	1.11	miRNAs expressed in both (N/T = 2-0.5)
hsa-let-7c	1296	1282	1.01	miRNAs expressed in both (N/T = 2-0.5)
hsa-miR-22	1106	1167	0.94	miRNAs expressed in both (N/T = 2-0.5)
hsa-let-7a	1050	1157	0.9	miRNAs expressed in both (N/T = 2-0.5)
hsa-miR-324	1011	1136	0.89	miRNAs expressed in both (N/T = 2-0.5)
hsa-miR-524	1090	1324	0.82	miRNAs expressed in both (N/T = 2-0.5)
hsa-miR-212	1037	1268	0.81	miRNAs expressed in both (N/T = 2-0.5)
hsa-miR-202	1264	1574	0.8	miRNAs expressed in both (N/T = 2-0.5)
hsa-miR-370	1231	1778	0.69	miRNAs expressed in both (N/T = 2-0.5)
hsa-miR-494	1832	3839	0.47	Highly expressed miRNAs in retinablastoma (N/T < 0.5)
hsa-let-7e	1201	2785	0.43	Highly expressed miRNAs in retinablastoma (N/T < 0.5)
hsa-miR-513	2165	5264	0.41	Highly expressed miRNAs in retinablastoma (N/T < 0.5)
hsa-miR-518c	1187	3572	0.33	Highly expressed miRNAs in retinablastoma (N/T < 0.5)
hsa-miR-129	1762	5869	0.3	Highly expressed miRNAs in retinablastoma (N/T < 0.5)
hsa-miR-198	1536	5271	0.29	Highly expressed miRNAs in retinablastoma (N/T < 0.5)
hsa-miR-492	1083	3917	0.27	Highly expressed miRNAs in retinablastoma (N/T < 0.5)
hsa-miR-498	6587	24332	0.27	Highly expressed miRNAs in retinablastoma (N/T < 0.5)
hsa-miR-320	2576	10301	0.25	Highly expressed miRNAs in retinablastoma (N/T < 0.5)
hsa-miR-503	1902	9342	0.2	Highly expressed miRNAs in retinablastoma (N/T < 0.5)
hsa-miR-373	4148	23566	0.17	Highly expressed miRNAs in retinablastoma (N/T < 0.5)
