Fold Change	Transcript Cluster ID	q-value (%)	Gene Symbol	Description	Entrez Gene ID	Cytoband	SwissProt ID
12.24	2735027	0.1	SPP1	secreted phosphoprotein 1	6696	4q22.1	P10451
6.47	3587553	0.3	GREM1	gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)	26585	15q13.3	O60565
5.22	2425756	0.1	COL11A1	collagen, type XI, alpha 1	1301	1p21.1	P12107
4.18	2790368	0.5	SFRP2	secreted frizzled-related protein 2	6423	4q31.3	Q96HF1
3.97	3762198	0.3	COL1A1	collagen, type I, alpha 1	1277	17q21.33	P02452
3.83	2985781	0.1	THBS2	thrombospondin 2	7058	6q27	P35442
3.78	3388807	0.5	MMP1	matrix metallopeptidase 1 (interstitial collagenase)	4312	11q22.2	P03956
3.73	3394412	0.5	THY1	Thy-1 cell surface antigen	7070	11q23.3	P04216
3.5	3510066	0.9	POSTN	periostin, osteoblast specific factor	10631	13q13.3	Q15063
3.41	2519577	0.3	COL3A1	collagen, type III, alpha 1	1281	2q32.2	P02461
3.39	2575949	0.5	TUBA3E	tubulin, alpha 3e	112714	2q21.1	Q6PEY2
3.31	3102372	0.5	SULF1	sulfatase 1	23213	8q13.2 / 8q13.3	Q8IWU6
3.22	3630736	0.1	ITGA11	integrin, alpha 11	22801	15q23	Q9UKX5
3.18	3110317	0.3	CTHRC1	collagen triple helix repeat containing 1	115908	8q22.3	Q96CG8
3.1	3938750	0.9	IGLV6-57	immunoglobulin lambda variable 6-57	28778	22q11.22	Q6PJ28
2.94	3901361	0.9	CST1	cystatin SN	1469	20p11.21	P01037
2.85	3455478	1.4	KRT6A	keratin 6A	3853	12q13.13	P02538
2.75	3011838	1.4	STEAP1	six transmembrane epithelial antigen of the prostate 1	26872	7q21.13	Q9UHE8
2.67	2947077	0.9	HIST1H3I	histone cluster 1, H3i	8354	6p22.1	P68431
2.62	2947081	0.9	HIST1H4L	histone cluster 1, H4l	8368	6p22.1	P62805
2.58	3429669	0.5	LOC100130492	similar to P1 gene for c subunit of human mitochondrial ATP synthase	100130492	12q23.3	na
2.58	3388859	2.3	MMP12	matrix metallopeptidase 12 (macrophage elastase)	4321	11q22.2	P39900
2.54	2818517	0.9	VCAN	versican	1462	5q14.2 / 5q14.3	P13611
2.53	3046444	0.9	SFRP4	secreted frizzled-related protein 4	6424	7p14.1	Q6FHJ7
2.52	3049292	0.5	IGFBP3	insulin-like growth factor binding protein 3	3486	7p13	P17936
2.48	2390307	0.5	OR2L3	olfactory receptor, family 2, subfamily L, member 3	391192	1q44	Q8NG85
2.43	3997825	0.9	MXRA5	matrix-remodelling associated 5	25878	Xp22.33	Q9NR99
2.4	2725013	1.4	UCHL1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	7345	4p13	P09936
2.34	3311832	0.3	ADAM12	ADAM metallopeptidase domain 12	8038	10q26.2	O43184
2.34	2876608	0.5	CXCL14	chemokine (C-X-C motif) ligand 14	9547	5q31.1	O95715
2.34	2359282	0.5	LCE5A	late cornified envelope 5A	254910	1q21.3	Q5TCM9
2.33	2711610	0.1	LRRC15	leucine rich repeat containing 15	131578	3q29	Q8TF66
2.27	3887210	0.5	MMP9	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	4318	20q13.12	P14780
2.24	3013054	1.4	COL1A2	collagen, type I, alpha 2	1278	7q21.3	P08123
2.22	3850406	0.1	S1PR5	sphingosine-1-phosphate receptor 5	53637	19p13.2	Q9H228
2.17	2946345	0.9	HIST1H2BG	histone cluster 1, H2bg	8339	6p22.1	P62807
2.15	3921599	5.1	PCP4	Purkinje cell protein 4	5121	21q22.2	P48539
2.14	3528864	0.5	MMP14	matrix metallopeptidase 14 (membrane-inserted)	4323	14q11.2	P50281
2.13	2584134	0.9	FAP	fibroblast activation protein, alpha	2191	2q24.2	Q12884
2.12	2732508	0.9	CXCL13	chemokine (C-X-C motif) ligand 13	10563	4q21.1	O43927
2.11	3527290	0.9	OR4N2	olfactory receptor, family 4, subfamily N, member 2	390429	14q11.2	Q8NGD1
2.08	3834502	0.5	CD79A	CD79a molecule, immunoglobulin-associated alpha	973	19q13.2	P11912
2.06	3676300	0.3	RPS2	ribosomal protein S2	6187	16p13.3	P15880
2.06	2980258	0.5	MTRF1L	mitochondrial translational release factor 1-like	54516	6q25.2	Q9UGC7
2.06	3214845	2.3	ASPN	asporin	54829	9q22.31	Q9BXN1
2.04	3855218	0.1	COMP	cartilage oligomeric matrix protein	1311	19p13.11	P49747
2.04	2390322	0.5	OR2M5	olfactory receptor, family 2, subfamily M, member 5	127059	1q44	A3KFT3
2.03	3841756	0.5	KIR2DL1	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1	3802	19q13.42	P43626
2.03	4012154	0.5	RPS4X	ribosomal protein S4, X-linked	6191	Xq13.1	P62701
2.01	2659631	0.1	SENP5	SUMO1/sentrin specific peptidase 5	205564	3q29	Q96HI0
2.01	2333136	0.3	CDC20	cell division cycle 20 homolog (S. cerevisiae)	991	1p34.2	Q12834
2.01	3938384	0.5	IGL@	immunoglobulin lambda locus	3535	22q11.22 / 22q11.23	Q6GMX3
2.01	3443226	0.9	MFAP5	microfibrillar associated protein 5	8076	12p13.31	Q13361
