Gene Symbol	Gene name	Affy probe ID	Average expression (A)	Signal log ratio (M)	t test statistic	P value	Limma B
CCDC110	coiled-coil domain containing 110	230900_at	3.71	-4.49	-25.37	1.40E-15	35.13
COL1A1	collagen, type I, alpha 1	1556499_s_at	12.1	3.99	23.55	4.76E-15	33.5
S100P	S100 calcium binding protein P	204351_at	8.14	8.97	22.8	7.27E-15	32.78
ALB	Albumin	214842_s_at	2.96	-3.19	-21.55	2.31E-14	31.52
CINP	Cyclin-dependent kinase 2-interacting protein	239225_at	2.77	-1.44	-17.82	1.85E-12	27.19
BC015783	Homo sapiens, clone IMAGE:4857346	1570430_at	3.44	-2.26	-17.82	1.85E-12	27.19
POSTN	periostin, osteoblast specific factor	210809_s_at	9.34	8.16	-17.08	4.51E-12	26.21
NBL1	neuroblastoma, suppression of tumorigenicity 1	37005_at	7.81	5.12	16.75	6.41E-12	25.76
CFL1	cofilin 1 (non-muscle)	200021_at	12.1	1.68	16.62	6.90E-12	25.58
S100A6	S100 calcium binding protein A6 (calcyclin)	217728_at	11.22	5.08	16.45	7.94E-12	25.35
