Curated Gene Symbol	Gene	delta Ct in normal samples (mean +/- SD)	delta Ct in pathological samples (mean +/- SD)	p valuea	Pathological/normal(-fold)
CYFIP2	CYFIP2	6.01 +/- 0.2	5.91 +/- 0.93	n.s.	1.06
IL8	IL8	9.78 +/- 1.75	9.01 +/- 2.24	n.s.	1.7
	IL1beta	10.74 +/- 0.61	10.07 +/- 2.79	n.s.	1.6
IL12A	IL12A	12.28 +/- 0.89	12.97 +/- 1.03	n.s.	0.61
	IFNgamma	11.42 +/- 0.78	9.59 +/- 1.45	<0.05	3.55
TNF	TNFSF2	9.83 +/- 1.07	9.72 +/- 1.61	n.s.	1.08
LTB	TNFSF3	7.15 +/- 1.27	6.57 +/- 1.78	n.s.	1.5
TNFSF10	TNFSF10	10.05 +/- 0.42	10.85 +/- 0.61	<0.05	0.58
TNFSF12	TNFSF12	9.49 +/- 0.79	9.46 +/- 1.18	n.s.	1.02
TNFSF13B	TNFSF13B	11.72 +/- 0.53	12.10 +/- 0.92	n.s.	0.78
	PDGFbeta	15.35 +/- 1.63	15.66 +/- 0.98	n.s.	0.8
