Curated Gene Symbol	Gene name	Gene Symbol	Fold change	FDR, %
FCER1G	Fc fragment of IgE, high-affinity I	FCER1G	6.66	4
CCL4	Chemokinea ligand 4	CCL4	3.39	0
CCL5	Chemokine ligand 5	CCL5	7.5	0
CCR3	Chemokinea receptor 3	CCR3	2.03	2.1
CD8B	CD8 antigenb	CD8B1	6.7	0
CD97	CD97 antigen	CD97	3.46	0
CEBPB	CCAAT/enhancement binding protein	CEBPB	18.4	0
	Rho GDP dissociation inhibitor 	ARHGD1B	5.14	0
B2M	2-microglobulin	B2M	4.58	4.3
CTSS	Cathepsin S	CTSS	5.59	0
FCGR3A	Fc fragment of IgGc	FCGR3A	9.08	3.4
FTH1	Ferritin heavy chain	FTH1	7.13	0
GZMA	Granzyme A	GZMA	4.61	3.7
HLA-DPA1	MHC class II, DP1	HLA-DPA1	7.22	2
HLA-DQA1	MHC class II HLA-DQA1	HLA-DQA1	2.25	1.87
HLA-DRA	MHC class II, DR	HLA-DRA	7.26	3.7
HLA-DRB3	MHC class II, DR3	HLA-DRB3	2.2	5.2
HLA-E	MHC class I, E	HLA-E	3.1	2.1
IFI30	IFN–inducible protein	IFI30	16.57	2.1
IFITM1	IFN-induced transmembrane protein 1	IFITM1	9.88	4.7
IFITM2	IFN-induced transmembrane protein 2	IFITM2	12.67	1.8
IKBKE	Kinase-	IKBKE	2.93	4.7
IKBKG	Kinase-	IKBKG	5.5	1.87
IL1B	IL-1	IL1B	5.7	0
LILRB2	Leukocyte Ig-like receptor, subfamily B	LILRB2	6.34	4.7
LST1	Leukocyte-specific transcript 1	LST1	9.33	0
IL32	NK cell transcript 4	NK4	6.81	0
NOTCH1	Notch homologue 1	NOTCH1	6.11	1.8
CFP	Properdin P factor	PFC	5.06	2.1
PPBP	Chemokine ligand 7d	PPBP	2.7	0
PSME1	Proteasomee	PSME1	15.24	0
S100A12	Calgranulin C	S100A12	6.05	2.1
TNFSF13B	TNF superfamily Member 13b	TNFSF13B	11.28	4.4
CD40LG	Member 5	TNFSF5	1.96	4.4
TRG@	T cell receptor	TRG@	3.35	0
XCL1	Chemokine ligand 1–associated protein kinase	XCL1	2.4	2.1
MAL	MALf	MAL	6.6	0
LGALS2	Galectin-2	LGALS2	6.67	0
IL21R	1L-21 receptor	IL21R	3.78	0.6
IL8	IL-8	IL8	10.254	1.88
IL10RA	IL-10 receptor 	IL10RA	4.87	0
IL18RAP	IL-18 receptor accessory protein	IL18RAP	8.49	1.6
ZAP70	chaing–associated protein kinase	ZAP70	2.85	2.1
