Gene Symbol	GENE	FC MDA.FN(-)/MDA
FN3K	FN3K (fructosamine-3-kinase)	-9,42
GPSN2	GPSN2 (glycoprotein, synaptic 2)	-4,00
GSN	GSN (gelsolin (amyloidosis, Finnish type))	-3,73
DGAT2	DGAT2 (diacylglycerol O-acyltransferase homolog 2 (mouse))	-3,57
S100P	S100P (S100 calcium binding protein P)	-3,32
LOC149420	LOC149420 (casein kinase)	-2,98
HEG	HEG (HEG homolog)	-2,78
TAF12	TAF12 (TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa)	-2,71
COX5B	COX5B (cytochrome c oxidase subunit Vb)	-2,66
PSMD8	PSMD8 (proteasome (prosome, macropain) 26S subunit, non-ATPase, 8)	-2,59
SSBP2	SSBP2 (single-stranded DNA binding protein 2)	-2,51
SOD2	SOD2 (superoxide dismutase 2, mitochondrial)	-2,51
PAK1	PAK1 (p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast))	-2,47
MVP	MVP (major vault protein)	-2,44
KIAA1043	KIAA1043 (KIAA1043 protein)	-2,42
FAM32A	FAM32A (family with sequence similarity 32, member A)	-2,39
UBE2L6	UBE2L6 (ubiquitin-conjugating enzyme E2L 6)	-2,39
DIBD1	DIBD1 (disrupted in bipolar affective disorder 1)	-2,38
MYST1	MYST1 (MYST histone acetyltransferase 1)	-2,35
C6orf4	C6orf4 (chromosome 6 open reading frame 4)	-2,23
CITED2	CITED2 (Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2)	-2,22
WFS1	WFS1 (Wolfram syndrome 1 (wolframin))	-2,21
FAP	FAP (fibroblast activation protein, alpha)	-2,20
NSE1	NSE1 (non-SMC (structural maintenance of chromosomes) element 1 protein)	-2,18
PSMD7	PSMD7 (proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog))	-2,14
LITAF	LITAF (lipopolysaccharide-induced TNF factor)	-2,11
PSMB9	PSMB9 (proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2))	-2,09
ETHE1	ETHE1 (ethylmalonic encephalopathy 1)	-2,08
ADD3	ADD3 (adducin 3 (gamma))	-2,06
FLJ10597	FLJ10597 (hypothetical protein FLJ10597)	-2,05
CBLB	CBLB (Cas-Br-M (murine) ecotropic retroviral transforming sequence b)	-2,05
PGD	PGD (phosphogluconate dehydrogenase)	-2,04
RFXANK	RFXANK (regulatory factor X-associated ankyrin-containing protein)	-2,04
AKAP8L	AKAP8L (A kinase (PRKA) anchor protein 8-like)	-2,03
STOML2	STOML2 (stomatin (EPB72)-like 2)	-2,01
GCH1	GCH1 (GTP cyclohydrolase 1 (dopa-responsive dystonia))	2,00
KIAA0217	KIAA0217 (KIAA0217)	2,00
CTCF	CTCF (CCCTC-binding factor (zinc finger protein))	2,02
DDX21	DDX21 (DEAD (Asp-Glu-Ala-Asp) box polypeptide 21)	2,06
C20orf6	C20orf6 (chromosome 20 open reading frame 6)	2,08
LMAN2L	LMAN2L (lectin, mannose-binding 2-like)	2,09
PRKRIR	PRKRIR (protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor))	2,13
USP1	USP1 (ubiquitin specific protease 1)	2,15
IL4R	IL4R (interleukin 4 receptor)	2,16
SOAT1	SOAT1 (sterol O-acyltransferase (acyl-Coenzyme A: cholesterol acyltransferase) 1)	2,17
SH3BP4	SH3BP4 (SH3-domain binding protein 4)	2,17
LOC129642	LOC129642 (hypothetical protein BC016005)	2,20
TFDP1	TFDP1 (transcription factor Dp-1)	2,21
PTPN11	PTPN11 (protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1))	2,25
CUL3	CUL3 (cullin 3)	2,25
PPP3CA	PPP3CA (protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform (calcineurin A alpha))	2,25
RBPSUH	RBPSUH (recombining binding protein suppressor of hairless (Drosophila))	2,29
LOC51136	LOC51136 (PTD016 protein)	2,31
E2F3	E2F3 (E2F transcription factor 3)	2,31
SRPRB	SRPRB (signal recognition particle receptor, B subunit)	2,32
EHHADH	EHHADH (enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase)	2,33
FOXP1	FOXP1 (forkhead box P1)	2,39
SORT1	SORT1 (sortilin 1)	2,40
BCL7B	BCL7B (B-cell CLL/lymphoma 7B)	2,43
PSME4	PSME4 (proteasome (prosome, macropain) activator subunit 4)	2,46
ABCE1	ABCE1 (ATP-binding cassette, sub-family E (OABP), member 1)	2,52
PHTF1	PHTF1 (putative homeodomain transcription factor 1)	2,55
PIAS3	PIAS3 (protein inhibitor of activated STAT3)	2,59
TM4SF10	TM4SF10 (transmembrane 4 superfamily member 10)	2,71
TGFB2	TGFB2 (transforming growth factor, beta 2)	2,75
