Feature 	Class 	T-test 	Log fold change 	Perm 1% 	Perm 5% 	Perm 10% 	Gene Symbol 	Description 	 
221204_s_at	 no_CIS 	3.74	-2.4	5.12	4.61	4.33	CRTAC1 	cartilage acidic protein 1 	 
205927_s_at	 no_CIS 	3.67	-2.5	4.53	3.98	3.73	CTSE 	cathepsin E 	 
210143_at 	no_CIS 	3.35	-2.8	4.03	3.73	3.45	ANXA10 	annexin A10 	 
204540_at 	no_CIS 	3.15	-1.5	3.87	3.51	3.32	EEF1A2 	eukaryotic translation elongation factor 1 alpha 2 	 
214599_at 	no_CIS 	3.02	-1.9	3.75	3.37	3.14	IVL 	involucrin 	 
203649_s_at	 no_CIS 	2.84	-2	3.63	3.2	3	PLA2G2A 	"phospholipase A2, group IIA (platelets, synovial fluid) "	 
203980_at 	no_CIS 	2.74	-2	3.47	3.12	2.89	FABP4 	"fatty acid binding protein 4, adipocyte "	 
209270_at 	no_CIS 	2.39	-1.4	3.38	3.1	2.85	LAMB3 	"laminin, beta 3 "	 
206658_at 	no_CIS 	2.35	-1.5	3.37	3.05	2.78	UPK3B 	uroplakin 3b 	 
220779_at 	no_CIS 	2.35	-1.6	3.33	2.97	2.73	PADI3 	"peptidyl arginine deiminase, type III "	 
216971_s_at	 no_CIS 	2.28	-1.1	3.29	2.91	2.71	PLEC1 	"plectin 1, intermediate filament binding protein 500kDa "	 
206191_at 	no_CIS 	2.25	-1.4	3.24	2.86	2.68	ENTPD3 	ectonucleoside triphosphate diphosphohydrolase 3 	 
218484_at 	no_CIS 	2.18	-1.2	3.2	2.81	2.62	LOC56901 	NADH:ubiquinone oxidoreductase MLRQ subunit homolog 	 
221854_at 	no_CIS 	2.1	-1.1	3.19	2.8	2.6	---	"ESTs, Highly similar to plakophilin 1; Plakophilin-1 [Homo sapiens] [H.sapiens] "	 
203792_x_at	 no_CIS 	2.02	-1.2	3.16	2.74	2.55	ZNF144 	zinc finger protein 144 (Mel-18) 	 
207862_at 	no_CIS 	2.01	-1.2	3.16	2.72	2.52	UPK2 	uroplakin 2 	 
