Probe set	Gene symbol	Gene title	logFC	p-value	adj p-val
235342_at	SPOCK3	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3	0.524142	5.79E-18	3.17E-13
242426_at	NRG4	neuregulin 4	0.412801	1.07E-13	1.95E-09
208275_x_at	UTF1	undifferentiated embryonic cell transcription factor 1	0.453934	7.63E-14	1.95E-09
207376_at	VENTX	VENT homeobox homolog (Xenopus laevis)	0.430554	2.20E-13	3.01E-09
1554418_s_at	SPOCK3	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3	0.300632	1.07E-12	1.17E-08
232424_at	PRDM16	PR domain containing 16	0.886222	1.71E-12	1.55E-08
242269_at	FLJ42875	hypothetical LOC440556	0.438273	6.45E-12	5.04E-08
205366_s_at	HOXB6	homeobox B6	1.59534	1.90E-11	1.30E-07
229604_at	CMAH	cytidine monophosphate-N-acetylneuraminic acid hydroxylase (CMP-N-acetylneuraminate monooxygenase) pseudogene	0.72167	6.23E-10	3.78E-06
209392_at	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	1.154631	8.77E-10	4.79E-06
201522_x_at	SNRPN	small nuclear ribonucleoprotein polypeptide N	-1.36489	1.12E-09	5.58E-06
236892_s_at	LOC404266	hypothetical LOC404266	2.114109	1.30E-09	5.94E-06
1553808_a_at	NKX2-3	NK2 transcription factor related, locus 3 (Drosophila)	1.24682	3.11E-09	1.31E-05
228011_at	FAM92A1	family with sequence similarity 92, member A1	0.788388	5.95E-09	2.32E-05
230743_at	LOC404266	hypothetical LOC404266	0.513488	1.88E-08	6.86E-05
235391_at	FAM92A1	family with sequence similarity 92, member A1	0.860949	2.07E-08	7.07E-05
1560762_at	LOC285972	hypothetical protein LOC285972	0.37152	2.23E-08	7.18E-05
239791_at	LOC404266	hypothetical LOC404266	0.641251	3.85E-08	0.000117
206042_x_at	SNURF	SNRPN upstream reading frame	-1.09796	4.15E-08	0.000119
210839_s_at	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	0.492424	5.55E-08	0.000152
229971_at	GPR114	G protein-coupled receptor 114	0.697269	5.95E-08	0.000155
232979_at	HOXB5	homeobox B5	0.650304	7.11E-08	0.000169
236921_at	EMB	embigin homolog (mouse)	1.2204	7.03E-08	0.000169
221782_at	DNAJC10	DnaJ (Hsp40) homolog, subfamily C, member 10	0.612798	1.11E-07	0.000253
231275_at	FLJ42875	hypothetical LOC440556	0.216938	1.86E-07	0.000392
228278_at	NFIX	nuclear factor I/X (CCAAT-binding transcription factor)	0.302053	1.82E-07	0.000392
237108_x_at	FLJ42875	hypothetical LOC440556	0.215961	2.25E-07	0.000456
1559214_at	NRG4	neuregulin 4	0.78439	2.54E-07	0.000496
1560741_at	SNRPN	small nuclear ribonucleoprotein polypeptide N	-0.84369	3.40E-07	0.000641
