Down	Up	(Affy ID)	Probe sets in this study	Gene name
2	3	201743_at	CD14	CD14 molecule
2	3	202488_s_at	FXYD3	FXYD domain containing ion transport regulator 3
2	3	202672_s_at	ATF3	activating transcription factor 3
3	2	202888_s_at	ANPEP	alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)
3	2	202917_s_at	S100A8	S100 calcium-binding protein A8
2	2	203256_at	CDH3	cadherin 3, type 1, P-cadherin (placental)
2	3	203821_at	HBEGF	heparin-binding EGF-like growth factor
2	2	204172_at	CPOX	coproporphyrinogen oxidase
2	2	204259_at	MMP7	matrix metallopeptidase 7 (matrilysin, uterine)
2	2	204607_at	HMGCS2	3-hydroxy-3-methylglutaryl-coenzyme A synthase 2 (mitochondrial)
2	3	204673_at	MUC2	mucin 2, oligomeric mucus/gel-forming
4	2	204697_s_at	CHGA	chromogranin A (parathyroid secretory protein 1)
2	2	204818_at	HSD17B2	hydroxysteroid (17-beta) dehydrogenase 2
2	2	205185_at	SPINK5	serine peptidase inhibitor, Kazal type 5
2	2	205234_at	SLC16A4	solute carrier family 16, member 4 (monocarboxylic acid transporter 5)
2	2	205403_at	IL1R2	interleukin-1 receptor, type II
3	2	205513_at	TCN1	transcobalamin I (vitamin B12 binding protein, R binder family)
2	2	205593_s_at	PDE9A	phosphodiesterase 9A
2	3	205680_at	MMP10	matrix metallopeptidase 10 (stromelysin 2)
2	2	205771_s_at	AKAP7	A kinase (PRKA) anchor protein 7
2	2	205825_at	PCSK1	proprotein convertase subtilisin/kexin type 1
4	2	205927_s_at	CTSE	cathepsin E
5	3	205950_s_at	CA1	carbonic anhydrase I
3	3	206000_at	MEP1A	meprin A, alpha (PABA peptide hydrolase)
3	2	206100_at	CPM	carboxypeptidase M
5	3	206143_at	SLC26A3	solute carrier family 26, member 3
2	2	206149_at	CHP2	calcineurin B homologous protein 2
3	2	206198_s_at	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7
5	2	206199_at	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7
3	2	206208_at	CA4	carbonic anhydrase IV
3	2	206209_s_at	CA4	carbonic anhydrase IV
4	2	206422_at	GCG	glucagon
2	2	206548_at	hCG_1776259	hypothetical protein FLJ23556
3	3	206561_s_at	AKR1B10	aldo-keto reductase family 1, member B10
2	4	206664_at	SI	sucrase-isomaltase (alpha-glucosidase)
2	2	206710_s_at	EPB41L3	erythrocyte membrane protein band 4.1-like 3
5	2	206784_at	AQP8	aquaporin 8
3	2	207003_at	GUCA2A	guanylate cyclase activator 2A (guanylin)
3	2	207051_at	SLC17A4	solute carrier family 17 (sodium phosphate), member 4
3	2	207165_at	HMMR	hyaluronan-mediated motility receptor
3	2	207245_at	UGT2B17	UDP glucuronosyltransferase 2 family, polypeptide B17
3	2	207392_x_at	UGT2B15	UDP glucuronosyltransferase 2 family, polypeptide B15
3	2	207502_at	GUCA2B	guanylate cyclase activator 2B (uroguanylin)
2	2	207761_s_at	METTL7A	methyltransferase like 7A
4	2	207814_at	DEFA6	defensin, alpha 6, Paneth cell-specific
2	2	208250_s_at	DMBT1	deleted in malignant brain tumors 1
2	2	208300_at	PTPRH	protein tyrosine phosphatase, H
2	2	208399_s_at	EDN3	endothelin 3
2	2	208450_at	LGALS2	lectin, galactoside-binding, soluble, 2
2	2	208949_s_at	LGALS3	lectin, galactoside-binding, soluble, 3
2	3	209114_at	TSPAN1	tetraspanin 1
3	3	209373_at	MALL	mal, T-cell differentiation protein-like
2	2	209581_at	HRASLS3	HRAS-like suppressor 3
2	2	209791_at	PADI2	peptidyl arginine deiminase, type II
3	2	209993_at	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1
2	2	209994_s_at	ABCB1	ATP-binding cassette, sub-family B
2	2	210809_s_at	POSTN	periostin, osteoblast-specific factor
2	2	210861_s_at	WISP3	WNT1-inducible signaling pathway protein 3
4	2	211848_s_at	CEACAM7	carcinoembryonic antigen-related cell adhesion molecule 7
3	2	211883_x_at	CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)
4	2	211889_x_at	CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)
2	2	212942_s_at	KIAA1199	KIAA1199
2	2	213017_at	ABHD3	abhydrolase domain containing 3
2	2	213317_at	CLIC5	chloride intracellular channel 5
3	2	213953_at	KRT20	keratin 20
5	3	214142_at	ZG16	zymogen granule protein 16
2	2	214598_at	CLDN8	claudin 8
4	2	216384_x_at	LOC643287	similar to prothymosin, alpha (gene sequence 28)
3	2	219014_at	PLAC8	placenta-specific 8
2	2	219508_at	GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type
3	2	219669_at	CD177	CD177 molecule
4	3	219799_s_at	DHRS9	dehydrogenase/reductase (SDR family) member 9
3	2	219955_at	L1TD1	LINE-1 type transposase domain containing 1
6	3	220026_at	CLCA4	chloride channel, calcium activated, family member 4
2	2	220310_at	TUBAL3	tubulin, alpha-like 3
2	2	220421_at	BTNL8	butyrophilin-like 8, similar to butyrophilin-like protein 8 precursor
2	2	220435_at	SLC30A10	solute carrier family 30, member 10
3	2	220723_s_at	FLJ21511	hypothetical protein FLJ21511
5	3	220834_at	MS4A12	membrane-spanning 4-domains, subfamily A, member 12
2	2	221091_at	INSL5	insulin-like 5
2	2	221841_s_at	KLF4	Kruppel-like factor 4 (gut)
