miR	Huh-7+ IFNbeta	21-5
hsa-miR-1	30, 13	22, 11
hsa-miR-30a-3p	4, 46	8, 79
hsa-miR-146a	1, 54	2, 73
hsa-miR-142-5p	2, 83	2, 20
hsa-miR-146b	2, 09	2, 11
hsa-miR-142-3p	2, 09	1, 74
hsa-miR-296	-1, 47	-1, 40
hsa-miR-155	-1, 69	-1, 61
hsa-miR-128a	-1, 47	-1, 88
hsa-miR-128b	-3, 30	2, 09
hsa-miR-196a	1, 31	-1, 50
hsa-miR-125a	1, 05	3, 43
hsa-miR-196b	1, 11	2, 92
hsa-miR-30c	-1, 12	1, 30
hsa-miR-30b	-1, 04	1, 28
hsa-miR-122a	1, 14	-1, 63
hsa-miR-125b	-1, 10	1, 19
hsa-miR-30e-5p	1, 14	1, 18
hsa-miR-30e-3p	-2, 12	1, 17
hsa-miR-30a-5p	-1, 38	1, 15
hsa-miR-30d	-1, 12	1, 02
hsa-miR-351	n.d.	n.d.
hsa-miR-431	n.d.	n.d.
hsa-miR-448	n.d.	n.d.
