Gene Symbole	Gene Description
ABAT	4-aminobutyrate aminotransferase
ABCA1	ATP-binding cassette, sub-family A (ABC
ACAD11	acyl-Coenzyme A dehydrogenase family, m
ACSL5	acyl-CoA synthetase long-chain family m
ACTR3C	actin-related Arp11
ADD3	adducin 3 (gamma)
ADM	adrenomedullin
ADRB2	adrenergic, beta-2-, receptor, surface
AFAP1	actin filament associated protein 1
AGAP1	ArfGAP with GTPase domain, ankyrin repe
AHNAK2	AHNAK nucleoprotein 2
AKR1B15	aldo-keto reductase family 1, member B1
ALDH2	aldehyde dehydrogenase 2 family (mitoch
ALG13	asparagine-linked glycosylation 13 homo
ALPP	alkaline phosphatase, placental (Regan
AMMECR1	Alport syndrome, mental retardation, mi
AMMECR1L	AMME chromosomal region gene 1-like
ANKDD1A	ankyrin repeat and death domain contain
ANXA6	annexin A6
ANXA9	annexin A9
AP1S1	adaptor-related protein complex 1, sigm
APOBEC3G	apolipoprotein B mRNA editing enzyme, c
APOL1	apolipoprotein L, 1
APOLD1	apolipoprotein L domain containing 1
APOM	apolipoprotein M
AQP3	aquaporin 3 (Gill blood group)
ARL14	ADP-ribosylation factor-like 14
ARMC7	armadillo repeat containing 7
ARMC9	armadillo repeat containing 9
ARRB1	arrestin, beta 1
ASAP3	ArfGAP with SH3 domain, ankyrin repeat
ASPHD1	aspartate beta-hydroxylase domain conta
ASPHD2	aspartate beta-hydroxylase domain conta
ASPM	asp (abnormal spindle) homolog, microce
ASS1	argininosuccinate synthetase 1
ATP10A	ATPase, class V, type 10A
ATP6V0A4	ATPase, H+ transporting, lysosomal V0 s
ATP6V1C2	ATPase, H+ transporting, lysosomal 42kD
ATP6V1E2	ATPase, H+ transporting, lysosomal 31kD
Acaa1	acetyl-Coenzyme A acyltransferase 1
Acot4	acyl-CoA thioesterase 4
Acpl2	acid phosphatase-like 2
Adam8	ADAM metallopeptidase domain 8
Agphd1	aminoglycoside phosphotransferase domai
Agr2	anterior gradient homolog 2 (Xenopus la
Akna	AT-hook transcription factor
Aldh3b1	aldehyde dehydrogenase 3 family, member
Aldh6a1	aldehyde dehydrogenase 6 family, member
Ang	angiogenin, ribonuclease, RNase A famil
Atp6v0e2	ATPase, H+ transporting V0 subunit e2
