UID	NAME	C1	C3	C2	EH2	EH6	EH3	EH5	EH1	EH4
A_01_P013654	||  || A_01_P013654 ||  || PREDICTED: Macaca mulatta similar to phosphoribosyl pyrophosphate synthetase-associated protein 2 (PRPSAP2), mRNA [XR_011920] ||  ||  || 6271855	-2.01	-1.84	-2.18	-0.19	-0.26	0.05	-0.09	-0.17	-0.13
A_01_P013954	||  || A_01_P013954 ||  || ILLUMIGEN_MCQ_34903 Katze_MMPL1 Macaca mulatta cDNA clone IBIUW:13555 5 similar to Bases 1 to 644 highly similar to human C21orf91 (Hs.293811), mRNA sequence [CN804671] ||  ||  || 6274599	-1.34	-1.29	-1.55	0.71	0.61	0.55	0.67	0.86	0.39
A_01_P001096	||  || A_01_P001096 ||  || Homo sapiens glutaredoxin 2 (GLRX2), transcript variant 1, mRNA. [NM_016066] ||  ||  || 6267973	-1.27	-0.95	-0.9	0.66	0.92	0.66	0.74	0.59	0.87
A_01_P018380	||  || A_01_P018380 ||  ||  ||  ||  || 6270835	-1.94	-1.24	-1.62	0.33	0.6	0.68	0.57	0.78	0.42
A_01_P008204	||  || A_01_P008204 ||  || Homo sapiens GTP cyclohydrolase I feedback regulator (GCHFR), mRNA. [NM_005258] ||  ||  || 6278826	-1.86	-2.1	-1.47	0.15	-0.03	0.03	0.07	0.13	0.39
A_01_P008309	||  || A_01_P008309 ||  || Homo sapiens transmembrane protein 2 (TMEM2), mRNA. [NM_013390] ||  ||  || 6281265	-0.97	-1.3	-0.26	2.08	1.79	1.78	1.51	1.56	2.05
A_01_P019616	||  || A_01_P019616 ||  || Homo sapiens SMAD, mothers against DPP homolog 4 (Drosophila) (SMAD4), mRNA [NM_005359] ||  ||  || 6279274	-1.55	-1.26	-0.91	1.01	1.65	1.05	1.37	0.81	1.07
A_01_P001679	||  || A_01_P001679 ||  || Homo sapiens major histocompatibility complex, class II, DR beta 5 (HLA-DRB5), mRNA. [NM_002125] ||  ||  || 6280702	-1.29	-1.78	-0.82	1.08	1.09	1.92	1.96	1.38	1.63
A_01_P006417	||  || A_01_P006417 ||  || Homo sapiens SEC22 vesicle trafficking protein-like 2 (S. cerevisiae) (SEC22L2), mRNA [NM_012430] ||  ||  || 6277806	-1.55	-1.74	-2.08	-0.15	0	-0.14	0.26	-0.03	0.32
A_01_P016796	||  || A_01_P016796 ||  || Homo sapiens BCL6 co-repressor (BCOR), transcript variant 1, mRNA [NM_017745] ||  ||  || 6274958	-1.58	-1.6	-1.44	-0.36	-0.47	-0.42	-0.24	-0.31	-0.46
A_01_P017804	||  || A_01_P017804 ||  || Homo sapiens tripartite motif-containing 22 (TRIM22), mRNA. [NM_006074] ||  ||  || 6283765	-1.27	-1.61	-0.91	0.81	0.56	0.52	1.13	0.67	0.88
A_01_P012967	||  || A_01_P012967 ||  || Homo sapiens calcium/calmodulin-dependent protein kinase (CaM kinase) II delta (CAMK2D), transcript variant 4, mRNA [NM_172115] ||  ||  || 6287479	-2.15	-1.71	-1.42	-0.15	-0.08	0.04	-0.02	0.12	0.09
A_01_P007983	||  || A_01_P007983 ||  || Homo sapiens phosphoglucomutase 2-like 1 (PGM2L1), mRNA [NM_173582] ||  ||  || 6283505	-1.09	-1.27	-0.28	1.38	1.22	1.87	1.41	1.62	1.27
A_01_P015902	||  || A_01_P015902 ||  || Homo sapiens leucine-rich repeats and immunoglobulin-like domains 3 (LRIG3), mRNA [NM_153377] ||  ||  || 6270310	-1.72	-1.65	-2.16	1.09	0.43	0.42	1.38	0.57	1.52
