AffyID	Gene Symbol	Gene Description	Fold change	Significance, value
98465	Ifi204	Interferon activated gene 204	21.8	0.00001
99580	Ugt1a1	UDP-glucuronosyltransferase 1 family, member 1	14	0.001082
97128	Il5ra	Interleukin 5 receptor, alpha	10.6	0.000333
100445	Sprr1b	Small proline-rich protein 1B	8.8	0.000013
98843	Zic2	Zinc finger protein of the cerebellum 2	8.6	0.000499
160547	Txnip	Thioredoxin interacting protein	6.4	0.000021
93994	Sycp3	Synaptonemal complex protein 3	5.4	0.000007
161132	Scel	Sciellin	4.8	0.000014
103226	Mrc1	Mannose receptor, C type 1	4.3	0.000253
93929	Plf	Proliferin	4.1	0
93883	Plf2	Proliferin 2	4	0
102906	Tgtp	T-cell specific GTPase	3.8	0.001991
92917	Mmp7	Matrix metalloproteinase 7	3.2	0.000068
104017	Facl4	Fatty acid-coenzyme A ligase, long chain 4	3.1	0.000021
