Curated Gene Symbol	Gene name	Description	Mean log2 (Fold change)	p-value
CYP1B1	CYP1B1	Homo sapiens cytochrome P450, family 1, subfamily B, polypeptide 1 (CYP1B1), mRNA [NM_000104]	-2.936436683	0
EGR2	EGR2	Homo sapiens early growth response 2 (Krox-20 homolog, Drosophila) (EGR2), mRNA [NM_000399]	-2.580228213	0
CXCL10	CXCL10	Homo sapiens chemokine (C-X-C motif) ligand 10 (CXCL10), mRNA [NM_001565]	-2.535480375	0.00009
CCL3	CCL3	Homo sapiens chemokine (C-C motif) ligand 3 (CCL3), mRNA [NM_002983]	-2.309207726	0
IL1B	IL1B	Homo sapiens interleukin 1, beta (IL1B), mRNA [NM_000576]	-2.289043333	0.00001
GPR68	GPR68	Homo sapiens G protein-coupled receptor 68 (GPR68), mRNA [NM_003485]	-2.199271025	0
AHRR	AHRR	Homo sapiens aryl-hydrocarbon receptor repressor (AHRR), mRNA [NM_020731]	-2.100012962	0.00003
ASB2	ASB2	Homo sapiens ankyrin repeat and SOCS box-containing 2 (ASB2), mRNA [NM_016150]	-1.930535674	0
AHRR	AHRR	Homo sapiens aryl-hydrocarbon receptor repressor (AHRR), mRNA [NM_020731]	-1.899577129	0.00017
LACC1	C13orf31	Homo sapiens chromosome 13 open reading frame 31 (C13orf31), mRNA [NM_153218]	-1.851413139	0.00001
CCL3L3	CCL3L3	Homo sapiens chemokine (C-C motif) ligand 3-like 3 (CCL3L3), mRNA [NM_001001437]	-1.818619862	0.00001
CCL3L3	CCL3L3	Homo sapiens chemokine (C-C motif) ligand 3-like 3 (CCL3L3), mRNA [NM_001001437]	-1.790613347	0
SERPINB2	SERPINB2	Plasminogen activator inhibitor 2 precursor (PAI-2) (Placental plasminogen activator inhibitor) (Monocyte Arg-serpin) (Urokinase inhibitor). [Source:Uniprot/SWISSPROT;Acc:P05120] [ENST00000299502]	-1.736976868	0
	AK126405	Homo sapiens cDNA FLJ44441 fis, clone UTERU2020242. [AK126405]	-1.715871978	0
CCL2	CCL2	Homo sapiens chemokine (C-C motif) ligand 2 (CCL2), mRNA [NM_002982]	-1.715567237	0
CNR2	CNR2	Cannabinoid receptor 2 (CB2) (CB-2) (CX5). [Source:Uniprot/SWISSPROT;Acc:P34972] [ENST00000374472]	-1.646271261	0
LACC1	C13orf31	Homo sapiens chromosome 13 open reading frame 31 (C13orf31), mRNA [NM_153218]	-1.627995059	0.00012
