Canonical pathways	Down-regulated genes	Up-regulated genes	Reference genes	p-value
Glycerolipid metabolism	16	6	96	0.002
Mitochondrial dysfunction	17	9	130	0.002
Propanoate metabolism	13	3	64	0.005
Glycolysis/gluconeogenesis	13	6	90	0.008
PI3K/AKT signaling	16	6	127	0.01
PTEN signaling	13	5	100	0.013
ERK/MAPK signaling	20	10	187	0.013
Citrate cycle	9	0	30	0.014
Apoptosis signaling	10	7	87	0.019
Chemokine signaling	5	10	71	0.02
Pyruvate metabolism	11	4	73	0.02
Acute phase response signaling	12	15	173	0.026
IGF-1 signaling	12	4	95	0.036
